dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	Part_of_cheese	Milk_source	Animal_feeding	Milk_processing	Thermisation	Pasteurization	Skimming	Inoculation_of_moulds	Curd_cutting	Presence_of_rind	Backslopping	Starter_culture	Technology_of_production	Coagulation_method	Ripening_period	Rheological_properties	Temperature_of_curd_processing_Celsius_degree	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
AlvarezOrdonezA_xxxx	Q01-23	food	dairy	cheese	cheese_1_before_ripening		F	Core	Mixed														Hard		ESP	SAMN36690177	SRR25395182		SRP450983	PRJNA997800;PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7510950433	50672558	75	151.0	148.5913678	151.0	9083	3	2	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	Q01-23X	food	dairy	cheese	cheese_1_before_ripening		F	Core	Mixed														Hard		ESP	SAMN36690178	SRR25395181		SRP450983	PRJNA997800;PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9803572766	65705635	75	151.0	148.9440648	151.0	8796	2	3	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	Q01-24	food	dairy	cheese	cheese_2_before_ripening		F	Core	Mixed														Hard		ESP	SAMN36690179	SRR25395180		SRP450983	PRJNA997800;PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9170546672	62894435	75	151.0	146.0365005	151.0	1466	1	1	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	Q01-25	food	dairy	cheese	cheese_1_before_ripening		F	Rind	Mixed														Hard		ESP	SAMN36690180	SRR25395179		SRP450983	PRJNA997800;PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7912701715	53139939	75	151.0	149.0242671	151.0	9906	3	2	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	Q01-26	food	dairy	cheese	cheese_2_before_ripening		F	Rind	Mixed														Hard		ESP	SAMN36690181	SRR25395178		SRP450983	PRJNA997800;PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9646234519	65642596	75	151.0	147.0532636	151.0	1583	1	1	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	Q01-27	food	dairy	cheese	cheese_1_after_ripening		F	Core																	ESP	SAMN36690495	SRR25395341		SRP450983	PRJNA997800;PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9301241406	62221393	75	151.0	149.3644709	151.0	9115	2	2	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	Q01-28	food	dairy	cheese	cheese_2_after_ripening		F	Core																	ESP	SAMN36690496	SRR25395340		SRP450983	PRJNA997800;PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9560473452	63825332	75	151.0	149.2893189	151.0	1449	1	1	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	Q01-29	food	dairy	cheese	cheese_1_after_ripening		F	Rind																	ESP	SAMN36690497	SRR25395339		SRP450983	PRJNA997800;PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9537159933	64496600	75	151.0	147.273415	151.0	21735	6	3	1	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	Q01-30	food	dairy	cheese	cheese_2_after_ripening		F	Rind																	ESP	SAMN36690498	SRR25395338		SRP450983	PRJNA997800;PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8370568758	58156849	75	151.0	143.8686193	151.0	19248	3	5	1	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	Q02-23	food	dairy	cheese	cheese_1_before_ripening		F	Core	Goat														Soft		ESP	SAMN36690182	SRR25395177		SRP450983	PRJNA997800;PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9254384531	63573080	75	151.0	146.2044491	151.0	35783	6	1	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	Q02-24	food	dairy	cheese	cheese_2_before_ripening		F	Core	Goat														Soft		ESP	SAMN36690183	SRR25395175		SRP450983	PRJNA997800;PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7592444922	52103211	75	151.0	146.4597806	151.0	33235	3	2	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	Q02-25	food	dairy	cheese	cheese_1_before_ripening		F	Rind	Goat														Soft		ESP	SAMN36690184	SRR25395174		SRP450983	PRJNA997800;PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8018605315	53841089	75	151.0	148.9734893	151.0	30069	4	1	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	Q02-26	food	dairy	cheese	cheese_2_before_ripening		F	Rind	Goat														Soft		ESP	SAMN36690185	SRR25395173		SRP450983	PRJNA997800;PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7926275948	54233531	75	151.0	146.825851	151.0	46075	4	1	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	Q02-27	food	dairy	cheese	cheese_1_after_ripening		F	Core																	ESP	SAMN36690499	SRR25395337		SRP450983	PRJNA997800;PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9942727269	66758774	75	151.0	148.732297	151.0	28053	5	3	1	2	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	Q02-28	food	dairy	cheese	cheese_2_after_ripening		F	Core																	ESP	SAMN36690500	SRR25395336		SRP450983	PRJNA997800;PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7367029745	50290551	75	151.0	146.8202147	151.0	24360	4	6	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	Q02-29	food	dairy	cheese	cheese_1_after_ripening		F	Rind																	ESP	SAMN36690501	SRR25395335		SRP450983	PRJNA997800;PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7735029815	52449523	75	151.0	147.7570475	151.0	37442	3	4	2	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	Q02-30	food	dairy	cheese	cheese_2_after_ripening		F	Rind																	ESP	SAMN36690502	SRR25395334		SRP450983	PRJNA997800;PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9142825369	62843017	75	151.0	146.0818748	151.0	36095	6	3	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	Q03-23	food	dairy	cheese	cheese_1_before_ripening		F	Core																	ESP	SAMN36690186	SRR25395172		SRP450983	PRJNA997800;PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8934719305	60740236	75	151.0	147.0494204	151.0	3011	2	1	0	0	no	Niccolò_Carlino
