dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
AlvarezOrdonezA_xxxx	C01-16	food	meat	cured_meat_before_ripening	cured_meat_before_ripening		NF	ESP	SAMN36689796	SRR25393983		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		6904782738	47541499	75	151.0	146.2005052	151.0	62700	0	0	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C01-17	food	meat	cured_meat_before_ripening	cured_meat_before_ripening		NF	ESP	SAMN36689797	SRR25393982		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8486640792	57869049	75	151.0	147.2664257	151.0	98756	0	0	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C01-18	food	fermented_meat	meat	cured_meat_after_ripening		F	ESP	SAMN36689824	SRR25393924		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7268906657	49365164	75	151.0	147.7609106	151.0	103911	0	0	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C01-19	food	fermented_meat	meat	cured_meat_after_ripening		F	ESP	SAMN36689825	SRR25393923		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8236724103	55296312	75	151.0	149.2005303	151.0	134121	0	0	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C02-16	food	meat	cured_meat_before_ripening	cured_meat_before_ripening		NF	ESP	SAMN36689798	SRR25393981		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8492676689	56902394	75	151.0	148.854534	151.0	37597	1	1	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C02-17	food	meat	cured_meat_before_ripening	cured_meat_before_ripening		NF	ESP	SAMN36689799	SRR25393980		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8287453390	56516274	75	151.0	147.0750032	151.0	55141	1	1	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C02-18	food	fermented_meat	meat	cured_meat_after_ripening		F	ESP	SAMN36689826	SRR25393922		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8045518890	54432021	75	151.0	148.308866	151.0	19572	0	0	1	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C02-19	food	fermented_meat	meat	cured_meat_after_ripening		F	ESP	SAMN36689827	SRR25393921		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9244307611	62099195	75	151.0	149.0553499	151.0	38179	3	0	3	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C03-16	food	meat	cured_meat_before_ripening	cured_meat_before_ripening		NF	ESP	SAMN36689800	SRR25393979		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7614426333	52335464	75	151.0	146.1860591	151.0	72746	0	0	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C03-17	food	meat	cured_meat_before_ripening	cured_meat_before_ripening		NF	ESP	SAMN36689801	SRR25393978		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7247169720	49934347	75	151.0	145.9809733	151.0	61787	0	0	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C03-18	food	fermented_meat	meat	cured_meat_after_ripening		F	ESP	SAMN36689828	SRR25393920		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9694808275	65059365	75	151.0	147.9775009	151.0	34922	1	1	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C03-19	food	fermented_meat	meat	cured_meat_after_ripening		F	ESP	SAMN36689829	SRR25393919		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		10304352148	69091136	75	151.0	148.5703861	151.0	56026	1	2	1	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C04-16	food	meat	cured_meat_before_ripening	cured_meat_before_ripening		NF	ESP	SAMN36689802	SRR25393976		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9003053371	60967960	75	151.0	147.8380839	151.0	36129	0	1	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C04-17	food	meat	cured_meat_before_ripening	cured_meat_before_ripening		NF	ESP	SAMN36689803	SRR25393975		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9146577489	62221667	75	151.0	147.0186552	151.0	32526	2	0	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C04-18	food	fermented_meat	meat	cured_meat_after_ripening		F	ESP	SAMN36689830	SRR25393918		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8797178915	60082456	75	151.0	147.2293803	151.0	25480	0	1	3	1	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C04-19	food	fermented_meat	meat	cured_meat_after_ripening		F	ESP	SAMN36689831	SRR25393917		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8954622614	61913747	75	151.0	145.5316846	151.0	15166	0	0	1	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C05-16	food	meat	cured_meat_before_ripening	cured_meat_before_ripening		NF	ESP	SAMN36689804	SRR25393974		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9784935480	66476363	75	151.0	147.4447614	151.0	29193	5	1	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C05-17	food	meat	cured_meat_before_ripening	cured_meat_before_ripening		NF	ESP	SAMN36689805	SRR25393973		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8057079839	54073461	75	151.0	149.0117511	151.0	28569	3	1	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C05-18	food	fermented_meat	meat	cured_meat_after_ripening		F	ESP	SAMN36689832	SRR25393915		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9337145609	63150598	75	151.0	148.0820666	151.0	60531	4	3	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C05-19	food	fermented_meat	meat	cured_meat_after_ripening		F	ESP	SAMN36689833	SRR25393914		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8661800127	57922006	75	151.0	149.3145629	151.0	46605	2	0	1	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C06-16	food	meat	cured_meat_before_ripening	cured_meat_before_ripening		NF	ESP	SAMN36689806	SRR25393972		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9511546100	64433858	75	151.0	147.6359724	151.0	88329	2	0	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C06-17	food	meat	cured_meat_before_ripening	cured_meat_before_ripening		NF	ESP	SAMN36689807	SRR25393971		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		6833296914	46503898	75	151.0	147.4569529	151.0	63505	2	1	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C06-18	food	fermented_meat	meat	cured_meat_after_ripening		F	ESP	SAMN36689834	SRR25393913		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9580900273	65224007	75	151.0	147.3989777	151.0	52111	3	0	1	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C06-19	food	fermented_meat	meat	cured_meat_after_ripening		F	ESP	SAMN36689835	SRR25393912		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9670748043	65116537	75	151.0	147.8558746	151.0	29284	0	2	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C07-16	food	meat	cured_meat_before_ripening	cured_meat_before_ripening		NF	ESP	SAMN36689808	SRR25393970		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7849283566	53042157	75	151.0	148.3708732	151.0	144155	2	1	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C07-17	food	meat	cured_meat_before_ripening	cured_meat_before_ripening		NF	ESP	SAMN36689809	SRR25393969		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7057558321	47721043	75	151.0	148.3168294	151.0	84338	0	1	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C07-18	food	fermented_meat	meat	cured_meat_after_ripening		F	ESP	SAMN36689836	SRR25393911		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8482337454	57751828	75	151.0	147.2770192	151.0	22910	2	2	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C07-19	food	fermented_meat	meat	cured_meat_after_ripening		F	ESP	SAMN36689837	SRR25393910		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8117483421	54683960	75	151.0	148.5787485	151.0	32277	4	1	0	1	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C08-16	food	meat	cured_meat_before_ripening	cured_meat_before_ripening		NF	ESP	SAMN36689810	SRR25393968		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8138456176	56069461	75	151.0	145.9606144	151.0	91645	0	0	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C08-17	food	meat	cured_meat_before_ripening	cured_meat_before_ripening		NF	ESP	SAMN36689811	SRR25393967		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7588191620	51655226	75	151.0	147.4094552	151.0	99037	0	0	0	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C08-18	food	fermented_meat	meat	cured_meat_after_ripening		F	ESP	SAMN36689838	SRR25393909		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9731123792	66331579	75	151.0	146.2390441	151.0	28999	1	0	3	0	no	Niccolò_Carlino
AlvarezOrdonezA_xxxx	C08-19	food	fermented_meat	meat	cured_meat_after_ripening		F	ESP	SAMN36689839	SRR25393908		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9728050344	66010064	75	151.0	147.1610387	151.0	22652	0	0	0	0	no	Niccolò_Carlino
