	ArikanM_2020	ArikanM_2020	ArikanM_2020	ArikanM_2020	ArikanM_2020	ArikanM_2020	ArikanM_2020	ArikanM_2020	ArikanM_2020	ArikanM_2020	ArikanM_2020	ArikanM_2020
sample	ArikanM_2020__ERS1875938	ArikanM_2020__ERS1881306	ArikanM_2020__ERS1932640	ArikanM_2020__ERS1937824	ArikanM_2020__ERS1937969	ArikanM_2020__ERS1939580	ArikanM_2020__ERS1939586	ArikanM_2020__ERS1939593	ArikanM_2020__ERS1939594	ArikanM_2020__ERS1939655	ArikanM_2020__ERS1939656	ArikanM_2020__ERS1939657
macrocategory	food	food	food	food	food	food	food	food	food	food	food	food
category	fermented_beverages	fermented_beverages	fermented_beverages	fermented_beverages	fermented_beverages	fermented_beverages	fermented_beverages	fermented_beverages	fermented_beverages	fermented_beverages	fermented_beverages	fermented_beverages
type	tea	tea	tea	tea	tea	tea	tea	tea	tea	tea	tea	tea
subtype	kombucha	kombucha	kombucha	kombucha	kombucha	kombucha	kombucha	kombucha	kombucha	kombucha	kombucha	kombucha
country	TUR	TUR	TUR	TUR	TUR	TUR	TUR	TUR	TUR	TUR	TUR	TUR
source	public	public	public	public	public	public	public	public	public	public	public	public
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes|t__SGB16955	0.02873	0.00708	0.00468	0.0	0.00516	0.0065	0.02021	0.00141	0.02257	0.12202	0.0	0.07602
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Lawsonellaceae|g__GGB2722|s__GGB2722_SGB3663|t__SGB3663	0.00028	0.0	0.0	0.0	0.0	0.0	0.00246	0.0	0.00039	0.01257	0.0	0.00144
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Moraxella|s__Moraxella_osloensis|t__SGB10439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00111
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__SGB10068	0.0031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Komagataeibacter|s__Komagataeibacter_oboediens|t__SGB1177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00158	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__Sphingobium_sp_D43FB|t__SGB11604	0.0	0.00058	0.0	0.0	0.00453	0.00133	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Curvibacter|s__Curvibacter_delicatus|t__SGB32537	0.0	0.01417	0.0	0.0	0.01997	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Dermacoccaceae|g__Yimella|s__Yimella_lutea|t__SGB34109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00087	0.0	0.00178
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_lwoffii|t__SGB10405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4e-05
k__Bacteria|p__Deinococcota|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_scotoductus|t__SGB17564	0.00312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00199	0.15474	0.01748	0.00453
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_vesicularis|t__SGB11742_group	0.0	0.00184	0.00224	0.0	0.03041	0.0002	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__GGB55768|s__GGB55768_SGB77069|t__SGB77069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_namnetense|t__SGB16956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Komagataeibacter|s__Komagataeibacter_rhaeticus|t__SGB1180	35.48392	52.89938	41.41204	12.39296	37.41198	17.39893	29.00389	15.7471	7.17742	31.47527	77.46142	28.63846
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Komagataeibacter|s__Komagataeibacter_xylinus|t__SGB30482	58.80317	17.96687	56.24188	54.89971	53.0217	76.83392	31.36841	45.87729	88.9977	47.31541	14.40049	70.47324
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Gluconacetobacter|s__Gluconacetobacter_entanii|t__SGB24152	5.49205	29.02609	2.33264	32.70505	9.31457	5.74437	39.60503	38.34347	3.73262	19.16761	7.53568	0.58698
