clade_name	ArocheXA_2025__SRR32671091	ArocheXA_2025__SRR32671092	ArocheXA_2025__SRR32671084	ArocheXA_2025__SRR32671085	ArocheXA_2025__SRR32671090	ArocheXA_2025__SRR32671081	ArocheXA_2025__SRR32671093	ArocheXA_2025__SRR32671096	ArocheXA_2025__SRR32671094	ArocheXA_2025__SRR32671082	ArocheXA_2025__SRR32671083
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_dispersa|t__SGB10172	39.02324	4.4197	0.0	0.35172	0.19075	0.0	7.35169	0.0	0.0	0.0	6.04531
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_pollinis|t__SGB92556	21.25176	34.18423	18.56402	14.79317	1.03643	44.73518	19.52931	12.1951	43.17529	15.29889	5.86015
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Apilactobacillus|s__Apilactobacillus_bombintestini|t__SGB29586	13.89081	2.59937	0.0	0.0	0.0	0.0	4.49533	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Zymobacter|s__Zymobacter_palmae|t__SGB32412	7.899	0.66399	0.0	0.0	0.0	0.0	0.83527	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Rosenbergiella|s__Rosenbergiella_epipactidis|t__SGB10292	4.91908	22.17569	8.72685	19.04604	77.70724	31.36258	10.49628	16.28342	29.7795	9.58123	0.52119
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Apilactobacillus|s__Apilactobacillus_kunkeei|t__SGB205806	2.58361	14.05947	0.0	0.0	0.0	0.0	27.98422	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Arsenophonus|s__Arsenophonus_apicola|t__SGB81701	1.95032	1.77186	2.13067	1.11741	0.0	0.0	0.77404	0.0	0.0	1.07802	0.5114
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_nectaris|t__SGB10418	1.62748	13.24668	0.0	8.90529	1.34663	19.3807	10.25459	0.0	14.14649	0.04397	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Fructobacillus|s__Fructobacillus_tropaeoli|t__SGB208550	1.36052	0.0	1.5656	0.0	0.04759	0.0	0.35096	0.0	0.0	29.73579	13.68042
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_anthophila|t__SGB10185	0.91176	0.0	0.0	8.42059	0.00655	0.0	0.39123	0.0	0.0	0.34431	0.35967
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_stewartii|t__SGB10192	0.84485	0.0	1.55625	0.14914	0.0	0.0	0.48175	0.0	0.0	0.2206	18.87461
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_suionicum|t__SGB7125	0.84387	0.0	0.0	0.0	0.0	0.0	0.03861	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Apilactobacillus|s__Apilactobacillus_zhangqiuensis|t__SGB7158	0.67059	2.0384	0.0	0.0	0.0	0.0	8.39857	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_apis|t__SGB19565	0.66152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
