dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
BertuzziAS_2018	ERS2032089	food	dairy	cheese	Cheddar	Cheddar	F	IRL	ERS2032089	ERR2212267	ERX2266620	ERP017154	PRJEB15423	NCBI	PAIRED	NextSeq_500	PowerSoil		2278074715	15618570	35	151.0	145.8568048	151.0	2064	3	0	0	0	no	Niccolò_Carlino
BertuzziAS_2018	ERS2032090	food	dairy	cheese	Cheddar	Cheddar	F	IRL	ERS2032090	ERR2212268	ERX2266621	ERP017154	PRJEB15423	NCBI	PAIRED	NextSeq_500	PowerSoil		10717933321	75674482	35	151.0	141.6320672	151.0	4383	3	1	0	0	no	Niccolò_Carlino
BertuzziAS_2018	ERS2032091	food	dairy	cheese	Cheddar	Cheddar	F	IRL	ERS2032091	ERR2212269	ERX2266622	ERP017154	PRJEB15423	NCBI	PAIRED	NextSeq_500	PowerSoil		1644370660	11074834	35	151.0	148.4781316	151.0	3201	3	1	0	0	no	Niccolò_Carlino
BertuzziAS_2018	ERS2032092	food	dairy	cheese	Cheddar	Cheddar	F	IRL	ERS2032092	ERR2212270	ERX2266623	ERP017154	PRJEB15423	NCBI	PAIRED	NextSeq_500	PowerSoil		1699408453	11477196	35	151.0	148.068261	151.0	5959	2	2	0	0	no	Niccolò_Carlino
BertuzziAS_2018	ERS2032093	food	dairy	cheese	Cheddar	Cheddar	F	IRL	ERS2032093	ERR2212271	ERX2266624	ERP017154	PRJEB15423	NCBI	PAIRED	NextSeq_500	PowerSoil		1221174031	8377202	35	151.0	145.773497	151.0	2755	1	2	0	0	no	Niccolò_Carlino
BertuzziAS_2018	ERS2032094	food	dairy	cheese	Cheddar	Cheddar	F	IRL	ERS2032094	ERR2212272	ERX2266625	ERP017154	PRJEB15423	NCBI	PAIRED	NextSeq_500	PowerSoil		3179767577	21401036	35	151.0	148.580077	151.0	2763	3	2	0	0	no	Niccolò_Carlino
BertuzziAS_2018	ERS2032095	food	dairy	cheese	Cheddar	Cheddar	F	IRL	ERS2032095	ERR2212273	ERX2266626	ERP017154	PRJEB15423	NCBI	PAIRED	NextSeq_500	PowerSoil		2251737250	15147604	35	151.0	148.6530312	151.0	2673	1	2	0	0	no	Niccolò_Carlino
BertuzziAS_2018	ERS2032096	food	dairy	cheese	Cheddar	Cheddar	F	IRL	ERS2032096	ERR2212274	ERX2266627	ERP017154	PRJEB15423	NCBI	PAIRED	NextSeq_500	PowerSoil		2602172513	17683984	35	151.0	147.1485449	151.0	3072	2	1	0	0	no	Niccolò_Carlino
BertuzziAS_2018	ERS2032097	food	dairy	cheese	Cheddar	Cheddar	F	IRL	ERS2032097	ERR2212275	ERX2266628	ERP017154	PRJEB15423	NCBI	PAIRED	NextSeq_500	PowerSoil		2010148140	13586296	35	151.0	147.9540958	151.0	2524	3	1	0	0	no	Niccolò_Carlino
BertuzziAS_2018	ERS2032098	food	dairy	cheese	Cheddar	Cheddar	F	IRL	ERS2032098	ERR2212276	ERX2266629	ERP017154	PRJEB15423	NCBI	PAIRED	NextSeq_500	PowerSoil		1755460559	11744402	35	151.0	149.472111	151.0	2824	3	1	0	0	no	Niccolò_Carlino
