sample	BertuzziAS_2018__ERS2032089	BertuzziAS_2018__ERS2032090	BertuzziAS_2018__ERS2032091	BertuzziAS_2018__ERS2032092	BertuzziAS_2018__ERS2032093	BertuzziAS_2018__ERS2032094	BertuzziAS_2018__ERS2032095	BertuzziAS_2018__ERS2032096	BertuzziAS_2018__ERS2032097	BertuzziAS_2018__ERS2032098	BertuzziAS_2018__ERS2032099	BertuzziAS_2018__ERS2032100	BertuzziAS_2018__ERS2032101	BertuzziAS_2018__ERS2032102	BertuzziAS_2018__ERS2032103	BertuzziAS_2018__ERS2032104	BertuzziAS_2018__ERS2032105	BertuzziAS_2018__ERS2032106	BertuzziAS_2018__ERS2032107	BertuzziAS_2018__ERS2032108	BertuzziAS_2018__ERS2032109	BertuzziAS_2018__ERS2032110	BertuzziAS_2018__ERS2032111	BertuzziAS_2018__ERS2032112	BertuzziAS_2018__ERS2032113	BertuzziAS_2018__ERS2032114	BertuzziAS_2018__ERS2032115	BertuzziAS_2018__ERS2032116	BertuzziAS_2018__ERS2032117	BertuzziAS_2018__ERS2032118	BertuzziAS_2018__ERS2032119	BertuzziAS_2018__ERS2032120	BertuzziAS_2018__ERS2032121	BertuzziAS_2018__ERS2032122	BertuzziAS_2018__ERS2032123	BertuzziAS_2018__ERS2032124	BertuzziAS_2018__ERS2032125	BertuzziAS_2018__ERS2032126	BertuzziAS_2018__ERS2032127	BertuzziAS_2018__ERS2032128	BertuzziAS_2018__ERS2032129	BertuzziAS_2018__ERS2032130
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_cremoris|t__SGB7984	0.01564	0.00168	0.0	0.0	0.0	0.00289	0.0	0.0	0.0057	0.0	0.0	0.0	0.02655	0.0	0.00773	0.00139	0.01236	0.0	0.00323	0.0	0.00604	0.0004	0.00457	0.0	0.00758	0.00732	0.0	0.0155	0.00707	0.0	0.0	0.00404	0.0036	0.00314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__SGB7985	37.96614	19.58041	37.98243	38.61893	43.48847	27.50047	14.68528	33.77674	43.9261	25.93241	25.0941	24.09734	38.43536	17.90668	15.37178	7.94282	47.01537	10.41011	14.08577	1.95437	39.00627	8.08425	12.81961	3.54152	45.88575	20.20914	5.19312	16.61005	36.6512	13.92558	10.35583	15.02258	43.37748	20.77298	18.39171	14.45844	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes|t__SGB16955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_hormaechei|t__SGB10130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01407	0.0588	0.0	0.0	0.0117	0.0	0.0	0.0	0.0	0.02229	0.0	0.0	0.0	0.17696	0.0	0.0	0.06738	0.83213	0.0	0.03002	0.28383	0.06175	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_equorum|t__SGB7843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04595	0.03059	0.12876	0.0	0.02968	0.05091	0.0494	0.0	0.03838	0.01707	0.07724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_aurantiacum|t__SGB16639	0.0	0.01762	0.0	0.0	0.0	0.0	0.0	0.00113	0.00794	0.0	0.0	0.0	0.0	0.0	0.0	0.00199	0.0	0.0	0.0	0.01389	0.0	0.0	0.01408	0.01771	0.0	3.44829	48.00015	15.95327	0.0	11.66002	26.35171	24.36672	0.0	16.20983	18.45483	25.04726	0.0	0.0	0.0	3.03621	4.29261	4.60499
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_xylosus|t__SGB7847_group	0.0	0.00533	0.00304	0.00581	0.0	0.0	0.01377	0.0	0.01319	0.0	0.0	0.0	0.0	0.00446	0.00746	0.0	0.0	0.02066	0.0	0.0525	0.0	0.00571	0.05367	0.0226	0.0	12.84989	20.14215	12.50105	0.0	18.47001	14.30294	12.59958	0.0	15.79084	10.91988	15.60555	0.0	0.0	0.0	0.37467	0.56965	0.5785
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lacticaseibacillus|s__Lacticaseibacillus_paracasei|t__SGB7142	0.0	0.09979	0.14185	0.69524	0.0	0.64301	0.01319	0.25366	0.0	0.68733	0.11897	0.98916	0.0	0.05805	0.22553	0.65487	0.0	0.06561	0.37221	0.0622	0.0	0.16064	0.30076	0.25112	0.0	0.53219	0.02401	0.59325	0.0	1.28756	0.32238	0.32776	0.0	0.70858	0.49338	0.72943	0.0	0.0	0.0	0.0	0.0	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Debaryomyces|s__Debaryomyces_hansenii_group_1|t__EUK4959_1	0.0	0.0	0.02232	0.17919	0.0	0.0	0.0	0.00281	0.0	0.0	0.0	0.0	0.0	8.32729	3.03169	2.05824	0.0	5.38747	1.83573	0.09553	0.0	7.28327	2.83228	0.63378	0.0	9.80016	0.12144	6.04406	0.0	12.19268	4.70653	3.7057	0.0	7.76477	4.78983	4.49027	0.50893	0.44279	0.35039	4.73271	6.43429	6.90388
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Glutamicibacter|s__Glutamicibacter_arilaitensis|t__SGB16749	0.01708	0.04747	0.15863	0.0087	0.0048	0.0	0.14265	0.00869	0.01194	0.0	0.011	0.0167	0.0	0.51179	27.93944	46.96212	0.04102	33.44646	27.56604	61.70321	0.00095	30.81126	31.85549	58.32145	0.01357	0.24878	0.24891	0.35648	0.0	0.20036	0.84957	0.32093	0.0	0.41254	0.17006	0.58709	0.0	0.0	0.0	91.60559	88.70345	87.91263
