dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
BloomfieldSJ_2023	SRR22022232	food	fruits_and_vegetables	leafy_greens			NF	GBR	SAMN29160348	SRR22022232	SRX18004231	SRP404215	PRJNA849983	NCBI	PAIRED	Illumina NovaSeq 6000	Maxwell_RSC_PureFood_Pathogen_Kit	2019-06-10	6242246156.0	42180710.0	75.0	149.0	146.50443156100002	150	81822.0	3.0	1.0	0.0	0.0	no	Hrituraj Dey
BloomfieldSJ_2023	SRR22022233	food	fruits_and_vegetables	leafy_greens			NF	GBR	SAMN29160347	SRR22022233	SRX18004230	SRP404215	PRJNA849983	NCBI	PAIRED	Illumina NovaSeq 6000	Maxwell_RSC_PureFood_Pathogen_Kit	2019-06-03	5783367797.0	39245720.0	75.0	149.0	145.70336996799998	150	73067.0	2.0	0.0	0.0	0.0	no	Hrituraj Dey
BloomfieldSJ_2023	SRR22022234	food	meat	chicken			NF	GBR	SAMN29160320	SRR22022234	SRX18004229	SRP404215	PRJNA849983	NCBI	PAIRED	Illumina NovaSeq 6000	Maxwell_RSC_PureFood_Pathogen_Kit	2019-06-03	10251935879.0	71024654.0	75.0	149.0	141.44307641366666	150	86133.0	5.0	1.0	0.0	0.0	no	Hrituraj Dey
BloomfieldSJ_2023	SRR22022235	food	fruits_and_vegetables	leafy_greens			NF	GBR	SAMN29160346	SRR22022235	SRX18004228	SRP404215	PRJNA849983	NCBI	PAIRED	Illumina NovaSeq 6000	Maxwell_RSC_PureFood_Pathogen_Kit	2019-06-03	8172272732.0	55303556.0	75.0	149.0	146.58764825333336	151	106022.0	2.0	1.0	0.0	0.0	no	Hrituraj Dey
BloomfieldSJ_2023	SRR22022236	food	fruits_and_vegetables	leafy_greens			NF	GBR	SAMN29160345	SRR22022236	SRX18004227	SRP404215	PRJNA849983	NCBI	PAIRED	Illumina NovaSeq 6000	Maxwell_RSC_PureFood_Pathogen_Kit	2019-05-20	4935556548.0	40523798.0	75.0	137.0	121.937722177	150	42716.0	1.0	0.0	0.0	0.0	no	Hrituraj Dey
BloomfieldSJ_2023	SRR22022237	food	meat	chicken			NF	GBR	SAMN29160344	SRR22022237	SRX18004226	SRP404215	PRJNA849983	NCBI	PAIRED	Illumina NovaSeq 6000	Maxwell_RSC_PureFood_Pathogen_Kit	2019-11-25	8134033748.0	55385799.0	75.0	149.0	144.60054667866666	151	45965.0	2.0	1.0	0.0	0.0	no	Hrituraj Dey
BloomfieldSJ_2023	SRR22022238	food	meat	chicken			NF	GBR	SAMN29160343	SRR22022238	SRX18004225	SRP404215	PRJNA849983	NCBI	PAIRED	Illumina NovaSeq 6000	Maxwell_RSC_PureFood_Pathogen_Kit	2019-11-25	4656915196.0	32800197.0	75.0	149.0	141.036123963	151	12194.0	2.0	1.0	0.0	0.0	no	Hrituraj Dey
BloomfieldSJ_2023	SRR22022239	food	meat	chicken			NF	GBR	SAMN29160342	SRR22022239	SRX18004224	SRP404215	PRJNA849983	NCBI	PAIRED	Illumina NovaSeq 6000	Maxwell_RSC_PureFood_Pathogen_Kit	2019-11-25	6307876842.0	42581285.0	75.0	149.0	146.30104339866668	150	37839.0	2.0	0.0	0.0	0.0	no	Hrituraj Dey
BloomfieldSJ_2023	SRR22022240	food	meat	chicken			NF	GBR	SAMN29160341	SRR22022240	SRX18004223	SRP404215	PRJNA849983	NCBI	PAIRED	Illumina NovaSeq 6000	Maxwell_RSC_PureFood_Pathogen_Kit	2019-11-12	9992609237.0	67633026.0	75.0	149.0	146.12192098133332	150	58390.0	2.0	0.0	0.0	0.0	no	Hrituraj Dey
BloomfieldSJ_2023	SRR22022241	food	meat	chicken			NF	GBR	SAMN29160340	SRR22022241	SRX18004222	SRP404215	PRJNA849983	NCBI	PAIRED	Illumina NovaSeq 6000	Maxwell_RSC_PureFood_Pathogen_Kit	2019-10-28	17670789505.0	119919590.0	75.0	149.0	145.65284525599998	150	93002.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
BloomfieldSJ_2023	SRR22022242	food	meat	chicken			NF	GBR	SAMN29160339	SRR22022242	SRX18004221	SRP404215	PRJNA849983	NCBI	PAIRED	Illumina NovaSeq 6000	Maxwell_RSC_PureFood_Pathogen_Kit	2019-10-28	14944081067.0	101001859.0	75.0	149.0	146.25494376633333	150	63778.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
BloomfieldSJ_2023	SRR22022243	food	meat	chicken			NF	GBR	SAMN29160338	SRR22022243	SRX18004220	SRP404215	PRJNA849983	NCBI	PAIRED	Illumina NovaSeq 6000	Maxwell_RSC_PureFood_Pathogen_Kit	2019-10-14	17322687901.0	116288495.0	75.0	150.0	148.36132812133334	151	63572.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
