dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
BuzzancaD_2024	SRR30684823	food	dairy	cheese	PDO_cheese		F	ITA	SAMN43755280	SRR30684823	SRX26102968	SRP533087	PRJNA1160470	NCBI	PAIRED	Illumina NovaSeq 6000	DNeasy_PowerFood_Microbial_Kit	2023-05	6688704998.0	46083244.0	75.0	145.0	142.468674445	146	14857.0	2.0	0.0	2.0	0.0	no	Hrituraj Dey
BuzzancaD_2024	SRR30684824	food	dairy	cheese	PDO_cheese		F	ITA	SAMN43755279	SRR30684824	SRX26102967	SRP533087	PRJNA1160470	NCBI	PAIRED	Illumina NovaSeq 6000	DNeasy_PowerFood_Microbial_Kit	2023-05	6514138628.0	44875873.0	75.0	145.0	142.547452692	146	18156.0	4.0	1.0	0.0	1.0	no	Hrituraj Dey
BuzzancaD_2024	SRR30684825	food	dairy	cheese	PDO_cheese		F	ITA	SAMN43755278	SRR30684825	SRX26102966	SRP533087	PRJNA1160470	NCBI	PAIRED	Illumina NovaSeq 6000	DNeasy_PowerFood_Microbial_Kit	2023-05	6406825190.0	44146633.0	75.0	145.0	142.53600543333332	146	11762.0	1.0	1.0	0.0	2.0	no	Hrituraj Dey
BuzzancaD_2024	SRR30684826	food	dairy	cheese	PDO_cheese		F	ITA	SAMN43755277	SRR30684826	SRX26102965	SRP533087	PRJNA1160470	NCBI	PAIRED	Illumina NovaSeq 6000	DNeasy_PowerFood_Microbial_Kit	2023-05	3965648754.0	27315806.0	75.0	145.0	142.14992127566666	146	3307.0	4.0	0.0	0.0	0.0	no	Hrituraj Dey
BuzzancaD_2024	SRR30684827	food	dairy	cheese	PDO_cheese		F	ITA	SAMN43755276	SRR30684827	SRX26102964	SRP533087	PRJNA1160470	NCBI	PAIRED	Illumina NovaSeq 6000	DNeasy_PowerFood_Microbial_Kit	2023-05	7206458813.0	49639291.0	75.0	145.0	143.157108157	146	6399.0	2.0	0.0	0.0	1.0	no	Hrituraj Dey
BuzzancaD_2024	SRR30684828	food	dairy	cheese	PDO_cheese		F	ITA	SAMN43755275	SRR30684828	SRX26102963	SRP533087	PRJNA1160470	NCBI	PAIRED	Illumina NovaSeq 6000	DNeasy_PowerFood_Microbial_Kit	2023-05	9414128402.0	64852583.0	75.0	145.0	143.137105672	146	6102.0	5.0	1.0	0.0	0.0	no	Hrituraj Dey
BuzzancaD_2024	SRR30684829	food	dairy	cheese	PDO_cheese		F	ITA	SAMN43755309	SRR30684829	SRX26102962	SRP533087	PRJNA1160470	NCBI	PAIRED	Illumina NovaSeq 6000	DNeasy_PowerFood_Microbial_Kit	2023-06	7521774331.0	51806855.0	75.0	145.0	142.836138126	146	13833.0	7.0	2.0	0.0	0.0	no	Hrituraj Dey
BuzzancaD_2024	SRR30684830	food	dairy	cheese	non_PDO_cheese		F	ITA	SAMN43755308	SRR30684830	SRX26102961	SRP533087	PRJNA1160470	NCBI	PAIRED	Illumina NovaSeq 6000	DNeasy_PowerFood_Microbial_Kit	2023-06	10369299450.0	71419497.0	75.0	145.0	142.8142480723333	146	12674.0	2.0	1.0	0.0	0.0	no	Hrituraj Dey
BuzzancaD_2024	SRR30684831	food	dairy	cheese	non_PDO_cheese		F	ITA	SAMN43755307	SRR30684831	SRX26102960	SRP533087	PRJNA1160470	NCBI	PAIRED	Illumina NovaSeq 6000	DNeasy_PowerFood_Microbial_Kit	2023-06	9487344030.0	65367256.0	75.0	145.0	143.15131543333334	146	23782.0	5.0	2.0	1.0	0.0	no	Hrituraj Dey
BuzzancaD_2024	SRR30684832	food	dairy	cheese	non_PDO_cheese		F	ITA	SAMN43755306	SRR30684832	SRX26102959	SRP533087	PRJNA1160470	NCBI	PAIRED	Illumina NovaSeq 6000	DNeasy_PowerFood_Microbial_Kit	2023-06	10752353867.0	74099616.0	75.0	145.0	143.51139489	146	9460.0	3.0	2.0	0.0	1.0	no	Hrituraj Dey
