clade_name	BuzzancaD_2024__SRR30684823	BuzzancaD_2024__SRR30684824	BuzzancaD_2024__SRR30684825	BuzzancaD_2024__SRR30684827	BuzzancaD_2024__SRR30684826	BuzzancaD_2024__SRR30684828	BuzzancaD_2024__SRR30684829	BuzzancaD_2024__SRR30684830	BuzzancaD_2024__SRR30684831	BuzzancaD_2024__SRR30684832	BuzzancaD_2024__SRR30684833	BuzzancaD_2024__SRR30684834	BuzzancaD_2024__SRR30684835	BuzzancaD_2024__SRR30684836	BuzzancaD_2024__SRR30684837	BuzzancaD_2024__SRR30684838	BuzzancaD_2024__SRR30684839	BuzzancaD_2024__SRR30684840	BuzzancaD_2024__SRR30684841	BuzzancaD_2024__SRR30684842	BuzzancaD_2024__SRR30684843	BuzzancaD_2024__SRR30684844	BuzzancaD_2024__SRR30684845	BuzzancaD_2024__SRR30684846	BuzzancaD_2024__SRR30684847	BuzzancaD_2024__SRR30684848	BuzzancaD_2024__SRR30684849	BuzzancaD_2024__SRR30684850	BuzzancaD_2024__SRR30684851	BuzzancaD_2024__SRR30684852	BuzzancaD_2024__SRR30684853	BuzzancaD_2024__SRR30684854	BuzzancaD_2024__SRR30684855	BuzzancaD_2024__SRR30684856	BuzzancaD_2024__SRR30684857	BuzzancaD_2024__SRR30684858	BuzzancaD_2024__SRR30684859	BuzzancaD_2024__SRR30684860	BuzzancaD_2024__SRR30684861
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_cremoris|t__SGB7984	95.11361	64.53558	0.0	0.0	0.0	9.68341	0.06317	6.2937	26.9537	0.04197	79.80039	87.40941	83.59988	97.75794	97.75287	69.15013	0.0	0.00204	0.95396	0.0	8.64033	4.40836	1.13046	93.75102	0.22283	75.03334	73.81371	85.6511	72.40796	89.53757	0.0	2.95643	57.04317	63.97213	53.10868	48.5353	54.37671	11.8515	77.48555
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_mesenteroides|t__SGB7126	4.72534	3.69957	0.95229	0.02704	4.39142	2.88269	0.0	0.00132	2.85234	0.0	6.86609	0.48815	4.03841	0.0	0.0	5.73611	1.29917	2.70899	0.0	1.75825	0.0	3.28902	0.00038	3.76749	0.0	0.11508	0.0	1.77271	0.20043	1.71686	0.54059	1.11698	5.75913	3.11552	0.6766	0.76998	0.69668	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_helveticus|t__SGB7048	0.05138	0.0	0.0	0.0	0.0	0.0	0.00809	0.0	0.0	0.0	0.0	0.01763	0.0	0.0	0.0	0.0	0.03163	0.0	0.0	0.13538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06575	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_raffinolactis|t__SGB7989	0.05031	19.14313	0.0	0.13324	2.08133	0.01558	1.0374	0.0	0.09535	0.0	0.0	0.01209	0.665	0.0	0.0	1.4119	0.0	17.05408	4.64027	0.0	0.0	1.34801	0.00143	0.0	0.01405	0.0	0.0	0.0	0.07089	0.0	0.03865	0.00569	26.61171	0.02601	0.26842	0.02531	0.26345	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Obesumbacterium|s__Obesumbacterium_proteus|t__SGB10208	0.02242	0.00601	0.0	0.0	0.01031	0.0	0.0	0.0	0.22942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_mongoliense|t__SGB17228	0.01532	0.0	0.0	0.00197	0.0	0.0	0.0	0.0	0.0525	0.0	0.09926	0.0	0.0	0.0	0.0	0.05905	0.0	0.00124	0.00325	0.0	0.0	0.01174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00711	0.00192	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9039|o__OFGB9039|f__FGB9039|g__GGB26873|s__GGB26873_SGB39064|t__SGB39064	0.00879	0.0	0.0	0.27715	0.53506	0.0	0.0	0.0	1.28755	0.0	0.1042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47685	0.0	0.00077	0.0	0.0	0.0	0.03337	0.0	0.0	0.0	2.07333	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Raoultella|s__Raoultella_ornithinolytica|t__SGB10124	0.00878	0.18793	0.0	0.0	0.00156	0.00099	0.20254	0.0	0.1218	0.01973	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.08125	0.0	0.0	0.01108	0.0	0.0	0.0	0.0	0.0	0.0	0.0004	0.0	0.30079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_crudilactis|t__SGB33632	0.00383	0.0	0.0	0.00618	0.00363	0.0	0.0	0.0	0.01001	0.0	0.07251	0.0	0.0	0.0	0.0	0.09379	0.0	0.0	0.03006	0.0	0.0	0.0282	0.0	0.0	0.0	0.0	0.0	0.00511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_kefiranofaciens|t__SGB7046	0.00022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02692	0.0	0.0	0.0	0.0	0.0	0.0	0.0
