sample	ChaconVargasK_2020__SRS6087094	ChaconVargasK_2020__SRS6087091	ChaconVargasK_2020__SRS6087090	ChaconVargasK_2020__SRS6087089	ChaconVargasK_2020__SRS6087088
macrocategory	food	food	food	food	food
category	fermented_beverages	fermented_beverages	fermented_beverages	fermented_beverages	fermented_beverages
type	pulque	pulque	pulque	pulque	pulque
subtype	aguamiel_pulque	aguamiel_pulque	aguamiel_pulque	aguamiel_pulque	aguamiel_pulque
country	MEX	MEX	MEX	MEX	MEX
source	public	public	public	public	public
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_sp_H83|t__SGB16884	0	0.02313	0.02884	0.01907	0.02376
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Soonwooa|s__Soonwooa_buanensis|t__SGB2626	0	0.00014	0.00056	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Fructilactobacillus|s__Fructilactobacillus_fructivorans|t__SGB7161	0.0	0.00497	0.0	0.00237	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Fructilactobacillus|s__Fructilactobacillus_sanfranciscensis|t__SGB7164	0.0011	0.00431	0.00306	0.00753	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lacticaseibacillus|s__Lacticaseibacillus_paracasei|t__SGB7142_group	0.0	0.00041	0.0	0.00019	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus|s__Lentilactobacillus_diolivorans|t__SGB7225	0.02041	0.07677	0.03585	0.0519	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus|s__Lentilactobacillus_hilgardii|t__SGB7216	0.25781	0.67974	0.32257	0.51047	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus|s__Lentilactobacillus_kefiri|t__SGB7221	0.03247	0.10674	0.0552	0.0839	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus|s__Lentilactobacillus_otakiensis|t__SGB7218	0.10333	0.27104	0.1507	0.20347	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_SGB94715|t__SGB94715	58.31999	43.47898	39.35087	40.73252	71.94384
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_citreum|t__SGB7122	0.18186	0.12183	0.11352	0.11855	0.34251
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_mesenteroides|t__SGB7126	0.23399	0.16499	0.17565	0.19614	0.68727
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_pseudomesenteroides|t__SGB69408	0.0	0.0	0.0	0.0	0.00206
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Levilactobacillus|s__Levilactobacillus_brevis|t__SGB7196_group	0.0	0.02485	0.00814	0.01395	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Liquorilactobacillus|s__Liquorilactobacillus_capillatus|t__SGB7069	0.07512	0.10118	0.04902	0.05126	0.41268
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Liquorilactobacillus|s__Liquorilactobacillus_ghanensis|t__SGB7064	0.00946	0.0454	0.02784	0.04038	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Liquorilactobacillus|s__Liquorilactobacillus_hordei|t__SGB7074	0.0	0.00091	0.0	0.00371	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Liquorilactobacillus|s__Liquorilactobacillus_uvarum|t__SGB7067	0.02758	0.06403	0.0252	0.04809	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Secundilactobacillus|s__Secundilactobacillus_yichangensis|t__SGB94445	0.09605	0.27839	0.13668	0.16617	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella|s__Weissella_beninensis|t__SGB94717	0.02194	0.06016	0.04592	0.01165	0.42106
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_SGB96887|t__SGB96887	1.93833	1.44395	1.65266	1.25597	4.81764
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_cremoris|t__SGB7984	0.06421	0.13587	0.13591	0.1066	0.31541
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_plantarum|t__SGB25308	0.0	0.0004	0.00038	0.00018	0.0
k__Bacteria|p__Firmicutes|c__CFGB9039|o__OFGB9039|f__FGB9039|g__GGB26873|s__GGB26873_SGB39064|t__SGB39064	2.34569	6.42777	2.23029	2.93383	0.47145
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_aceti|t__SGB1169	0.0	0.0022	0.0	0.0	0.00137
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_ascendens|t__SGB1195	0.0	0.0	0.0	0.00323	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_estunensis|t__SGB89224	0.03843	0.04152	0.04497	0.04632	0.03441
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_fabarum|t__SGB1190	0.0	0.00695	0.01491	0.0106	0.00717
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_lambici|t__SGB89217	0.0	0.00446	0.00552	0.00526	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_malorum|t__SGB1201	0.0	0.00153	0.00366	0.00176	0.0072
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_malorum|t__SGB1202	0.03076	0.03026	0.03126	0.04095	0.01713
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_papayae|t__SGB30486	0.0	0.00561	0.00281	0.00112	0.02129
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_pasteurianus|t__SGB1196	0.0	0.0055	0.01014	0.00965	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_pomorum|t__SGB1194	0.14129	0.1217	0.155	0.12987	0.43466
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_suratthaniensis|t__SGB92975	0.0	0.0	0.0	0.0	0.00075
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_SGB69209|t__SGB69209	0.0	0.00204	0.00019	0.00017	0.00423
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_cerinus|t__SGB1160	0.00835	0.01578	0.01763	0.00941	0.06698
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_roseus|t__SGB1167	0.0	0.00547	0.00605	0.00266	0.02792
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_vitians|t__SGB89211	0.00194	0.02373	0.01471	0.00526	0.11434
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Komagataeibacter|s__Komagataeibacter_sp_FXV3|t__SGB89228	0.0	0.0	0.0	0.00071	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Zymomonadaceae|g__Zymomonas|s__Zymomonas_mobilis|t__SGB19526	18.16347	25.75799	28.23608	27.49183	9.74553
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Zymomonadaceae|g__Zymomonas|s__Zymomonas_mobilis|t__SGB19527	0.01078	0.0151	0.01283	0.01779	0.00033
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Zymomonadaceae|g__Zymomonas|s__Zymomonas_mobilis|t__SGB77042	12.89831	18.182	19.26307	19.99954	8.07655
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Kluyvera|s__Kluyvera_intermedia|t__SGB31156	0.12208	0.16549	0.15989	0.10394	0.7556
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Hafnia|s__Hafnia_alvei|t__SGB10209	0.18976	0.22453	0.25971	0.18101	1.22888
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Rahnella|s__Rahnella_sp_AA|t__SGB10242	0.0	0.00287	0.00038	0.00198	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_poae|t__SGB22768	0	0	0	0	0.00593
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces|s__Saccharomyces_paradoxus|t__EUK27291	4.66549	1.86933	7.21232	5.37903	0.01206
