sample	CrovadoreJ_2017__SRS1943747	CrovadoreJ_2017__SRS1929208	CrovadoreJ_2017__SRS1929189	CrovadoreJ_2017__SRS1919172	CrovadoreJ_2017__SRS1919134
macrocategory	food	food	food	food	food
category	other	other	other	other	other
type	honey	honey	honey	honey	honey
subtype	honeydew_honey	wild_lavender_honey	lavender_honey	royal_jelly	chestnut_honey
country	FRA	FRA	FRA	FRA	FRA
source	public	public	public	public	public
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Apilactobacillus|s__Apilactobacillus_apinorum|t__SGB7159	8.31132	16.03126	20.0099	38.98913	14.93685
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Apilactobacillus|s__Apilactobacillus_bombintestini|t__SGB29586	0.0	0.0	0.0	1.22833	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Apilactobacillus|s__Apilactobacillus_kunkeei|t__SGB49071	5.39945	4.98517	10.26179	9.52658	13.75298
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Apilactobacillus|s__Apilactobacillus_kunkeei|t__SGB7157	59.36648	71.29079	63.93139	34.44971	67.22931
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Fructobacillus|s__Fructobacillus_broussonetiae|t__SGB94429	0	0	0.0	0.00037	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Fructobacillus|s__Fructobacillus_fructosus|t__SGB7132	0	0	0.05182	0.72774	0.35235
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Fructobacillus|s__Fructobacillus_papyrifericola|t__SGB94427	0	0	0.0	1.6123	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Fructobacillus|s__Fructobacillus_pseudoficulneus|t__SGB7130	0	0	0.0	1.44509	1.55868
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Fructobacillus|s__Fructobacillus_tropaeoli|t__SGB7131	0	0	0.0	0.72865	0.20515
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_helsingborgensis|t__SGB7031	0	0	0.0	0.04685	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Lichenibacteriaceae|g__Lichenibacterium|s__Lichenibacterium_minor|t__SGB31893	0.06765	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Bombella|s__Bombella_favorum|t__SGB1158	0.02925	0.0	0.02554	0.33095	0.05764
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Bombella|s__Bombella_mellum|t__SGB89198	1.46528	0.12611	0.89192	3.55156	0.23479
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Commensalibacter|s__Commensalibacter_sp_AMU001|t__SGB24139	0.0	0.0	0.0	0.00509	0.00523
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Parasaccharibacter|s__Parasaccharibacter_apium|t__SGB1157	4.78619	0.44585	0.88517	4.16353	0.55749
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Parasaccharibacter|s__Parasaccharibacter_apium|t__SGB1159	0.0	1.06131	0.58345	1.37687	0.11682
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Snodgrassella|s__Snodgrassella_alvi|t__SGB9492	0	0	0.01954	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Erwinia|s__Erwinia_sp_ErVv1|t__SGB31232	3.14641	0.0	0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Rosenbergiella|s__Rosenbergiella_nectarea|t__SGB23306	0.0	0.0	0	0.0	0.02907
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Arsenophonus|s__Arsenophonus_endosymbiont_of_Apis_mellifera|t__SGB81701	0.58079	0.05032	0	0.36181	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Lonsdalea|s__Lonsdalea_britannica|t__SGB10284	3.43139	0.0	0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia_symbiotica|t__SGB10247	13.41578	0.0	0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_apis|t__SGB22950	0	0.0	0.00436	0.92865	0.07103
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_baretiae|t__SGB92557	0	0.0	0.02983	0.11195	0.34478
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_boissieri|t__SGB22951	0	0.0	0.0	0.05039	0.06583
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_nectaris|t__SGB10418	0	0.0	0.0	0.05067	0.0544
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_pollinis|t__SGB92556	0	6.00919	0.08992	0.31378	0.42761
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales|f__Orbaceae|g__Frischella|s__Frischella_perrara|t__SGB9628	0	0.0	2.72103	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales|f__Orbaceae|g__Gilliamella|s__Gilliamella_apicola|t__SGB9620	0	0.0	0.37802	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales|f__Orbaceae|g__Gilliamella|s__Gilliamella_apis|t__SGB9623	0	0.0	0.1163	0.0	0.0
