clade_name	DasM_2024__SRR29845383	DasM_2024__SRR29845382	DasM_2024__SRR29845380	DasM_2024__SRR29988523	DasM_2024__SRR29845385	DasM_2024__SRR29845384
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Delftia|s__Delftia_acidovorans|t__SGB12680	26.50527	37.21319	22.39776	30.49774	11.50562	12.84116
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Shouchella|s__Shouchella_clausii|t__SGB8291	13.65557	3.19744	1.6225	2.15384	1.08324	16.83905
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Aquitalea|s__Aquitalea_aquatilis|t__SGB32876	12.24857	15.82844	10.03382	13.85416	6.38161	5.5392
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Caldibacillus|s__Caldibacillus_thermoamylovorans|t__SGB7728	7.54535	1.66991	2.07989	1.98058	5.09107	10.71678
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_subtilis|t__SGB7788_group	5.18856	0.19117	1.67299	1.03363	0.59188	8.13842
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_capsici|t__SGB7494	4.78076	8.00889	3.63948	5.13027	3.0894	2.54474
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Caryophanaceae|g__Savagea|s__Savagea_serpentis|t__SGB82711	3.51396	5.89486	2.39612	3.28431	3.8883	2.44553
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Rahnella|s__Rahnella_contaminans|t__SGB81713	3.4803	5.11342	2.68129	3.53886	2.92448	1.9213
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Lysobacteraceae|g__Stenotrophomonas|s__Stenotrophomonas_maltophilia|t__SGB12459	3.22373	4.27922	2.50246	3.65194	1.2149	1.61767
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales|f__Lysobacteraceae|g__Stenotrophomonas|s__Stenotrophomonas_maltophilia|t__SGB12462	2.95699	4.012	2.51861	3.29417	1.19054	1.5807
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus|s__Vagococcus_fluvialis|t__SGB7918	2.67641	3.34591	1.57343	1.75056	2.69957	2.45142
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus|s__Vagococcus_lutrae|t__SGB7921	2.21997	0.63583	1.20447	1.02273	3.21423	3.48994
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_altitudinis|t__SGB7770	1.73458	6.50783	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_safensis|t__SGB7774	1.35955	0.02358	0.0	0.0	0.0	1.68544
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lederbergia|s__Lederbergia_ruris|t__SGB82812	1.18696	0.0	0.0	0.0	0.0	1.58796
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Oceanobacillus|s__Oceanobacillus_caeni|t__SGB7668	0.77362	0.0	1.0798	0.70421	2.22407	1.80117
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Siminovitchia|s__Siminovitchia_fordii|t__SGB24960	0.75935	0.0	0.0	0.0	0.0	1.05026
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Cardiobacteriales|f__Ignatzschineriaceae|g__Ignatzschineria|s__Ignatzschineria_rhizosphaerae|t__SGB109119	0.62217	0.0	5.23392	3.14039	4.87887	2.44228
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_paralicheniformis|t__SGB208659_group	0.48578	0.08822	0.0	0.0	0.0	0.53794
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Siminovitchia|s__Siminovitchia_fortis|t__SGB30224	0.48415	0.00493	0.0	0.0	0.0	0.65075
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_baumannii|t__SGB10343	0.48234	0.80185	0.23879	0.33388	0.34208	0.2584
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_pakistanensis|t__SGB39113	0.47933	0.82901	0.30111	0.4669	0.34021	0.25751
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Proteus|s__Proteus_mirabilis|t__SGB9992	0.44263	0.0	0.1134	0.12477	0.34931	0.64054
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Caryophanaceae|g__Metalysinibacillus|s__Metalysinibacillus_saudimassiliensis|t__SGB7503	0.42853	0.84752	0.31423	0.43167	0.46834	0.27214
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_velezensis|t__SGB7785	0.4111	0.11637	0.00359	0.00679	0.04899	0.43999
k__Bacteria|p__Deinococcota|c__Deinococci|o__Thermales|f__Thermaceae|g__Allomeiothermus|s__Allomeiothermus_silvanus|t__SGB17563	0.32564	0.27052	0.14437	0.2192	0.03992	0.21852
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Cardiobacteriales|f__Ignatzschineriaceae|g__GGB96194|s__GGB96194_SGB123218|t__SGB123218	0.28381	0.0	0.03681	0.03421	0.01582	0.42982
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Oceanobacillus|s__Oceanobacillus_sojae|t__SGB82742	0.25614	0.0	0.12612	0.07527	0.32554	0.4724
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lederbergia|s__Lederbergia_galactosidilytica|t__SGB7644	0.23755	0.0	0.0	0.0	0.0	0.36255
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus|s__Vagococcus_carniphilus|t__SGB29898	0.17858	0.23473	0.13198	0.18492	0.14224	0.16096
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_irui|t__SGB82703	0.12681	0.19011	0.05494	0.10783	0.02845	0.0721
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas|s__Comamonas_testosteroni|t__SGB12681	0.10576	0.1413	0.1128	0.15077	0.05483	0.05464
