dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
DecadtH_2024	ERR11718190	food	dairy	cheese	gouda_cheese		F	BEL	SAMEA114069774	ERR11718190	ERX11119065	ERP149479	PRJEB64331	NCBI	PAIRED	Illumina_NovaSeq_6000	other	2019	1751780809	7683645	75	250.0	223.353788	251.0	1953	2	0	0	0	no	Hrituraj_Dey
DecadtH_2024	ERR11718191	food	dairy	cheese	gouda_cheese		F	BEL	SAMEA114069775	ERR11718191	ERX11119066	ERP149479	PRJEB64331	NCBI	PAIRED	Illumina_NovaSeq_6000	other	2019	630333845	2652468	75	251.0	233.660671	251.0	1442	1	0	0	0	no	Hrituraj_Dey
DecadtH_2024	ERR11718192	food	dairy	cheese	gouda_cheese		F	BEL	SAMEA114069776	ERR11718192	ERX11119067	ERP149479	PRJEB64331	NCBI	PAIRED	Illumina_NovaSeq_6000	other	2019	2402143774	10682161	75	250.0	220.335584	251.0	2523	2	0	0	0	no	Hrituraj_Dey
DecadtH_2024	ERR11718193	food	dairy	cheese	gouda_cheese		F	BEL	SAMEA114069777	ERR11718193	ERX11119068	ERP149479	PRJEB64331	NCBI	PAIRED	Illumina_NovaSeq_6000	other	2019	1150438175	4769738	75	251.0	237.96209	251.0	1352	0	0	0	0	no	Hrituraj_Dey
DecadtH_2024	ERR11718194	food	dairy	cheese	gouda_cheese		F	BEL	SAMEA114069778	ERR11718194	ERX11119069	ERP149479	PRJEB64331	NCBI	PAIRED	Illumina_NovaSeq_6000	other	2019	2304011507	10610918	75	235.0	213.242175	251.0	2963	2	0	0	0	no	Hrituraj_Dey
DecadtH_2024	ERR11718195	food	dairy	cheese	gouda_cheese		F	BEL	SAMEA114069779	ERR11718195	ERX11119070	ERP149479	PRJEB64331	NCBI	PAIRED	Illumina_NovaSeq_6000	other	2019	1295582360	5526125	75	251.0	229.972436	251.0	3045	2	0	0	0	no	Hrituraj_Dey
DecadtH_2024	ERR11718196	food	dairy	cheese	gouda_cheese		F	BEL	SAMEA114069780	ERR11718196	ERX11119071	ERP149479	PRJEB64331	NCBI	PAIRED	Illumina_NovaSeq_6000	other	2019	2352112106	10248602	75	250.0	224.955584	251.0	4127	1	0	0	0	no	Hrituraj_Dey
DecadtH_2024	ERR11718197	food	dairy	cheese	gouda_cheese		F	BEL	SAMEA114069781	ERR11718197	ERX11119072	ERP149479	PRJEB64331	NCBI	PAIRED	Illumina_NovaSeq_6000	other	2019	2338783020	9999311	75	250.0	229.605287	251.0	4475	3	0	0	0	no	Hrituraj_Dey
DecadtH_2024	ERR11718198	food	dairy	cheese	gouda_cheese		F	BEL	SAMEA114069782	ERR11718198	ERX11119073	ERP149479	PRJEB64331	NCBI	PAIRED	Illumina_NovaSeq_6000	other	2019	1283495775	5415504	75	251.0	233.1016	251.0	2114	4	0	0	0	no	Hrituraj_Dey
DecadtH_2024	ERR11718199	food	dairy	cheese	gouda_cheese		F	BEL	SAMEA114069783	ERR11718199	ERX11119074	ERP149479	PRJEB64331	NCBI	PAIRED	Illumina_NovaSeq_6000	other	2019	993108715	4266367	75	250.0	228.203932	251.0	2168	1	0	0	0	no	Hrituraj_Dey
DecadtH_2024	ERR11718200	food	dairy	cheese	gouda_cheese		F	BEL	SAMEA114069784	ERR11718200	ERX11119075	ERP149479	PRJEB64331	NCBI	PAIRED	Illumina_NovaSeq_6000	other	2019	2148197113	9493909	75	250.0	221.653474	251.0	3143	3	0	0	0	no	Hrituraj_Dey
DecadtH_2024	ERR11718201	food	dairy	cheese	gouda_cheese		F	BEL	SAMEA114069785	ERR11718201	ERX11119076	ERP149479	PRJEB64331	NCBI	PAIRED	Illumina_NovaSeq_6000	other	2019	727688315	3053644	75	251.0	234.653092	251.0	2607	3	0	0	0	no	Hrituraj_Dey
DecadtH_2024	ERR11718202	food	dairy	cheese	gouda_cheese		F	BEL	SAMEA114069786	ERR11718202	ERX11119077	ERP149479	PRJEB64331	NCBI	PAIRED	Illumina_NovaSeq_6000	other	2019	1475419543	6444612	75	250.0	224.142035	251.0	2402	3	0	0	0	no	Hrituraj_Dey
DecadtH_2024	ERR11718203	food	dairy	cheese	gouda_cheese		F	BEL	SAMEA114069787	ERR11718203	ERX11119078	ERP149479	PRJEB64331	NCBI	PAIRED	Illumina_NovaSeq_6000	other	2019	571152619	2390111	75	251.0	235.255283	251.0	1826	2	0	0	0	no	Hrituraj_Dey
