dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	Part_of_cheese	Milk_source	Animal_feeding	Milk_processing	Thermisation	Pasteurization	Skimming	Inoculation_of_moulds	Curd_cutting	Presence_of_rind	Backslopping	Starter_culture	Technology_of_production	Coagulation_method	Ripening_period	Rheological_properties	Temperature_of_curd_processing_Celsius_degree	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
FalardeauJ_2023	SRR20811130	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30028980	SRR20811130	SRX16830895	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		874233558	5872415	75	151.0	148.1461	151.0	4533	0	0	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811131	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30028979	SRR20811131	SRX16830894	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		865238539	5807853	75	151.0	148.1376	151.0	3984	4	2	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811132	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30028978	SRR20811132	SRX16830893	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		835760414	5611081	75	151.0	147.9743	151.0	5757	4	2	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811133	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30028977	SRR20811133	SRX16830892	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		537319254	3607441	75	151.0	147.9721	151.0	12701	2	6	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811134	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30028976	SRR20811134	SRX16830891	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		637630940	4279653	75	151.0	148.0239	151.0	11109	3	5	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811136	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30028975	SRR20811136	SRX16830889	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		535057825	3815885	75	150.0	139.2486	151.0	4231	2	2	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811137	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30028974	SRR20811137	SRX16830888	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		633058497	4246745	75	151.0	147.9737	151.0	3643	2	4	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811138	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30028973	SRR20811138	SRX16830887	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		414326596	3172887	75	149.0	130.6317	151.0	3789	3	1	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811139	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30028972	SRR20811139	SRX16830886	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		371357718	2953767	75	136.0	126.1862	151.0	5720	1	0	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811140	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30028971	SRR20811140	SRX16830885	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		623728300	4188711	75	150.0	148.0557	151.0	1357	1	2	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811141	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30028970	SRR20811141	SRX16830884	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		689071094	4630520	75	150.0	147.693	151.0	2097	1	1	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811142	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30028969	SRR20811142	SRX16830883	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		847679715	5687583	75	151.0	147.9578	151.0	2009	1	1	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811143	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30028968	SRR20811143	SRX16830882	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		726783338	4885414	75	151.0	147.8902	151.0	3610	1	0	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811144	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30028967	SRR20811144	SRX16830881	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		460638689	3385344	75	150.0	135.5297	151.0	8089	0	1	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811145	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30028966	SRR20811145	SRX16830880	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		702557526	4711113	75	151.0	148.0326	151.0	1609	2	1	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811147	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30028965	SRR20811147	SRX16830878	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		706797460	4739473	75	151.0	148.1799	151.0	4392	1	0	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811148	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30028964	SRR20811148	SRX16830877	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		637486920	4275074	75	151.0	147.9476	151.0	992	2	0	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811149	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30028963	SRR20811149	SRX16830876	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		688028406	4615027	75	151.0	147.8029	151.0	1030	1	0	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811150	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30028962	SRR20811150	SRX16830875	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		772883555	5188692	75	151.0	147.5527	151.0	1605	4	0	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811151	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30028961	SRR20811151	SRX16830874	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		600303052	4302545	75	150.0	138.5715	151.0	16611	1	1	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811152	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30028960	SRR20811152	SRX16830873	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		657760442	4732506	75	150.0	138.3576	151.0	8839	4	1	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811153	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30028959	SRR20811153	SRX16830872	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		632507799	4518333	75	150.0	139.105	151.0	9506	2	2	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811174	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30028958	SRR20811174	SRX16830851	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		665407554	4787165	75	150.0	138.1218	151.0	9186	2	2	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811175	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30028957	SRR20811175	SRX16830850	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		598862297	4444374	75	150.0	133.3629	151.0	7151	0	1	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811176	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30028956	SRR20811176	SRX16830849	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		342698221	2641101	75	149.0	128.5177	151.0	2994	4	0	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811178	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30028955	SRR20811178	SRX16830847	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		510327113	3844317	75	150.0	132.0085	151.0	3624	1	1	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811179	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30028954	SRR20811179	SRX16830846	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		2363344788	16274133	75	151.0	143.7145	151.0	15316	3	2	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811221	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30029009	SRR20811221	SRX16830804	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		686083042	4608711	75	150.0	148.191	151.0	12488	4	3	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811222	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30029008	SRR20811222	SRX16830803	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		863860837	5811140	75	150.0	147.8333	151.0	14109	3	3	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811223	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30029007	SRR20811223	SRX16830802	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		804847071	5412047	75	150.0	148.068	151.0	15971	5	3	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811224	food	dairy	cheese	surface_ripened_soft_cheeses		F	Core	Cow		Pasteurized	No	Yes		Yes	Ladled	Yes	No	Selected	Uncooked	Rennet	1_to_3_months	Soft	No_heating_beyond_coagulation	CAN	SAMN30029006	SRR20811224	SRX16830801	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit		610079676	4104520	75	150.0	148.0098	151.0	12198	5	2	0	0	no	Hrituraj_Dey
