dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
FalardeauJ_2023	SRR20811130	food	dairy	cheese	surface_ripened_soft_cheeses		F	CAN	SAMN30028980	SRR20811130	SRX16830895	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit	 	874233558.0	5872415	75	151	148.1461	151	4533	0	0	0	0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811131	food	dairy	cheese	surface_ripened_soft_cheeses		F	CAN	SAMN30028979	SRR20811131	SRX16830894	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit	 	865238539.0	5807853	75	151	148.1376	151	3984	4.0	2.0	0.0	0.0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811132	food	dairy	cheese	surface_ripened_soft_cheeses		F	CAN	SAMN30028978	SRR20811132	SRX16830893	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit	 	835760414.0	5611081	75	151	147.9743	151	5757	4.0	2.0	0.0	0.0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811133	food	dairy	cheese	surface_ripened_soft_cheeses		F	CAN	SAMN30028977	SRR20811133	SRX16830892	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit	 	537319254.0	3607441	75	151	147.9721	151	12701	2.0	6.0	0.0	0.0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811134	food	dairy	cheese	surface_ripened_soft_cheeses		F	CAN	SAMN30028976	SRR20811134	SRX16830891	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit	 	637630940.0	4279653	75	151	148.0239	151	11109	3.0	5.0	0.0	0.0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811136	food	dairy	cheese	surface_ripened_soft_cheeses		F	CAN	SAMN30028975	SRR20811136	SRX16830889	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit	 	535057825.0	3815885	75	150	139.2486	151	4231	2.0	2.0	0.0	0.0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811137	food	dairy	cheese	surface_ripened_soft_cheeses		F	CAN	SAMN30028974	SRR20811137	SRX16830888	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit	 	633058497.0	4246745	75	151	147.9737	151	3643	2.0	4.0	0.0	0.0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811138	food	dairy	cheese	surface_ripened_soft_cheeses		F	CAN	SAMN30028973	SRR20811138	SRX16830887	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit	 	414326596.0	3172887	75	149	130.6317	151	3789	3.0	1.0	0.0	0.0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811139	food	dairy	cheese	surface_ripened_soft_cheeses		F	CAN	SAMN30028972	SRR20811139	SRX16830886	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit	 	371357718.0	2953767	75	136	126.1862	151	5720	1.0	0.0	0.0	0.0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811140	food	dairy	cheese	surface_ripened_soft_cheeses		F	CAN	SAMN30028971	SRR20811140	SRX16830885	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit	 	623728300.0	4188711	75	150	148.0557	151	1357	1.0	2.0	0.0	0.0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811141	food	dairy	cheese	surface_ripened_soft_cheeses		F	CAN	SAMN30028970	SRR20811141	SRX16830884	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit	 	689071094.0	4630520	75	150	147.693	151	2097	1.0	1.0	0.0	0.0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811142	food	dairy	cheese	surface_ripened_soft_cheeses		F	CAN	SAMN30028969	SRR20811142	SRX16830883	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit	 	847679715.0	5687583	75	151	147.9578	151	2009	1.0	1.0	0.0	0.0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811143	food	dairy	cheese	surface_ripened_soft_cheeses		F	CAN	SAMN30028968	SRR20811143	SRX16830882	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit	 	726783338.0	4885414	75	151	147.8902	151	3610	1.0	0.0	0.0	0.0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811144	food	dairy	cheese	surface_ripened_soft_cheeses		F	CAN	SAMN30028967	SRR20811144	SRX16830881	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit	 	460638689.0	3385344	75	150	135.5297	151	8089	0.0	1.0	0.0	0.0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811145	food	dairy	cheese	surface_ripened_soft_cheeses		F	CAN	SAMN30028966	SRR20811145	SRX16830880	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit	 	702557526.0	4711113	75	151	148.0326	151	1609	2.0	1.0	0.0	0.0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811147	food	dairy	cheese	surface_ripened_soft_cheeses		F	CAN	SAMN30028965	SRR20811147	SRX16830878	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit	 	706797460.0	4739473	75	151	148.1799	151	4392	1.0	0.0	0.0	0.0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811148	food	dairy	cheese	surface_ripened_soft_cheeses		F	CAN	SAMN30028964	SRR20811148	SRX16830877	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit	 	637486920.0	4275074	75	151	147.9476	151	992	2.0	0.0	0.0	0.0	no	Hrituraj_Dey
FalardeauJ_2023	SRR20811149	food	dairy	cheese	surface_ripened_soft_cheeses		F	CAN	SAMN30028963	SRR20811149	SRX16830876	SRP389750	PRJNA863305	NCBI	PAIRED	NextSeq_500	Neasy_PowerFood_microbial_kit	 	688028406.0	4615027	75	151	147.8029	151	1030	1.0	0.0	0.0	0.0	no	Hrituraj_Dey
