sample	FalardeauJ_2023__SRR20811130	FalardeauJ_2023__SRR20811131	FalardeauJ_2023__SRR20811132	FalardeauJ_2023__SRR20811133	FalardeauJ_2023__SRR20811134	FalardeauJ_2023__SRR20811136	FalardeauJ_2023__SRR20811137	FalardeauJ_2023__SRR20811138	FalardeauJ_2023__SRR20811139	FalardeauJ_2023__SRR20811140	FalardeauJ_2023__SRR20811141	FalardeauJ_2023__SRR20811142	FalardeauJ_2023__SRR20811143	FalardeauJ_2023__SRR20811144	FalardeauJ_2023__SRR20811145	FalardeauJ_2023__SRR20811147	FalardeauJ_2023__SRR20811148	FalardeauJ_2023__SRR20811149	FalardeauJ_2023__SRR20811150	FalardeauJ_2023__SRR20811151	FalardeauJ_2023__SRR20811152	FalardeauJ_2023__SRR20811153	FalardeauJ_2023__SRR20811174	FalardeauJ_2023__SRR20811175	FalardeauJ_2023__SRR20811176	FalardeauJ_2023__SRR20811178	FalardeauJ_2023__SRR20811179	FalardeauJ_2023__SRR20811221	FalardeauJ_2023__SRR20811222	FalardeauJ_2023__SRR20811223	FalardeauJ_2023__SRR20811224	FalardeauJ_2023__SRR20811227	FalardeauJ_2023__SRR20811228	FalardeauJ_2023__SRR20811229	FalardeauJ_2023__SRR20811270	FalardeauJ_2023__SRR20811271	FalardeauJ_2023__SRR20811272	FalardeauJ_2023__SRR20811273	FalardeauJ_2023__SRR20811274	FalardeauJ_2023__SRR20811275	FalardeauJ_2023__SRR20811276	FalardeauJ_2023__SRR20811278	FalardeauJ_2023__SRR20811279	FalardeauJ_2023__SRR20811280	FalardeauJ_2023__SRR20811281	FalardeauJ_2023__SRR20811282	FalardeauJ_2023__SRR20811283	FalardeauJ_2023__SRR20811284	FalardeauJ_2023__SRR20811285	FalardeauJ_2023__SRR20811286	FalardeauJ_2023__SRR20811287	FalardeauJ_2023__SRR20811289	FalardeauJ_2023__SRR20811290	FalardeauJ_2023__SRR20811291	FalardeauJ_2023__SRR20811292	FalardeauJ_2023__SRR20811293
macrocategory	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food
category	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy
type	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese
subtype	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses	surface_ripened_soft_cheeses
country	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN	CAN
source	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_sp_FME13|t__SGB69382	31.15616	37.37606	30.642	0.19984	0.0	0.0	0.74584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17167	0.001	0.0	0.00103	0.08696	0.25797	0.0091	0.43208	20.29975	24.81739	25.03046	5.33793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03647	0.0	0.0	1.88729	17.25408	1.86938	30.46406	0.0	0.0	0.0	0.0	0.365	6.46816	2.90197	0.92757	21.8414
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__SGB7985	18.76187	20.88495	16.16553	1.50513	6.2468	6.58215	13.23703	4.4973	6.61209	18.96976	16.4283	37.6065	1.38654	11.14114	33.45143	38.52161	27.92179	40.01248	36.68483	1.33782	5.23787	1.83433	7.86548	0.7717	4.46699	4.29956	3.73724	0.0	0.054	0.0	0.00439	4.79831	10.80986	11.34528	14.44638	6.43034	5.94227	6.62888	14.63235	0.30859	0.25557	0.21583	0.31077	1.46267	1.01102	1.19841	3.73924	3.37101	1.51198	2.06124	4.01894	1.67352	0.91959	2.14943	1.91848	18.4458
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_sp_1M45|t__SGB11845	11.92691	11.20283	16.44113	0.0	0.0	0.0	0.0	0.0	0.0	0.03145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14816	0.0	0.0	0.0	0.07333	0.90971	0.00128	0.0	10.58423
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Pseudoalteromonadaceae|g__Pseudoalteromonas|s__Pseudoalteromonas_nigrifaciens|t__SGB13904	9.81493	10.52224	19.56137	0.0	0.0	0.0	0.0	0.0	0.0	0.76071	14.85096	0.66305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16574	0.0	0.0	0.0	0.0	63.47178	26.62143	40.44954	24.83458	1.07361	3.70109	0.0	3.12118	0.0	0.0	0.0	0.0	40.66324	7.69399	47.31451	4.40476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.5257
