dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
FerrocinoI_2018	SRS1779539	food	fermented_meat	meat	felino-type_sausages		F	ITA	SRS1779539	SRR4875278	SRX2323688	SRP092525	PRJNA352236	NCBI	PAIRED	Illumina_MiSeq	MasterPure	2015	729754496	5402302	35	150.0	135.0821365	151.0	556	0	1	0	0	no	Niccolò_Carlino
FerrocinoI_2018	SRS1779541	food	fermented_meat	meat	felino-type_sausages		F	ITA	SRS1779541	SRR4875280	SRX2323691	SRP092525	PRJNA352236	NCBI	PAIRED	Illumina_MiSeq	MasterPure	2015	1439448256	10521780	35	150.0	136.8065343	151.0	859	0	0	0	0	no	Niccolò_Carlino
FerrocinoI_2018	SRS1779542	food	fermented_meat	meat	felino-type_sausages		F	ITA	SRS1779542	SRR4875282	SRX2323693	SRP092525	PRJNA352236	NCBI	PAIRED	Illumina_MiSeq	MasterPure	2015	1686139243	11905914	35	151.0	141.6219908	151.0	739	1	0	0	0	no	Niccolò_Carlino
FerrocinoI_2018	SRS1779543	food	fermented_meat	meat	felino-type_sausages		F	ITA	SRS1779543	SRR4875281	SRX2323692	SRP092525	PRJNA352236	NCBI	PAIRED	Illumina_MiSeq	MasterPure	2015	1542202995	12368128	35	150.0	124.6917072	151.0	541	0	0	0	0	no	Niccolò_Carlino
FerrocinoI_2018	SRS1779544	food	fermented_meat	meat	felino-type_sausages		F	ITA	SRS1779544	SRR4875279	SRX2323689	SRP092525	PRJNA352236	NCBI	PAIRED	Illumina_MiSeq	MasterPure	2015	916133132	6481694	35	151.0	141.3416203	151.0	2968	0	0	0	0	no	Niccolò_Carlino
FerrocinoI_2018	SRS1779545	food	fermented_meat	meat	felino-type_sausages		F	ITA	SRS1779545	SRR4875284	SRX2323695	SRP092525	PRJNA352236	NCBI	PAIRED	Illumina_MiSeq	MasterPure	2015	1282795692	9558962	35	151.0	134.1982207	151.0	6916	2	3	0	0	no	Niccolò_Carlino
FerrocinoI_2018	SRS1779546	food	fermented_meat	meat	felino-type_sausages		F	ITA	SRS1779546	SRR4875285	SRX2323696	SRP092525	PRJNA352236	NCBI	PAIRED	Illumina_MiSeq	MasterPure	2015	1252622976	8790892	35	151.0	142.4909982	151.0	3959	0	0	0	0	no	Niccolò_Carlino
FerrocinoI_2018	SRS1779547	food	fermented_meat	meat	felino-type_sausages		F	ITA	SRS1779547	SRR4875283	SRX2323694	SRP092525	PRJNA352236	NCBI	PAIRED	Illumina_MiSeq	MasterPure	2015	1732257599	13056590	35	150.0	132.6730486	151.0	1096	0	0	0	0	no	Niccolò_Carlino
FerrocinoI_2018	SRS1779548	food	fermented_meat	meat	felino-type_sausages		F	ITA	SRS1779548	SRR4875286	SRX2323697	SRP092525	PRJNA352236	NCBI	PAIRED	Illumina_MiSeq	MasterPure	2015	1874070840	13569424	35	151.0	138.1098299	151.0	945	1	0	0	0	no	Niccolò_Carlino
FerrocinoI_2018	SRS1779549	food	fermented_meat	meat	felino-type_sausages		F	ITA	SRS1779549	SRR4875287	SRX2323698	SRP092525	PRJNA352236	NCBI	PAIRED	Illumina_MiSeq	MasterPure	2015	1064863694	7414224	35	151.0	143.6244297	151.0	386	1	0	0	0	no	Niccolò_Carlino
FerrocinoI_2018	SRS1779550	food	fermented_meat	meat	felino-type_sausages		F	ITA	SRS1779550	SRR4875288	SRX2323699	SRP092525	PRJNA352236	NCBI	PAIRED	Illumina_MiSeq	MasterPure	2015	1616054802	12697546	35	150.0	127.2730024	151.0	4132	1	1	0	0	no	Niccolò_Carlino
FerrocinoI_2018	SRS1779551	food	fermented_meat	meat	felino-type_sausages		F	ITA	SRS1779551	SRR4875289	SRX2323700	SRP092525	PRJNA352236	NCBI	PAIRED	Illumina_MiSeq	MasterPure	2015	2812775943	19929830	35	151.0	141.1339657	151.0	1224	1	0	0	0	no	Niccolò_Carlino
FerrocinoI_2018	SRS1779552	food	fermented_meat	meat	felino-type_sausages		F	ITA	SRS1779552	SRR4875290	SRX2323701	SRP092525	PRJNA352236	NCBI	PAIRED	Illumina_MiSeq	MasterPure	2015	1370712516	9415160	35	151.0	145.5856848	151.0	1101	0	1	0	0	no	Niccolò_Carlino
FerrocinoI_2018	SRS1779553	food	fermented_meat	meat	felino-type_sausages		F	ITA	SRS1779553	SRR4875291	SRX2323702	SRP092525	PRJNA352236	NCBI	PAIRED	Illumina_MiSeq	MasterPure	2015	1529026960	10532194	35	151.0	145.1764903	151.0	954	0	0	0	0	no	Niccolò_Carlino
FerrocinoI_2018	SRS1779554	food	fermented_meat	meat	felino-type_sausages		F	ITA	SRS1779554	SRR4875292	SRX2323703	SRP092525	PRJNA352236	NCBI	PAIRED	Illumina_MiSeq	MasterPure	2015	3029353889	24005466	35	150.0	126.1943379	151.0	7641	1	1	0	0	no	Niccolò_Carlino
FerrocinoI_2018	SRS1779555	food	fermented_meat	meat	felino-type_sausages		F	ITA	SRS1779555	SRR4875293	SRX2323704	SRP092525	PRJNA352236	NCBI	PAIRED	Illumina_MiSeq	MasterPure	2015	2940573561	20823046	35	151.0	141.2172629	151.0	5459	0	1	0	0	no	Niccolò_Carlino
