clade_name	FlintA_2023__SRR22865494	FlintA_2023__SRR22865522	FlintA_2023__SRR22865493	FlintA_2023__SRR22865520	FlintA_2023__SRR22865497	FlintA_2023__SRR22865492	FlintA_2023__SRR22865500	FlintA_2023__SRR22865521	FlintA_2023__SRR22865523	FlintA_2023__SRR22865496	FlintA_2023__SRR22865495	FlintA_2023__SRR22865511
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__SGB10068	76.69413	60.76026	2.70708	0.0	77.50777	0.16286	0.00038	0.0032	26.73089	37.77626	40.00674	0.00055
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae|t__SGB10115_group	23.29999	0.03619	0.00104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis|t__SGB7962	0.00392	0.00255	0.0	2.57278	0.65447	0.0	0.01499	0.92624	0.0	0.17941	0.00011	0.01319
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Hafnia|s__Hafnia_alvei|t__SGB10209	0.00138	0.00019	0.00123	0.00112	0.00239	0.0	0.0	0.0016	0.00583	0.02175	0.03901	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Rahnella|s__Rahnella_bonaserana|t__SGB81714	0.00058	0.0	0.0	0.0	0.00326	0.0	0.0	0.0	0.0	0.0	0.03671	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_hormaechei|t__SGB10130	0.0	21.11124	0.0	0.0	0.0	0.0	48.81343	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_braakii|t__SGB10086	0.0	5.94347	0.00036	6.63211	0.0	0.00938	33.03562	0.00056	4.79955	4.40973	0.0	46.51565
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_portucalensis|t__SGB10084	0.0	4.66499	0.0	0.02586	0.0	0.0	0.0	0.0	0.00813	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Hafnia|s__Hafnia_paralvei|t__SGB10207	0.0	3.09212	0.00039	0.00031	0.03764	0.0	5.43859	0.00039	9.86628	0.0	35.96342	1.32616
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_freundii|t__SGB10083	0.0	1.59645	0.0	0.0	0.0	0.0	0.0	0.00059	1.1107	0.0	0.0	49.18393
