dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	Part_of_cheese	Milk_source	Animal_feeding	Milk_processing	Thermisation	Pasteurization	Skimming	Inoculation_of_moulds	Curd_cutting	Presence_of_rind	Backslopping	Starter_culture	Technology_of_production	Coagulation_method	Ripening_period	Rheological_properties	Temperature_of_curd_processing_Celsius_degree	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
FontanaF_2023	SRR20746972	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094213	SRR20746972	SRX16767094	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	9/29/2021	419246728	2929679	75	149.0	139.2161805	150.0	2470	2	1	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746942	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094257	SRR20746942	SRX16767124	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	11/12/2021	478411382	3209593	75	150.0	148.7068268	151.0	1759	2	2	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746944	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094255	SRR20746944	SRX16767086	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	11/30/2021	495262526	3406467	75	149.0	142.457726	150.0	1071	1	1	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746975	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094210	SRR20746975	SRX16767091	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	9/26/2021	507011077	3465556	75	150.0	140.9245199	151.0	1884	1	1	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746951	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094232	SRR20746951	SRX16767115	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	10/18/2021	529014251	3565112	75	150.0	145.5077043	151.0	1383	2	2	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746875	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094201	SRR20746875	SRX16767191	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	9/17/2021	585518966	3938420	75	150.0	147.4344526	151.0	3109	0	4	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746921	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094276	SRR20746921	SRX16767145	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	12/21/2021	575168279	3976027	75	149.0	141.5600442	150.0	1628	2	1	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746835	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094320	SRR20746835	SRX16767231	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	1/14/2022	600454701	4103347	75	150.0	141.874291	151.0	1013	1	2	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746977	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094208	SRR20746977	SRX16767089	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	9/24/2021	610702330	4120799	75	150.0	145.5922074	151.0	3152	2	0	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746966	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094218	SRR20746966	SRX16767100	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	10/24/2021	628489971	4256355	75	150.0	145.0629668	151.0	2171	3	2	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746863	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094294	SRR20746863	SRX16767203	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	12/19/2021	644971496	4340527	75	150.0	146.3291093	151.0	3022	1	3	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746917	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094280	SRR20746917	SRX16767149	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	12/25/2021	640968759	4625364	75	148.0	134.1084276	150.0	1347	4	0	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746839	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094316	SRR20746839	SRX16767227	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	1/30/2022	695349435	4813270	75	149.0	141.1014502	150.0	7096	2	4	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746923	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094274	SRR20746923	SRX16767143	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	11/29/2021	727500293	4948567	75	150.0	142.8012734	151.0	686	0	2	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746821	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094250	SRR20746821	SRX16767245	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	11/25/2021	708693701	4970734	75	149.0	138.1536306	150.0	504	2	0	0	0	no	Liam_Walsh
FontanaF_2023	SRR20746943	food	dairy	cheese	raw_milk_cheese		F	Core	Mixed		Raw	No	No	Yes			Yes	No	NWC			Variable	Variable	Variable	ITA	SAMN30094256	SRR20746943	SRX16767123	SRP389312	PRJNA865096	NCBI	PAIRED	Illumina_MiSeq	DNeasy_PowerFood_Microbial_Kit	11/11/2021	755513035	5153928	75	150.0	142.219288	151.0	571	1	1	0	0	no	Liam_Walsh
