sample	FontanaF_2023__SRR20746818	FontanaF_2023__SRR20746819	FontanaF_2023__SRR20746820	FontanaF_2023__SRR20746821	FontanaF_2023__SRR20746822	FontanaF_2023__SRR20746823	FontanaF_2023__SRR20746824	FontanaF_2023__SRR20746825	FontanaF_2023__SRR20746826	FontanaF_2023__SRR20746827	FontanaF_2023__SRR20746829	FontanaF_2023__SRR20746830	FontanaF_2023__SRR20746831	FontanaF_2023__SRR20746832	FontanaF_2023__SRR20746833	FontanaF_2023__SRR20746834	FontanaF_2023__SRR20746835	FontanaF_2023__SRR20746836	FontanaF_2023__SRR20746837	FontanaF_2023__SRR20746838	FontanaF_2023__SRR20746839	FontanaF_2023__SRR20746840	FontanaF_2023__SRR20746841	FontanaF_2023__SRR20746843	FontanaF_2023__SRR20746844	FontanaF_2023__SRR20746845	FontanaF_2023__SRR20746846	FontanaF_2023__SRR20746847	FontanaF_2023__SRR20746848	FontanaF_2023__SRR20746849	FontanaF_2023__SRR20746850	FontanaF_2023__SRR20746851	FontanaF_2023__SRR20746852	FontanaF_2023__SRR20746854	FontanaF_2023__SRR20746855	FontanaF_2023__SRR20746856	FontanaF_2023__SRR20746857	FontanaF_2023__SRR20746858	FontanaF_2023__SRR20746859	FontanaF_2023__SRR20746860	FontanaF_2023__SRR20746861	FontanaF_2023__SRR20746862	FontanaF_2023__SRR20746863	FontanaF_2023__SRR20746865	FontanaF_2023__SRR20746866	FontanaF_2023__SRR20746867	FontanaF_2023__SRR20746868	FontanaF_2023__SRR20746869	FontanaF_2023__SRR20746870	FontanaF_2023__SRR20746871	FontanaF_2023__SRR20746873	FontanaF_2023__SRR20746874	FontanaF_2023__SRR20746875	FontanaF_2023__SRR20746876	FontanaF_2023__SRR20746877	FontanaF_2023__SRR20746878	FontanaF_2023__SRR20746879	FontanaF_2023__SRR20746880	FontanaF_2023__SRR20746881	FontanaF_2023__SRR20746882	FontanaF_2023__SRR20746884	FontanaF_2023__SRR20746909	FontanaF_2023__SRR20746910	FontanaF_2023__SRR20746911	FontanaF_2023__SRR20746912	FontanaF_2023__SRR20746914	FontanaF_2023__SRR20746915	FontanaF_2023__SRR20746916	FontanaF_2023__SRR20746917	FontanaF_2023__SRR20746918	FontanaF_2023__SRR20746919	FontanaF_2023__SRR20746920	FontanaF_2023__SRR20746921	FontanaF_2023__SRR20746922	FontanaF_2023__SRR20746923	FontanaF_2023__SRR20746925	FontanaF_2023__SRR20746926	FontanaF_2023__SRR20746927	FontanaF_2023__SRR20746928	FontanaF_2023__SRR20746929	FontanaF_2023__SRR20746930	FontanaF_2023__SRR20746931	FontanaF_2023__SRR20746932	FontanaF_2023__SRR20746933	FontanaF_2023__SRR20746934	FontanaF_2023__SRR20746936	FontanaF_2023__SRR20746937	FontanaF_2023__SRR20746938	FontanaF_2023__SRR20746939	FontanaF_2023__SRR20746940	FontanaF_2023__SRR20746941	FontanaF_2023__SRR20746942	FontanaF_2023__SRR20746943	FontanaF_2023__SRR20746944	FontanaF_2023__SRR20746945	FontanaF_2023__SRR20746946	FontanaF_2023__SRR20746947	FontanaF_2023__SRR20746948	FontanaF_2023__SRR20746950	FontanaF_2023__SRR20746951	FontanaF_2023__SRR20746952	FontanaF_2023__SRR20746953	FontanaF_2023__SRR20746954	FontanaF_2023__SRR20746955	FontanaF_2023__SRR20746956	FontanaF_2023__SRR20746957	FontanaF_2023__SRR20746958	FontanaF_2023__SRR20746959	FontanaF_2023__SRR20746961	FontanaF_2023__SRR20746962	FontanaF_2023__SRR20746963	FontanaF_2023__SRR20746964	FontanaF_2023__SRR20746965	FontanaF_2023__SRR20746966	FontanaF_2023__SRR20746967	FontanaF_2023__SRR20746968	FontanaF_2023__SRR20746969	FontanaF_2023__SRR20746970	FontanaF_2023__SRR20746972	FontanaF_2023__SRR20746973	FontanaF_2023__SRR20746974	FontanaF_2023__SRR20746975	FontanaF_2023__SRR20746976	FontanaF_2023__SRR20746977	FontanaF_2023__SRR20746978	FontanaF_2023__SRR20746979	FontanaF_2023__SRR20746980	FontanaF_2023__SRR20746981
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_cremoris|t__SGB7984	93.47753	94.65619	0.0	0.0	0.0	0.0	0.71948	0.0	0.0	0.0	0.02508	0.0	0.25114	0.0	0.0	0.0	0.0	1.01258	0.0	0.74128	0.67988	0.0	0.05218	1.71239	0.0	30.08676	0.0	2.92371	2.11612	0.0	0.0	0.0	0.0	0.60139	0.0	0.01859	0.90409	0.56535	0.0	0.0	3.99495	36.1453	0.0	0.05683	0.0	0.21785	0.0	0.01276	0.0	0.0	0.0	0.0	0.0	0.03853	3.02062	0.80614	0.0	9.71946	0.0	31.85069	0.0	1.0233	0.0	0.005	0.0	0.02682	0.01907	0.01323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.26598	0.04154	0.0	0.22968	0.0	0.0	0.00356	0.0	0.0	0.0	4.77407	0.0	0.0	0.26243	3.02874	0.0	0.07585	0.0	0.0	0.0	0.0	0.0	1.68808	15.3785	2.91798	0.0	0.03501	0.0	0.0	0.0	0.0	0.0	0.80453	0.04557	3.35384	0.0	1.67994	0.0	0.07379	0.25738	0.0	0.0	0.01726	0.0	0.0	0.0	1.19014	12.25915	0.0	0.0	0.0	0.0	78.22632
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__SGB7985	0.00159	4.65662	0.0	0.0	0.06811	0.0	67.89239	0.0	0.0	0.0	0.00382	0.0	0.17541	0.0	0.0	0.18402	0.0	2.27346	0.0	1.16378	3.67055	0.0313	0.43795	1.89879	0.0	53.53061	0.0	1.41668	2.16435	0.0	0.0	0.07407	0.0	20.0243	27.68998	90.23135	82.43471	71.74037	0.0	0.02234	34.23901	63.66246	0.0	0.0	68.2393	1.88259	0.05154	15.38155	2.35816	0.00445	0.0	0.28561	0.0	0.936	57.21336	4.23178	0.0	54.37792	0.0	33.77307	0.0	5.65465	0.5611	0.37411	0.0	0.58467	0.08128	0.3008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.20032	9.07093	0.0	0.07958	0.0	0.0	0.0	0.0	0.0	0.0	86.06047	0.61839	0.0	20.44977	4.10338	0.03259	1.51142	0.0	0.0	1.62077	0.0	0.41718	0.31712	63.80575	13.24581	5.12423	0.0	0.0	0.0012	0.0095	0.03968	2.28466	69.82094	31.63236	14.84296	0.00086	0.77643	0.0	20.49155	51.21675	0.00914	0.30062	11.4364	0.0	0.0	0.0	44.96544	54.56313	0.0	0.0	0.0	0.0	9.68037
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_falkenbergense|t__SGB7124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19921	0.0	0.82548	0.0	0.0	0.0	0.0	0.07554	0.0	0.0	0.0	0.0	0.16282	0.0	0.02049	0.20295	0.0	0.0	0.0	0.0	0.0	0.23612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.60665	0.0	0.0	0.0	0.18149	0.0	0.0	0.0	0.00789	18.35797	0.01632	0.0	0.0	0.0	0.34422	0.0	0.01441	0.0	0.0	0.0	0.0	0.6516	0.05855	0.0	0.0	0.0	0.0	0.0	0.13495	0.0	0.0	0.0	0.0	0.3024	0.0	0.0	0.0	0.0	0.0	0.0	2.30784	0.0	0.0	0.0	5.87974	0.0	0.0	0.0	0.0	0.07067	0.0	0.30596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10903	0.0	0.0	0.0	0.04029	0.18377	0.0	0.50573	0.0	0.16288	2.97885	18.54218	0.0	0.0	0.0	45.87206	0.0	0.0	0.0	0.0	0.0	3.36783
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Paucilactobacillus|s__Paucilactobacillus_nenjiangensis|t__SGB49082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53366	0.0	0.04482	0.10371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01002	0.06681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_laudensis|t__SGB7991	0.97006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02244	0.0	0.0	0.11934	0.41178	0.0	1.13416	0.0	0.00051	0.04637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20203	0.0	0.0	0.03133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00596	0.0	0.0	0.0	0.01076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes|t__SGB16955	0.0	0.0	0.0	0.0	0.0	0.0	0.03215	0.0	0.01555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_mesenteroides|t__SGB7126	4.6515	0.01375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32881	0.0	0.0	0.36681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.72173	0.0	2.30384	8.39819	0.0	0.0	0.0	0.0	0.04384	0.08767	0.0	0.0	0.0	0.0	0.0	7.49309	0.0	0.00314	0.0	16.18458	5.31765	0.0	0.0	0.0	0.06494	0.0	0.00205	0.0	2.03891	0.6862	0.40375	0.0	0.0	0.0	0.0	0.0	0.08197	0.0	0.0	0.0	0.0	0.07728	0.12635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.57884	0.0	0.0	2.09012	1.44105	0.0	0.0	0.0	0.0	0.0	0.16295	16.8679	0.03972	0.26836	1.65369	0.0	0.0	0.0	0.0	0.56412	0.0	0.0	0.0	0.0	0.0	0.0	0.0092	0.0	0.0	0.0	0.0	0.7508	0.0	0.0	0.0	0.0	2.68484	0.0	1.40418	0.30423	0.04938	0.0	1.12108	0.0	0.0	0.0	0.66145	3.07727	0.21983	0.0	0.0	0.0	0.02782
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_sp_239c|t__SGB16641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_hormaechei|t__SGB10130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02188	0.0	2.9896	0.79712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5913	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_equorum|t__SGB7843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08562	0.0	0.01863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.60859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20394	0.0	0.05278	0.0	0.0	0.0	0.0	0.0	0.0	0.00153	0.0	0.0	0.0	0.0	19.20744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
