sample	FranciosaI_2021__SRR12227952	FranciosaI_2021__SRR12227953	FranciosaI_2021__SRR12227954	FranciosaI_2021__SRR12227955	FranciosaI_2021__SRR12227956	FranciosaI_2021__SRR12227957	FranciosaI_2021__SRR12227958	FranciosaI_2021__SRR12227959	FranciosaI_2021__SRR12227960	FranciosaI_2021__SRR12227961	FranciosaI_2021__SRR12227962	FranciosaI_2021__SRR12227963	FranciosaI_2021__SRR12227964	FranciosaI_2021__SRR12227965	FranciosaI_2021__SRR12227966
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__SGB7985	0.0	0.0	0.09189	0.0	0.0	0.03519	0.0	0.0	0.0	0.03217	0.0	0.0	0.02329	0.00887	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_mesenteroides|t__SGB7126	0.0	1.65949	0.0	0.0	3.84281	0.04572	0.0	3.0492	2.38716	0.01573	0.0	3.82713	0.01945	0.00979	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_xylosus|t__SGB7847_group	0.12327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_immobilis|t__SGB10459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01075	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactiplantibacillus|s__Lactiplantibacillus_paraplantarum|t__SGB7201	1.43179	0.0	0.0	0.10399	0.0311	0.09826	0.83959	0.0	0.0	0.00622	0.81767	0.0	0.06122	0.0	0.33862
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactiplantibacillus|s__Lactiplantibacillus_plantarum|t__SGB7202	0.0151	0.0	0.0	0.0	0.82987	0.0	0.0	0.0	0.07964	0.0	0.0	0.35237	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Latilactobacillus|s__Latilactobacillus_curvatus|t__SGB7249	4.01785	0.22926	0.03893	15.41735	4.05994	0.26568	19.709	0.88371	1.2811	0.1609	25.08679	1.35323	0.22341	0.02326	16.9672
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__Pediococcus_pentosaceus|t__SGB7169	11.7141	17.95583	11.69443	0.01183	15.40742	10.18765	0.01518	9.841	18.29364	10.10552	0.00566	17.58614	11.28232	8.74722	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium|t__SGB7968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00155	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Levilactobacillus|s__Levilactobacillus_brevis|t__SGB7196	0.03634	0.0	0.0	0.00936	0.0	0.02691	0.26443	0.0	0.0	0.03218	0.45925	0.0	0.00583	0.0	0.15913
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Loigolactobacillus|s__Loigolactobacillus_coryniformis|t__SGB7198	0.29829	0.0	0.0	0.0042	0.21764	0.08963	1.18974	0.0	0.00674	0.0	0.21469	0.087	0.06494	0.0	0.0331
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_citreum|t__SGB7122	0.0	0.0	0.04016	0.0	0.0	0.08626	0.0	0.0	0.0	0.10004	0.0	0.0	0.13243	0.05384	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__Pediococcus_acidilactici|t__SGB7168	0.59175	0.01754	0.0	0.11995	3.06178	0.79027	0.99647	0.12574	1.58341	0.06798	0.17579	3.28332	0.28569	0.0	0.14275
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_carnosus|t__SGB7830	0.14251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella|s__Weissella_jogaejeotgali|t__SGB7119	0.0	0.0	0.0	0.0	0.0	0.00452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00361	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella|s__Weissella_viridescens|t__SGB7111	0.0	0.0	0.00619	0.0	0.0	0.07039	0.0	0.0	0.0	0.08434	0.0	0.0064	0.11454	0.02452	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Latilactobacillus|s__Latilactobacillus_sakei|t__SGB7248	80.19672	79.55681	87.99472	84.1073	69.71251	86.3968	70.13476	84.19094	74.37468	87.73442	72.08576	69.69661	86.05389	90.69206	81.98001
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_carnosum|t__SGB7129	0.05015	0.58107	0.13368	0.14975	2.82866	1.89209	0.15909	1.90941	1.99208	1.66052	0.38257	3.80781	1.72182	0.42608	0.16181
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_gasicomitatum|t__SGB7127	0.0	0.0	0.0	0.0	0.0	0.00779	0.0	0.0	0.0	0.0	0.0	0.0	0.01119	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Latilactobacillus|s__Latilactobacillus_fuchuensis|t__SGB7251	0.0	0.0	0.0	0.0	0.00826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
