dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
GardonH_2025	ERR12057276	food	dairy	cheese	cheese_core		F	FRA	SAMEA114329551	ERR12057276	ERX11440493	ERP149822	PRJEB64630	NCBI	PAIRED	Illumina NovaSeq 6000	Nucleospin_Tissue_Kit	2017-10-19	7125510597.0	47421014.0	75.0	151.0	147.764822903	151	5762.0	6.0	1.0	0.0	0.0	no	Hrituraj Dey
GardonH_2025	ERR12057277	food	dairy	cheese	cheese_core		F	FRA	SAMEA114329552	ERR12057277	ERX11440494	ERP149822	PRJEB64630	NCBI	PAIRED	Illumina NovaSeq 6000	Nucleospin_Tissue_Kit	2017-10-16	6295486184.0	41904376.0	75.0	151.0	147.52900403466666	151	14326.0	6.0	3.0	0.0	0.0	no	Hrituraj Dey
GardonH_2025	ERR12057278	food	dairy	cheese	cheese_core		F	FRA	SAMEA114329564	ERR12057278	ERX11440495	ERP149822	PRJEB64630	NCBI	PAIRED	Illumina NovaSeq 6000	Nucleospin_Tissue_Kit	2017-10-15	6859056956.0	45706482.0	75.0	151.0	148.378299543	151	7993.0	3.0	0.0	0.0	0.0	no	Hrituraj Dey
GardonH_2025	ERR12057279	food	dairy	cheese	cheese_core		F	FRA	SAMEA114329576	ERR12057279	ERX11440496	ERP149822	PRJEB64630	NCBI	PAIRED	Illumina NovaSeq 6000	Nucleospin_Tissue_Kit	2017-10-17	5661347414.0	37695432.0	75.0	151.0	148.21546125400002	151	3834.0	3.0	0.0	0.0	0.0	no	Hrituraj Dey
GardonH_2025	ERR12057280	food	dairy	cheese	cheese_core		F	FRA	SAMEA114329057	ERR12057280	ERX11440497	ERP149822	PRJEB64630	NCBI	PAIRED	Illumina NovaSeq 6000	Nucleospin_Tissue_Kit	2017-04-12	5292990050.0	35294893.0	75.0	151.0	148.17907577399998	151	1414.0	1.0	0.0	0.0	0.0	no	Hrituraj Dey
GardonH_2025	ERR12057281	food	dairy	cheese	cheese_core		F	FRA	SAMEA114329209	ERR12057281	ERX11440498	ERP149822	PRJEB64630	NCBI	PAIRED	Illumina NovaSeq 6000	Nucleospin_Tissue_Kit	2017-07-04	7022679803.0	46838290.0	75.0	151.0	148.14226940166665	151	6306.0	3.0	1.0	0.0	0.0	no	Hrituraj Dey
GardonH_2025	ERR12057282	food	dairy	cheese	cheese_core		F	FRA	SAMEA114330319	ERR12057282	ERX11440499	ERP149822	PRJEB64630	NCBI	PAIRED	Illumina NovaSeq 6000	Nucleospin_Tissue_Kit	2017-06-19	5123253155.0	34136684.0	75.0	151.0	148.02564893800002	151	2194.0	1.0	1.0	0.0	0.0	no	Hrituraj Dey
GardonH_2025	ERR12057283	food	dairy	cheese	cheese_core		F	FRA	SAMEA114329796	ERR12057283	ERX11440500	ERP149822	PRJEB64630	NCBI	PAIRED	Illumina NovaSeq 6000	Nucleospin_Tissue_Kit	2017-05-04	5916402350.0	39436951.0	75.0	151.0	148.47086203233334	151	3470.0	2.0	1.0	0.0	0.0	no	Hrituraj Dey
GardonH_2025	ERR12057284	food	dairy	cheese	cheese_core		F	FRA	SAMEA114329808	ERR12057284	ERX11440501	ERP149822	PRJEB64630	NCBI	PAIRED	Illumina NovaSeq 6000	Nucleospin_Tissue_Kit	2017-05-03	6728220889.0	44814850.0	75.0	150.0	148.679067963	151	7417.0	3.0	3.0	0.0	0.0	no	Hrituraj Dey
GardonH_2025	ERR12057285	food	dairy	cheese	cheese_core		F	FRA	SAMEA114329872	ERR12057285	ERX11440502	ERP149822	PRJEB64630	NCBI	PAIRED	Illumina NovaSeq 6000	Nucleospin_Tissue_Kit	2017-03-23	5347055563.0	35654153.0	75.0	150.0	148.64883414033332	151	6435.0	5.0	3.0	0.0	0.0	no	Hrituraj Dey
GardonH_2025	ERR12057286	food	dairy	cheese	cheese_core		F	FRA	SAMEA114329955	ERR12057286	ERX11440503	ERP149822	PRJEB64630	NCBI	PAIRED	Illumina NovaSeq 6000	Nucleospin_Tissue_Kit	2017-04-05	7063506212.0	47213194.0	75.0	150.0	148.66755566066666	151	28622.0	1.0	5.0	0.0	1.0	no	Hrituraj Dey
GardonH_2025	ERR12057287	food	dairy	cheese	cheese_core		F	FRA	SAMEA114330058	ERR12057287	ERX11440504	ERP149822	PRJEB64630	NCBI	PAIRED	Illumina NovaSeq 6000	Nucleospin_Tissue_Kit	2017-09-04	5463648260.0	36433064.0	75.0	151.0	148.46925086766666	151	3839.0	2.0	0.0	0.0	0.0	no	Hrituraj Dey
GardonH_2025	ERR12057288	food	dairy	cheese	cheese_core		F	FRA	SAMEA114330231	ERR12057288	ERX11440505	ERP149822	PRJEB64630	NCBI	PAIRED	Illumina NovaSeq 6000	Nucleospin_Tissue_Kit	2017-03-08	7640475206.0	51023158.0	75.0	150.0	147.609341128	151	15633.0	2.0	3.0	0.0	0.0	no	Hrituraj Dey
GardonH_2025	ERR12057289	food	dairy	cheese	cheese_core		F	FRA	SAMEA114330395	ERR12057289	ERX11440506	ERP149822	PRJEB64630	NCBI	PAIRED	Illumina NovaSeq 6000	Nucleospin_Tissue_Kit	2017-03-23	7768926805.0	51726988.0	75.0	151.0	148.012087846	151	5342.0	3.0	2.0	0.0	0.0	no	Hrituraj Dey
GardonH_2025	ERR12057290	food	dairy	cheese	cheese_core		F	FRA	SAMEA114330567	ERR12057290	ERX11440507	ERP149822	PRJEB64630	NCBI	PAIRED	Illumina NovaSeq 6000	Nucleospin_Tissue_Kit	2017-07-05	5828381429.0	38799217.0	75.0	151.0	148.181663545	151	4635.0	5.0	1.0	0.0	0.0	no	Hrituraj Dey
GardonH_2025	ERR12057291	food	dairy	cheese	cheese_core		F	FRA	SAMEA114330591	ERR12057291	ERX11440508	ERP149822	PRJEB64630	NCBI	PAIRED	Illumina NovaSeq 6000	Nucleospin_Tissue_Kit	2017-06-28	5251320689.0	35021390.0	75.0	151.0	148.39876623766668	151	2977.0	4.0	1.0	0.0	0.0	no	Hrituraj Dey
GardonH_2025	ERR12057292	food	dairy	cheese	cheese_core		F	FRA	SAMEA114331070	ERR12057292	ERX11440509	ERP149822	PRJEB64630	NCBI	PAIRED	Illumina NovaSeq 6000	Nucleospin_Tissue_Kit	2017-07-03	4671261335.0	31553350.0	75.0	150.0	146.5481437553333	151	9608.0	4.0	5.0	0.0	0.0	no	Hrituraj Dey
GardonH_2025	ERR12057293	food	dairy	cheese	cheese_core		F	FRA	SAMEA114331092	ERR12057293	ERX11440510	ERP149822	PRJEB64630	NCBI	PAIRED	Illumina NovaSeq 6000	Nucleospin_Tissue_Kit	2017-09-11	5785337573.0	38562057.0	75.0	151.0	148.99257229366663	151	4774.0	2.0	1.0	0.0	0.0	no	Hrituraj Dey
