clade_name	GardonH_2025__ERR12057277	GardonH_2025__ERR12057276	GardonH_2025__ERR12057280	GardonH_2025__ERR12057279	GardonH_2025__ERR12057278	GardonH_2025__ERR12057281	GardonH_2025__ERR12057283	GardonH_2025__ERR12057282	GardonH_2025__ERR12057287	GardonH_2025__ERR12057285	GardonH_2025__ERR12057284	GardonH_2025__ERR12057286	GardonH_2025__ERR12057292	GardonH_2025__ERR12057290	GardonH_2025__ERR12057291	GardonH_2025__ERR12057288	GardonH_2025__ERR12057289	GardonH_2025__ERR12057295	GardonH_2025__ERR12057296	GardonH_2025__ERR12057293	GardonH_2025__ERR12057294	GardonH_2025__ERR12057301	GardonH_2025__ERR12057298	GardonH_2025__ERR12057300	GardonH_2025__ERR12057299	GardonH_2025__ERR12057302	GardonH_2025__ERR12057304	GardonH_2025__ERR12057305	GardonH_2025__ERR12057303	GardonH_2025__ERR12057309	GardonH_2025__ERR12057308	GardonH_2025__ERR12057307	GardonH_2025__ERR12057306	GardonH_2025__ERR12057313	GardonH_2025__ERR12057311	GardonH_2025__ERR12057310	GardonH_2025__ERR12057312	GardonH_2025__ERR12057315	GardonH_2025__ERR12057314	GardonH_2025__ERR12057316	GardonH_2025__ERR12057317	GardonH_2025__ERR12057318	GardonH_2025__ERR12057321	GardonH_2025__ERR12057322	GardonH_2025__ERR12057323	GardonH_2025__ERR12057319	GardonH_2025__ERR12057320	GardonH_2025__ERR12057325	GardonH_2025__ERR12057324	GardonH_2025__ERR12057326	GardonH_2025__ERR12057327	GardonH_2025__ERR12057331	GardonH_2025__ERR12057330	GardonH_2025__ERR12057329	GardonH_2025__ERR12057328	GardonH_2025__ERR12057335	GardonH_2025__ERR12057334	GardonH_2025__ERR12057332	GardonH_2025__ERR12057333	GardonH_2025__ERR12057339	GardonH_2025__ERR12057337	GardonH_2025__ERR12057338	GardonH_2025__ERR12057336	GardonH_2025__ERR12057343	GardonH_2025__ERR12057340	GardonH_2025__ERR12057341	GardonH_2025__ERR12057342	GardonH_2025__ERR12057346	GardonH_2025__ERR12057344	GardonH_2025__ERR12057347	GardonH_2025__ERR12057345	GardonH_2025__ERR12057350	GardonH_2025__ERR12057351	GardonH_2025__ERR12057349	GardonH_2025__ERR12057348	GardonH_2025__ERR12057355	GardonH_2025__ERR12057354	GardonH_2025__ERR12057353	GardonH_2025__ERR12057352	GardonH_2025__ERR12057357	GardonH_2025__ERR12057359	GardonH_2025__ERR12057360	GardonH_2025__ERR12057356	GardonH_2025__ERR12057361	GardonH_2025__ERR12057363	GardonH_2025__ERR12057364	GardonH_2025__ERR12057362	GardonH_2025__ERR12057365	GardonH_2025__ERR12057366	GardonH_2025__ERR12057367	GardonH_2025__ERR12057369	GardonH_2025__ERR12057370	GardonH_2025__ERR12057368	GardonH_2025__ERR12057371	GardonH_2025__ERR12057374	GardonH_2025__ERR12057373	GardonH_2025__ERR12057375	GardonH_2025__ERR12057372	GardonH_2025__ERR12057376	GardonH_2025__ERR12057377	GardonH_2025__ERR12057378	GardonH_2025__ERR12057379	GardonH_2025__ERR12057380	GardonH_2025__ERR12057381	GardonH_2025__ERR12057382	GardonH_2025__ERR12057383	GardonH_2025__ERR12057384	GardonH_2025__ERR12057385	GardonH_2025__ERR12057386	GardonH_2025__ERR12057387	GardonH_2025__ERR12057388	GardonH_2025__ERR12057389	GardonH_2025__ERR12057390	GardonH_2025__ERR12057391	GardonH_2025__ERR12057392	GardonH_2025__ERR12057393	GardonH_2025__ERR12057394	GardonH_2025__ERR12057395	GardonH_2025__ERR12057396	GardonH_2025__ERR12057397	GardonH_2025__ERR12057398	GardonH_2025__ERR12057399	GardonH_2025__ERR12057400	GardonH_2025__ERR12057401	GardonH_2025__ERR12057403	GardonH_2025__ERR12057402	GardonH_2025__ERR12057404	GardonH_2025__ERR12057405	GardonH_2025__ERR12057406	GardonH_2025__ERR12057407	GardonH_2025__ERR12057408	GardonH_2025__ERR12057409	GardonH_2025__ERR12057410	GardonH_2025__ERR12057411	GardonH_2025__ERR12057412	GardonH_2025__ERR12057413	GardonH_2025__ERR12057414	GardonH_2025__ERR12057415	GardonH_2025__ERR12057416	GardonH_2025__ERR12057417	GardonH_2025__ERR12057418	GardonH_2025__ERR12057419	GardonH_2025__ERR12057420	GardonH_2025__ERR12057421
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__SGB7985	89.44522	55.06561	23.28208	75.84873	50.27442	56.5126	2.6975	0.70369	3.49256	1.2143	2.71709	0.30185	23.67417	30.80425	11.79832	6.41305	14.8833	0.0856	3.32133	25.58367	13.13125	1.51773	22.31704	0.64738	0.84783	2.3952	0.4328	16.12384	12.05485	4.27746	3.98128	3.30863	80.06169	66.52112	54.2473	17.53428	40.91672	51.28255	75.06008	56.29463	78.66152	39.55087	6.63446	0.18867	10.9636	30.97187	9.30351	14.36412	0.23517	2.12792	31.52967	4.16462	5.06039	16.62202	21.15995	0.0321	2.3241	52.25997	8.8196	0.32867	0.03778	0.07233	0.15852	11.25344	0.02905	0.25086	61.59851	1.08167	4.4945	0.37547	1.51535	0.91518	0.25889	0.63437	2.44632	1.17459	4.35354	2.32736	1.11316	10.38889	12.35228	3.04713	5.77655	0.015	0.09121	0.2485	0.14557	0.01206	0.01951	0.08207	0.01509	0.01949	0.01706	0.02152	5.98539	10.88262	68.44891	0.00963	22.24245	13.51399	2.18218	3.90161	5.26047	12.40603	2.37409	1.86318	0.42231	0.29065	0.64559	2.54429	10.52159	4.13137	8.17918	0.08983	0.10184	9.37121	1.23982	0.25854	0.12385	0.64626	2.32416	0.028	0.03987	1.85172	0.73047	0.33568	4.23168	3.0628	3.87601	1.32023	4.107	3.81256	0.33059	3.15885	27.2599	0.34564	0.03742	0.17899	1.07208	0.17757	0.06975	0.18853	0.02006	0.02141
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus|t__SGB8002	2.7258	39.4574	0.01113	6.95169	39.44355	0.01683	0.0194	0.01566	0.03199	64.3749	91.30055	48.82171	60.24874	55.8896	35.32437	72.71806	8.23618	80.15663	70.92108	0.01842	28.69188	0.02358	0.06995	0.02084	0.17664	0.15308	0.00858	0.7732	8.66862	0.04766	0.05079	0.02441	0.0334	0.03246	0.01229	0.04522	0.04964	0.02078	0.01985	0.08801	0.02778	0.02094	0.29128	47.40479	17.47507	0.02131	0.05139	0.04226	40.65504	0.0286	0.08833	39.73193	0.10481	0.02805	0.03616	3.34131	9.96298	15.4363	7.00621	74.18004	49.29222	37.10006	18.63895	0.02096	16.68741	43.27387	0.05194	4.14458	4.37446	3.00322	19.0033	4.7924	2.6826	0.23227	2.65926	0.0326	3.26662	0.80432	5.3925	7.15101	0.01487	4.28595	0.0174	2.01046	8.81751	14.05126	1.51072	2.82119	4.40584	6.07617	0.89476	11.01406	6.40694	2.01546	1.91287	0.12187	0.02983	8.26057	9.19005	0.00787	2.68071	27.91282	0.18779	5.24539	0.61628	0.02718	0.82251	3.55241	0.01179	0.20785	0.70724	3.0025	11.06247	0.15096	1.48085	7.27435	1.58062	3.18039	1.23902	5.77373	6.6519	6.64315	5.72843	0.04418	0.0151	0.02967	0.01417	0.04493	0.01647	0.01452	0.01907	0.0237	0.0516	0.02813	0.04271	0.05801	0.00467	0.02209	0.40999	0.20304	0.11365	0.08701	0.00706	0.02146
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinobacteraceae|g__GGB7989|s__GGB7989_SGB99142|t__SGB99142	1.5682	0.0	0.0	0.00667	0.26697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62691	0.00575	0.08381	0.01009	4.71302	1.53561	0.27685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08025	0.0	0.0	3.79598	0.0	0.02082	0.40884	0.00329	7.59199	3.38024	0.8259	0.04207	0.00148	4.42367	0.01556	0.00767	0.0	0.0	0.02621	0.0	0.08753	0.0	0.0	0.0	0.0	2.24793	0.00957	0.73173	2.83068	0.00238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02386	0.0	0.00587	0.0	0.0	0.0	0.03147	0.0	0.0	0.0	0.0388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactiplantibacillus|s__Lactiplantibacillus_plantarum|t__SGB7202	0.7883	0.0	0.0	0.02432	0.0083	0.1736	2.36761	0.0	0.40926	0.17848	0.48808	1.50799	0.00521	0.05309	4.65526	0.23786	0.0	1.30137	0.28362	0.01443	12.82208	0.12748	0.0	0.0033	0.00598	0.0	0.0	0.00062	0.0	0.0599	3.34582	0.01096	0.0	0.0	0.02569	0.37215	0.03177	0.0	0.0	0.0	0.0	1.25978	0.29984	1.79534	0.7645	0.79214	0.23786	0.0	1.87595	0.0	0.0	0.72728	3.56655	1.40137	0.14608	0.01363	0.1388	0.3437	0.0	0.0	0.49644	0.0	0.1252	0.0	0.3725	0.49461	0.0	0.0	0.00298	0.0	0.0	0.0	0.0	0.0	0.0	0.02518	0.0	0.0	0.09637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0161	0.0	0.0	0.0	0.0	0.00106	0.0	0.0	0.00051	0.26685	0.03113	0.0	0.39108	0.0	0.58023	0.0	0.0	0.03519	0.01143	0.0	0.0	0.0	0.0	0.0	0.27558	0.0	0.0	0.50298	0.0	0.0	0.0	6.42831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lacticaseibacillus|s__Lacticaseibacillus_paracasei|t__SGB7142	0.77594	0.01355	0.0	0.14135	0.14058	0.06094	0.13357	0.0	0.08964	3.29036	0.37498	3.19315	7.30929	0.06428	0.00672	1.37109	0.20684	2.32264	6.5074	0.31705	7.03822	0.09943	0.02541	0.0	0.0	0.01202	0.00298	0.16866	0.03172	0.76228	0.12288	0.18032	0.11141	0.0	0.17576	2.44928	0.20618	0.0	0.00198	0.0	0.0	0.23762	0.0598	0.31574	0.7459	0.12148	0.02291	0.02092	0.36404	0.00098	0.0	1.77828	0.00177	0.0	0.13356	0.00056	0.27213	0.79831	0.22391	0.18518	0.00462	0.15618	0.07597	0.0	0.063	0.10019	0.0	0.0	0.83536	0.0	0.5537	0.0	0.01026	0.0	0.00784	0.0	0.0	0.5902	0.02635	0.0	0.0	0.0	0.00924	0.00153	0.0	0.46347	0.00405	0.0	0.0	0.0	0.00041	0.05473	0.0	0.0	0.00122	0.0	0.0	0.49054	0.10317	0.0	0.0	0.0	0.0	0.09614	0.0	0.0	0.0	0.0	0.04714	0.0	0.027	0.0255	0.13743	0.00367	0.04666	0.05536	0.01853	0.0	0.0	0.0	0.02188	0.12139	1.77356	0.01627	0.0	0.0	0.4455	0.01387	0.0	0.0	0.01374	0.0	0.0148	0.0	0.07851	0.0	0.0	0.05898	0.0	0.00149	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Psychroflexus|s__Psychroflexus_halocasei|t__SGB2909	0.56243	0.0	0.0	0.0067	0.03594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00152	0.0	0.0	0.0	0.0	0.0	3.82247	1.57063	0.08385	0.4904	6.21489	3.0948	1.86122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01591	0.0	0.02605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05959	0.13004	0.0	0.0	0.0	0.01206	0.0	0.0	12.17393	0.0	0.0706	1.204	0.0	1.67698	0.59865	0.05916	0.08374	0.00161	4.54588	0.0	0.01123	0.0	0.0	0.0	0.0	0.0166	0.0	0.0	0.0	0.0	6.33401	1.08646	0.24211	1.35545	0.0	0.05619	0.0	0.0	0.0	0.0	0.33101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02302	13.77523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Promicromonosporaceae|g__Cellulosimicrobium|s__Cellulosimicrobium_cellulans|t__SGB16053	0.42682	0.29607	0.08098	0.20436	0.43393	0.31217	0.17109	0.25368	0.06787	0.51732	0.11592	0.211	1.11277	0.39725	0.72625	1.23437	0.68786	0.55188	1.3597	0.21515	0.41086	0.16092	0.08187	0.04213	0.08025	0.13976	0.07036	0.08209	0.2399	0.39243	0.19526	0.62485	0.19354	0.25265	0.26916	0.67483	0.16292	0.09938	0.24449	0.34735	0.40594	0.47654	0.83797	0.51996	0.31399	1.30015	1.06755	0.03043	0.38629	0.0	0.32859	0.04988	0.87501	0.26465	0.13026	0.05669	0.17861	0.17071	0.38809	0.36566	0.08889	0.25155	0.09548	0.3418	0.90565	0.2025	0.25456	0.27193	1.05395	0.19826	0.65976	0.05791	0.29222	0.09997	0.17733	0.88745	0.89063	0.27714	0.16064	0.1576	0.47909	0.33354	0.04259	0.0307	0.05836	0.17755	0.02251	0.08767	0.03205	0.0368	0.06457	0.34372	0.03303	0.28842	0.03701	0.55562	1.21561	0.24137	0.2693	1.46463	0.98323	3.13677	4.0068	0.53801	0.05408	0.14994	0.13023	0.07446	0.22657	0.21789	0.22905	0.13093	0.25736	0.14948	0.16481	0.18346	0.2731	0.1258	0.42462	0.5963	0.52639	0.35656	0.36447	0.5225	0.0568	0.17999	0.59039	0.06811	0.16556	0.04994	0.15711	0.36575	0.4624	0.72621	0.39593	91.51147	85.35747	87.7641	96.04702	86.6023	99.29458	98.85251	97.6172	99.55566
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_casei|t__SGB17127	0.40635	0.00467	0.00318	0.10554	0.22924	0.00728	0.00484	0.00994	0.01833	0.00328	0.00428	0.08928	0.00133	0.00165	0.00236	0.02259	0.00319	0.00921	0.00326	0.00365	0.24855	17.36735	18.55353	34.18326	40.35682	35.33429	21.6322	18.35534	0.14337	0.00705	0.00799	0.01797	0.01259	0.00833	0.01145	0.01308	0.00653	0.00282	0.00137	0.01284	0.00862	0.44202	0.02165	0.00623	0.00228	2.26061	0.00828	0.00888	0.0065	0.014	0.01149	0.02345	0.01388	0.02224	0.00877	20.86209	24.61143	0.00455	24.62743	0.06128	0.09705	8.09816	12.52774	0.06442	0.08417	2.38978	0.02537	0.03699	0.21077	0.73044	0.44301	0.1872	12.63106	0.00039	5.64552	2.2567	39.16238	0.09897	33.72152	41.71025	0.00188	0.00963	3.86812	9.94668	9.85423	15.94256	9.62142	12.49491	9.44948	13.32003	13.51378	3.53149	10.8996	3.24754	5.88866	0.00389	0.07794	2.03389	0.0104	0.03765	0.02043	0.0494	0.02052	0.40416	21.02028	59.38999	10.67694	7.03023	0.18095	0.44439	5.39972	4.50551	0.91007	20.69422	4.74467	3.58168	17.89794	0.71633	2.98233	3.44853	0.07952	0.00548	0.29459	0.01029	0.00773	0.00635	0.00732	0.00518	0.02703	0.00364	0.00579	0.00451	0.01927	0.0071	0.00496	0.0	0.00312	0.02081	0.06029	0.06235	0.02362	0.06105	0.01141	0.00131
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_gubbeenense|t__SGB34904	0.34545	0.0	0.0	0.00877	0.04081	0.0	0.0	0.0	0.00045	0.0	0.0	0.03755	0.0	0.0	0.0	0.0687	0.00037	0.0	0.40117	0.0	0.0	2.01612	2.89257	3.75192	0.31062	3.96478	4.20089	1.27927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10577	1.37925	0.36427	0.0	0.0	1.62931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74881	1.87762	0.0	0.16768	0.0	0.01572	0.31403	2.6535	0.55926	0.18638	0.29388	0.0	0.0	9.98941	0.47769	1.17628	0.0	67.83397	0.0	0.40332	0.0	8.00418	0.00494	40.69148	12.76252	0.0	0.0	3.08618	0.7799	0.14216	2.13096	2.13135	1.84962	0.19588	0.10328	0.60564	0.70673	1.43953	2.53801	1.16696	0.0	0.0	0.00588	0.01425	0.0	0.0	0.0	0.0	0.6723	1.42836	2.5275	15.26596	4.59662	2.94938	0.01363	0.02049	0.0	0.0	0.45676	0.11785	0.00228	0.8312	3.87391	12.82745	8.04829	13.89113	0.14438	1.79967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Mesonia|s__Mesonia_hippocampi|t__SGB79112	0.32079	0.0	0.0	0.0	0.00354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.25386	0.0	0.00033	0.0	3.43192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00202	0.00652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
