dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
GianvitoDP_2025	SRR31346739	food	fruits_and_vegetables	grapes			NF	ITA	SAMN44732269	SRR31346739	SRX26723726	SRP545155	PRJNA1185009	NCBI	PAIRED	Illumina NovaSeq 6000	DNeasy_PowerSoil_Pro_Kit	2023	11352546042.0	76273061.0	75.0	149.0	145.78537066700002	150	118456.0	0.0	1.0	2.0	0.0	no	Hrituraj Dey
GianvitoDP_2025	SRR31346740	food	fruits_and_vegetables	grapes			NF	ITA	SAMN44732268	SRR31346740	SRX26723725	SRP545155	PRJNA1185009	NCBI	PAIRED	Illumina NovaSeq 6000	DNeasy_PowerSoil_Pro_Kit	2023	10832906131.0	72649348.0	75.0	149.0	147.36907796533333	150	90813.0	1.0	0.0	2.0	0.0	no	Hrituraj Dey
GianvitoDP_2025	SRR31346742	food	fruits_and_vegetables	grapes			NF	ITA	SAMN44732267	SRR31346742	SRX26723723	SRP545155	PRJNA1185009	NCBI	PAIRED	Illumina NovaSeq 6000	DNeasy_PowerSoil_Pro_Kit	2023	11977890901.0	80380889.0	75.0	149.0	147.4306820966667	150	181870.0	2.0	0.0	3.0	0.0	no	Hrituraj Dey
GianvitoDP_2025	SRR31346743	food	fruits_and_vegetables	grapes			NF	ITA	SAMN44732266	SRR31346743	SRX26723722	SRP545155	PRJNA1185009	NCBI	PAIRED	Illumina NovaSeq 6000	DNeasy_PowerSoil_Pro_Kit	2023	11893757937.0	79830027.0	75.0	149.0	147.758533271	150	117279.0	0.0	2.0	4.0	0.0	no	Hrituraj Dey
GianvitoDP_2025	SRR31346744	food	fruits_and_vegetables	grapes			NF	ITA	SAMN44732265	SRR31346744	SRX26723721	SRP545155	PRJNA1185009	NCBI	PAIRED	Illumina NovaSeq 6000	DNeasy_PowerSoil_Pro_Kit	2023	12114852739.0	81331409.0	75.0	149.0	147.11962889100002	150	142719.0	2.0	2.0	4.0	0.0	no	Hrituraj Dey
GianvitoDP_2025	SRR31346745	food	fruits_and_vegetables	grapes			NF	ITA	SAMN44732264	SRR31346745	SRX26723720	SRP545155	PRJNA1185009	NCBI	PAIRED	Illumina NovaSeq 6000	DNeasy_PowerSoil_Pro_Kit	2023	8859341243.0	59469592.0	75.0	149.0	147.9010754566667	150	110323.0	0.0	3.0	2.0	0.0	no	Hrituraj Dey
GianvitoDP_2025	SRR31346746	food	fruits_and_vegetables	grapes			NF	ITA	SAMN44732263	SRR31346746	SRX26723719	SRP545155	PRJNA1185009	NCBI	PAIRED	Illumina NovaSeq 6000	DNeasy_PowerSoil_Pro_Kit	2023	11330223376.0	76051606.0	75.0	149.0	147.671602881	150	106087.0	2.0	1.0	3.0	1.0	no	Hrituraj Dey
GianvitoDP_2025	SRR31346747	food	fruits_and_vegetables	grapes			NF	ITA	SAMN44732262	SRR31346747	SRX26723718	SRP545155	PRJNA1185009	NCBI	PAIRED	Illumina NovaSeq 6000	DNeasy_PowerSoil_Pro_Kit	2023	9054875554.0	60776844.0	75.0	149.0	146.80393357266666	150	104025.0	0.0	0.0	4.0	0.0	no	Hrituraj Dey
GianvitoDP_2025	SRR31346748	food	fruits_and_vegetables	grapes			NF	ITA	SAMN44732261	SRR31346748	SRX26723717	SRP545155	PRJNA1185009	NCBI	PAIRED	Illumina NovaSeq 6000	DNeasy_PowerSoil_Pro_Kit	2023	11065086170.0	74258291.0	75.0	149.0	147.37039929233333	150	169542.0	1.0	2.0	2.0	0.0	no	Hrituraj Dey
GianvitoDP_2025	SRR31346749	food	fruits_and_vegetables	grapes			NF	ITA	SAMN44732260	SRR31346749	SRX26723716	SRP545155	PRJNA1185009	NCBI	PAIRED	Illumina NovaSeq 6000	DNeasy_PowerSoil_Pro_Kit	2023	12710154736.0	85318210.0	75.0	149.0	147.87783574833335	150	131882.0	5.0	1.0	3.0	0.0	no	Hrituraj Dey
