dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
GuronKPG_2019	SRR7414902	food	fruits_and_vegetables	lettuce			NF	USA	SAMN09459292	SRR7414902	SRX4285908	SRP151152	PRJNA476799	NCBI	PAIRED	Illumina HiSeq 2500	FastDNA_Spin_kit	2016-02	3280702019.0	32783805.0	75.0	100.0	99.69833358693332	101	8086.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
GuronKPG_2019	SRR7414903	food	fruits_and_vegetables	lettuce			NF	USA	SAMN09459289	SRR7414903	SRX4285907	SRP151152	PRJNA476799	NCBI	PAIRED	Illumina HiSeq 2500	FastDNA_Spin_kit	2016-02	5862177063.0	58594079.0	75.0	100.0	99.38556413013332	101	20614.0	4.0	3.0	0.0	0.0	no	Hrituraj Dey
GuronKPG_2019	SRR7414904	food	fruits_and_vegetables	lettuce			NF	USA	SAMN09459290	SRR7414904	SRX4285906	SRP151152	PRJNA476799	NCBI	PAIRED	Illumina HiSeq 2500	FastDNA_Spin_kit	2016-02	5765104706.0	57614627.0	75.0	100.0	99.4581396055	101	17147.0	1.0	1.0	0.0	0.0	no	Hrituraj Dey
GuronKPG_2019	SRR7414905	food	fruits_and_vegetables	radish			NF	USA	SAMN09459278	SRR7414905	SRX4285905	SRP151152	PRJNA476799	NCBI	PAIRED	Illumina HiSeq 2500	FastDNA_Spin_kit	2016-02	2635228529.0	26474552.0	75.0	100.0	98.9269486381	101	14897.0	2.0	0.0	0.0	0.0	no	Hrituraj Dey
GuronKPG_2019	SRR7414906	food	fruits_and_vegetables	radish			NF	USA	SAMN09459277	SRR7414906	SRX4285904	SRP151152	PRJNA476799	NCBI	PAIRED	Illumina HiSeq 2500	FastDNA_Spin_kit	2016-02	2784730681.0	27938355.0	75.0	100.0	99.0986009821	101	35187.0	6.0	2.0	0.0	0.0	no	Hrituraj Dey
GuronKPG_2019	SRR7414907	food	fruits_and_vegetables	radish			NF	USA	SAMN09459276	SRR7414907	SRX4285903	SRP151152	PRJNA476799	NCBI	PAIRED	Illumina HiSeq 2500	FastDNA_Spin_kit	2016-02	2619608561.0	26266779.0	75.0	100.0	99.15333367693331	101	17626.0	1.0	0.0	0.0	0.0	no	Hrituraj Dey
GuronKPG_2019	SRR7414908	food	fruits_and_vegetables	radish			NF	USA	SAMN09459275	SRR7414908	SRX4285902	SRP151152	PRJNA476799	NCBI	PAIRED	Illumina HiSeq 2500	FastDNA_Spin_kit	2016-02	3208272124.0	32190763.0	75.0	100.0	99.26062973036666	101	17383.0	2.0	2.0	0.0	0.0	no	Hrituraj Dey
GuronKPG_2019	SRR7414909	food	fruits_and_vegetables	lettuce			NF	USA	SAMN09459282	SRR7414909	SRX4285901	SRP151152	PRJNA476799	NCBI	PAIRED	Illumina HiSeq 2500	FastDNA_Spin_kit	2016-02	2773250936.0	27737542.0	75.0	100.0	99.48670316473331	101	8435.0	2.0	0.0	0.0	0.0	no	Hrituraj Dey
GuronKPG_2019	SRR7414910	food	fruits_and_vegetables	lettuce			NF	USA	SAMN09459281	SRR7414910	SRX4285900	SRP151152	PRJNA476799	NCBI	PAIRED	Illumina HiSeq 2500	FastDNA_Spin_kit	2016-02	2651096150.0	26737665.0	75.0	100.0	96.91325723743334	101	4198.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
GuronKPG_2019	SRR7414911	food	fruits_and_vegetables	lettuce			NF	USA	SAMN09459280	SRR7414911	SRX4285899	SRP151152	PRJNA476799	NCBI	PAIRED	Illumina HiSeq 2500	FastDNA_Spin_kit	2016-02	3320760716.0	33191049.0	75.0	100.0	99.67920641946668	101	6915.0	0.0	2.0	0.0	0.0	no	Hrituraj Dey
