clade_name	GuronKPG_2019__SRR7414902	GuronKPG_2019__SRR7414903	GuronKPG_2019__SRR7414904	GuronKPG_2019__SRR7414906	GuronKPG_2019__SRR7414905	GuronKPG_2019__SRR7414907	GuronKPG_2019__SRR7414908	GuronKPG_2019__SRR7414909	GuronKPG_2019__SRR7414910	GuronKPG_2019__SRR7414911	GuronKPG_2019__SRR7414912	GuronKPG_2019__SRR7414913	GuronKPG_2019__SRR7414914	GuronKPG_2019__SRR7414915	GuronKPG_2019__SRR7414916	GuronKPG_2019__SRR7414917	GuronKPG_2019__SRR7414918	GuronKPG_2019__SRR7414919	GuronKPG_2019__SRR7414920	GuronKPG_2019__SRR7414921	GuronKPG_2019__SRR7414922	GuronKPG_2019__SRR7414923	GuronKPG_2019__SRR7414924	GuronKPG_2019__SRR7414925	GuronKPG_2019__SRR7414926	GuronKPG_2019__SRR7414927	GuronKPG_2019__SRR7414928	GuronKPG_2019__SRR7414929	GuronKPG_2019__SRR7414930	GuronKPG_2019__SRR7414931	GuronKPG_2019__SRR7414932	GuronKPG_2019__SRR7414933	GuronKPG_2019__SRR7414934	GuronKPG_2019__SRR7414935	GuronKPG_2019__SRR7414936	GuronKPG_2019__SRR7414937	GuronKPG_2019__SRR7414938	GuronKPG_2019__SRR7414939	GuronKPG_2019__SRR7414940	GuronKPG_2019__SRR7414941	GuronKPG_2019__SRR7414942	GuronKPG_2019__SRR7414943	GuronKPG_2019__SRR7414944	GuronKPG_2019__SRR7414945	GuronKPG_2019__SRR7414946	GuronKPG_2019__SRR7414947	GuronKPG_2019__SRR7414948	GuronKPG_2019__SRR7414949	GuronKPG_2019__SRR7414950	GuronKPG_2019__SRR7414951
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_oxydans|t__SGB16871	11.40597	0.44625	2.66383	0.0	0.0	0.0	0.0	0.19363	0.41405	0.83187	0.0	0.0	0.0	0.0	0.64604	0.12533	0.24559	0.0	1.42914	0.0	0.03759	0.34483	0.36914	0.0	0.0	0.0	0.24449	4.84497	0.0	0.0058	0.0	0.0	0.0	0.0	0.59827	0.55835	0.58153	1.14494	0.3493	20.16315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Streptosporangiales|f__Nocardiopsidaceae|g__Thermobifida|s__Thermobifida_fusca|t__SGB16392	10.04536	27.54824	0.44909	0.0	0.0	0.0	0.0	0.06578	0.9397	0.08797	0.0	0.45492	0.55895	0.17195	4.08835	34.46676	15.01236	50.46341	1.86951	0.97525	3.44131	15.98045	2.23419	0.0	0.0	2.06125	28.31652	1.02207	0.0	0.0	0.41545	1.26591	1.94785	3.18718	0.0	0.0	10.95075	0.38271	15.87713	6.03509	10.76842	0.75521	0.0	0.0	0.0	0.0	5.76628	18.84526	0.48024	4.67699
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Saccharomonospora|s__Saccharomonospora_viridis|t__SGB16563	6.36667	10.12826	0.16297	0.0	0.0	0.0	0.0	0.0	0.0	0.03903	0.0	0.39849	1.44751	0.07586	2.20729	11.00695	7.48225	12.36943	0.73509	1.02372	3.77116	9.33482	0.89121	0.0	0.0	2.59128	10.45675	1.39364	0.0	0.0	0.22189	0.74636	1.3515	1.89123	0.0	0.0	0.17537	0.14293	9.70382	3.85096	3.21146	0.51847	0.0	0.0	0.0	0.0	1.80029	5.7636	0.14163	1.49065
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Pallidibacillus|s__Pallidibacillus_thermolactis|t__SGB106730	5.1635	5.53164	0.18832	0.0	0.0	0.0	0.0	0.04144	0.75909	0.1147	0.0	0.36389	2.02858	0.12482	0.53758	6.76683	3.21298	10.05247	0.492	1.36717	1.84925	8.03358	0.56982	0.0	0.0	3.24027	5.46847	0.48657	0.0	0.0	0.45962	0.6071	1.07111	1.69693	0.0	0.0	2.62877	0.14632	8.20598	3.32432	2.77242	0.49541	0.0	0.0	0.0	0.0	1.27272	4.54051	0.1607	1.05132
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Caryophanaceae|g__Ureibacillus|s__Ureibacillus_thermosphaericus|t__SGB29943	4.72571	5.1344	0.06169	0.0	0.0	0.0	0.0	0.00378	0.11974	0.02933	0.0	0.07724	1.04749	0.04905	0.12076	5.09483	3.5566	5.28618	0.19465	0.37827	0.85986	5.80246	0.25615	0.0	0.0	1.09066	5.04937	0.24458	0.0	0.0	0.38064	0.54692	1.09618	1.67261	0.0	0.0	1.87769	0.06043	6.21797	2.33704	2.64774	0.37073	0.0	0.0	0.0	0.0	1.04778	4.40541	0.14229	0.91378
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes|t__SGB16955	3.88208	0.44782	0.54079	0.17951	0.28145	0.58493	0.63705	1.00557	15.69089	46.69795	1.12434	3.59184	39.51791	1.66047	1.08766	1.6616	3.77546	0.70926	1.65098	3.27104	38.46523	0.8721	12.87186	0.26887	0.26722	14.22762	0.1798	2.60338	0.57544	0.30067	0.39671	0.1795	0.11732	0.27703	0.30177	0.38589	3.23056	0.58386	1.25022	6.80986	0.11469	0.26435	0.31983	0.0	0.18365	0.3591	0.10432	0.14581	0.13085	0.07772
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_oleivorans|t__SGB10351	3.71924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Homoserinibacter|s__Homoserinibacter_gongjuensis|t__SGB129688	2.9936	1.03891	0.0	0.19631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64967	0.0	0.0	0.02112	0.0	0.0	0.95988	0.0	0.15846	0.0	0.0	1.13601	0.0	0.0	0.0	0.06499	0.17944	0.29492	0.22513	0.0	0.0	0.8501	0.0	0.97965	4.66356	1.10041	0.29221	0.0	0.0	0.0	0.0	1.04651	1.62266	0.5899	0.9213
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides_kribbensis|t__SGB15975	2.55231	0.03696	0.11393	0.0	0.0	0.0	0.0	0.0	0.0	1.06425	0.0	0.0	0.0	0.0	0.76945	0.0506	0.0	0.0	0.0	9.46006	0.0	0.33139	0.50455	0.0262	0.01156	6.27316	0.0196	0.02381	0.0	0.0	0.03051	0.0	0.0	0.0	0.0	0.0	7.78173	0.05189	0.38685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Insulibacter|s__Insulibacter_thermoxylanivorax|t__SGB82349	2.31854	1.68926	0.01729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00991	0.87578	0.50627	1.00005	0.05179	0.09047	0.46341	3.67389	0.0	0.0	0.0	0.59036	1.65345	0.10282	0.0	0.0	0.19255	0.28762	0.63728	0.88296	0.0	0.0	0.94163	0.00523	3.82171	1.16891	0.60627	0.19761	0.0	0.0	0.0	0.0	0.26547	0.98161	0.01885	0.23812
