dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
HellmannSL_2020	ERS3651751	food	fermented_meat	cattle_pig_sheep_and_horse_sausage	calibraton_sausage_containing_cattle_pig_sheep_and_horse_meat		F	CHE	ERS3651751	ERR3479084	ERX3500643	ERP116842	PRJEB34001	NCBI	PAIRED	Illumina_HiSeq_2500	Wizard_Plus_Miniprep		239377939	1697010	35	151.0	141.0586496	151.0	157	0	0	0	0	no	Niccolò_Carlino
HellmannSL_2020	ERS3651752	food	fermented_meat	cattle_pig_sheep_and_horse_sausage	calibraton_sausage_containing_cattle_pig_sheep_and_horse_meat		F	CHE	ERS3651752	ERR3479085	ERX3500644	ERP116842	PRJEB34001	NCBI	PAIRED	Illumina_HiSeq_2500	Wizard_Plus_Miniprep		29206689	197538	35	151.0	147.8535219	151.0	28	0	0	0	0	yes	Niccolò_Carlino
HellmannSL_2020	ERS3651753	food	fermented_meat	cattle_pig_sheep_and_horse_sausage	calibraton_sausage_containing_cattle_pig_sheep_and_horse_meat		F	CHE	ERS3651753	ERR3479086	ERX3500645	ERP116842	PRJEB34001	NCBI	PAIRED	Illumina_HiSeq_2500	Wizard_Plus_Miniprep		119300059	820260	35	151.0	145.4417611	151.0	63	0	0	0	0	no	Niccolò_Carlino
HellmannSL_2020	ERS3651754	food	fermented_meat	cattle_pig_sheep_and_horse_sausage	calibraton_sausage_containing_cattle_pig_sheep_and_horse_meat		F	CHE	ERS3651754	ERR3479087	ERX3500646	ERP116842	PRJEB34001	NCBI	PAIRED	Illumina_HiSeq_2500	Wizard_Plus_Miniprep		85085498	587426	35	151.0	144.8446238	151.0	46	0	0	0	0	yes	Niccolò_Carlino
HellmannSL_2020	ERS3651755	food	fermented_meat	cattle_pig_chicken_and_turkey_sausage	calibraton_sausage_containing_cattle_pig_chicken_and_turkey_meat		F	CHE	ERS3651755	ERR3479076	ERX3500635	ERP116842	PRJEB34001	NCBI	PAIRED	Illumina_HiSeq_2500	Wizard_Plus_Miniprep		116750700	819914	35	151.0	142.3938364	151.0	131	0	0	0	0	no	Niccolò_Carlino
HellmannSL_2020	ERS3651756	food	fermented_meat	cattle_pig_chicken_and_turkey_sausage	calibraton_sausage_containing_cattle_pig_chicken_and_turkey_meat		F	CHE	ERS3651756	ERR3479077	ERX3500636	ERP116842	PRJEB34001	NCBI	PAIRED	Illumina_HiSeq_2500	Wizard_Plus_Miniprep		84059456	614942	35	150.0	136.6949338	151.0	43	0	0	0	0	yes	Niccolò_Carlino
HellmannSL_2020	ERS3651757	food	fermented_meat	cattle_pig_chicken_and_turkey_sausage	calibraton_sausage_containing_cattle_pig_chicken_and_turkey_meat		F	CHE	ERS3651757	ERR3479078	ERX3500637	ERP116842	PRJEB34001	NCBI	PAIRED	Illumina_HiSeq_2500	Wizard_Plus_Miniprep		143509998	1033814	35	150.0	138.8160714	151.0	138	0	0	0	0	no	Niccolò_Carlino
HellmannSL_2020	ERS3651758	food	fermented_meat	cattle_pig_chicken_and_turkey_sausage	calibraton_sausage_containing_cattle_pig_chicken_and_turkey_meat		F	CHE	ERS3651758	ERR3479079	ERX3500638	ERP116842	PRJEB34001	NCBI	PAIRED	Illumina_HiSeq_2500	Wizard_Plus_Miniprep		114258289	851816	35	150.0	134.1349411	151.0	45	0	0	0	0	no	Niccolò_Carlino
HellmannSL_2020	ERS3651759	food	fermented_meat	cattle_pig_chicken_and_turkey_sausage	calibraton_sausage_containing_cattle_pig_chicken_and_turkey_meat		F	CHE	ERS3651759	ERR3479080	ERX3500639	ERP116842	PRJEB34001	NCBI	PAIRED	Illumina_HiSeq_2500	Wizard_Plus_Miniprep		94450745	690798	35	150.0	136.7270099	151.0	364	0	0	0	0	yes	Niccolò_Carlino
HellmannSL_2020	ERS3651760	food	fermented_meat	cattle_pig_chicken_and_turkey_sausage	calibraton_sausage_containing_cattle_pig_chicken_and_turkey_meat		F	CHE	ERS3651760	ERR3479081	ERX3500640	ERP116842	PRJEB34001	NCBI	PAIRED	Illumina_HiSeq_2500	Wizard_Plus_Miniprep		111052337	783536	35	151.0	141.7322714	151.0	595	0	0	0	0	no	Niccolò_Carlino
HellmannSL_2020	ERS3651761	food	fermented_meat	cattle_pig_chicken_and_turkey_sausage	calibraton_sausage_containing_cattle_pig_chicken_and_turkey_meat		F	CHE	ERS3651761	ERR3479082	ERX3500641	ERP116842	PRJEB34001	NCBI	PAIRED	Illumina_HiSeq_2500	Wizard_Plus_Miniprep		101724302	714412	35	151.0	142.3888485	151.0	133	0	0	0	0	no	Niccolò_Carlino
HellmannSL_2020	ERS3651762	food	fermented_meat	cattle_pig_chicken_and_turkey_sausage	calibraton_sausage_containing_cattle_pig_chicken_and_turkey_meat		F	CHE	ERS3651762	ERR3479083	ERX3500642	ERP116842	PRJEB34001	NCBI	PAIRED	Illumina_HiSeq_2500	Wizard_Plus_Miniprep		229496788	1647746	35	151.0	139.2792263	151.0	996	0	0	0	0	no	Niccolò_Carlino
