dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
IndioV_2024	SRR27183618	food	fermented_meat	sausage			F	PRT	SAMN38771686	SRR27183618	SRX22863895	SRP477474	PRJNA1051357	NCBI	PAIRED	NextSeq 500		2021	7431377151.0	50582025.0	75.0	150.0	146.26735724333335	151	25167.0	3.0	0.0	0.0	0.0	no	Hrituraj Dey
IndioV_2024	SRR27183619	food	fermented_meat	sausage			F	GRC	SAMN38771685	SRR27183619	SRX22863894	SRP477474	PRJNA1051357	NCBI	PAIRED	NextSeq 500		2021	5318618001.0	36240961.0	75.0	150.0	146.08903065866667	151	20348.0	3.0	6.0	1.0	1.0	no	Hrituraj Dey
IndioV_2024	SRR27183620	food	fermented_meat	salami			F	ITA	SAMN38771676	SRR27183620	SRX22863893	SRP477474	PRJNA1051357	NCBI	PAIRED	NextSeq 500		2021	2773153335.0	19670260.0	75.0	150.0	140.15990451533335	151	17624.0	2.0	3.0	0.0	1.0	no	Hrituraj Dey
IndioV_2024	SRR27183621	food	fermented_meat	salami			F	ITA	SAMN38771675	SRR27183621	SRX22863892	SRP477474	PRJNA1051357	NCBI	PAIRED	NextSeq 500		2021	2888709987.0	20061245.0	75.0	150.0	142.73450747166666	151	16900.0	1.0	4.0	0.0	1.0	no	Hrituraj Dey
IndioV_2024	SRR27183622	food	fermented_meat	sausage			F	GRC	SAMN38771684	SRR27183622	SRX22863891	SRP477474	PRJNA1051357	NCBI	PAIRED	NextSeq 500		2021	3563637171.0	24273668.0	75.0	150.0	145.90709460033332	151	4277.0	0.0	1.0	0.0	0.0	no	Hrituraj Dey
IndioV_2024	SRR27183623	food	fermented_meat	salami			F	ITA	SAMN38771683	SRR27183623	SRX22863890	SRP477474	PRJNA1051357	NCBI	PAIRED	NextSeq 500		2021	3889076947.0	26952941.0	75.0	150.0	143.76259240466666	151	23723.0	0.0	1.0	0.0	0.0	no	Hrituraj Dey
IndioV_2024	SRR27183624	food	fermented_meat	salami			F	ITA	SAMN38771682	SRR27183624	SRX22863889	SRP477474	PRJNA1051357	NCBI	PAIRED	NextSeq 500		2021	2870009877.0	19690626.0	75.0	150.0	144.83855657133333	151	9939.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
IndioV_2024	SRR27183625	food	fermented_meat	meat_mixture			F	ITA	SAMN38771681	SRR27183625	SRX22863888	SRP477474	PRJNA1051357	NCBI	PAIRED	NextSeq 500		2021	4588532219.0	32081161.0	75.0	150.0	142.541733075	151	48300.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
IndioV_2024	SRR27183626	food	fermented_meat	meat_mixture			F	ITA	SAMN38771680	SRR27183626	SRX22863887	SRP477474	PRJNA1051357	NCBI	PAIRED	NextSeq 500		2021	3982463579.0	27550028.0	75.0	150.0	143.80959291866665	151	34755.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
IndioV_2024	SRR27183629	food	fermented_meat	salami			F	ITA	SAMN38771677	SRR27183629	SRX22863884	SRP477474	PRJNA1051357	NCBI	PAIRED	NextSeq 500		2021	5177275080.0	36290995.0	75.0	150.0	141.68979032766666	151	22288.0	3.0	2.0	1.0	1.0	no	Hrituraj Dey
IndioV_2024	SRR27183630	food	fermented_meat	sausage			F	MAR	SAMN38771687	SRR27183630	SRX22863883	SRP477474	PRJNA1051357	NCBI	PAIRED	NextSeq 500		2021	6336600567.0	43963005.0	75.0	150.0	143.18063248133333	151	11404.0	6.0	5.0	0.0	0.0	no	Hrituraj Dey
