dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
KastmanEK_2016	CSB307	food	dairy	cheese	cheese_rind		F	FRA	mgs409507	CSB307_GCCAAT.R	mge409508			MG-RAST		Illumina_HiSeq_2500	PowerSoil	9/1/2011	599398200	5993982	100	100.0	100.0	100.0	8393	0	2	0	0	no	Niccolò_Carlino
KastmanEK_2016	CSB341	food	dairy	cheese	cheese_rind		F	ESP	mgs409510	CSB341_CAGATC.R	mge409511			MG-RAST		Illumina_HiSeq_2500	PowerSoil	9/1/2011	1328655200	13286552	100	100.0	100.0	100.0	6232	1	1	0	0	no	Niccolò_Carlino
KastmanEK_2016	CSB387	food	dairy	cheese	cheese_rind		F	GBR	mgs409513	CSB387_ACTTGA.R	mge409514			MG-RAST		Illumina_HiSeq_2500	PowerSoil	9/1/2011	622198200	6221982	100	100.0	100.0	100.0	5189	1	2	0	0	no	Niccolò_Carlino
KastmanEK_2016	CSB409	food	dairy	cheese	cheese_rind		F	FRA	mgs409516	CSB409_GATCAG.R	mge409517			MG-RAST		Illumina_HiSeq_2500	PowerSoil	9/1/2011	276678000	2766780	100	100.0	100.0	100.0	4180	3	0	0	0	no	Niccolò_Carlino
KastmanEK_2016	CSB600	food	dairy	cheese	cheese_rind		F	USA	mgs409519	CSB600_TAGCTT.R	mge409520			MG-RAST		Illumina_HiSeq_2500	PowerSoil	9/1/2011	1033792600	10337926	100	100.0	100.0	100.0	10860	1	3	1	0	no	Niccolò_Carlino
KastmanEK_2016	CSB619	food	dairy	cheese	cheese_rind		F	USA	mgs409522	CSB619_GGCTAC.R	mge409523			MG-RAST		Illumina_HiSeq_2500	PowerSoil	9/1/2011	2639833400	26398334	100	100.0	100.0	100.0	3157	0	1	0	2	no	Niccolò_Carlino
KastmanEK_2016	CSB694	food	dairy	cheese	cheese_rind		F	FRA	mgs409525	CSB694_CTTGTA.R	mge409526			MG-RAST		Illumina_HiSeq_2500	PowerSoil	9/1/2011	472307000	4723070	100	100.0	100.0	100.0	5797	3	3	0	0	no	Niccolò_Carlino
KastmanEK_2016	CSB720	food	dairy	cheese	cheese_rind		F	USA	mgs409528	CSB720_AGTCAA.R	mge409529			MG-RAST		Illumina_HiSeq_2500	PowerSoil	9/1/2011	2853519400	28535194	100	100.0	100.0	100.0	14232	3	1	0	2	no	Niccolò_Carlino
KastmanEK_2016	CSB726	food	dairy	cheese	cheese_rind		F	USA	mgs409531	CSB726_AGTTCC.R	mge409532			MG-RAST		Illumina_HiSeq_2500	PowerSoil	9/1/2011	1020767200	10207672	100	100.0	100.0	100.0	19537	1	0	0	0	no	Niccolò_Carlino
KastmanEK_2016	CSB729	food	dairy	cheese	cheese_rind		F	USA	mgs409534	CSB729_ATGTCA.R	mge409535			MG-RAST		Illumina_HiSeq_2500	PowerSoil	9/1/2011	989841000	9898410	100	100.0	100.0	100.0	8104	1	4	1	0	no	Niccolò_Carlino
