	KumarJ_2019	KumarJ_2019	KumarJ_2019	KumarJ_2019
sample	KumarJ_2019__SRS4562500	KumarJ_2019__SRS4562501	KumarJ_2019__SRS4562502	KumarJ_2019__SRS4562503
macrocategory	food	food	food	food
category	fermented_legumes	fermented_legumes	fermented_legumes	fermented_legumes
type	soybean	soybean	soybean	soybean
subtype	kinema	kinema	kinema	kinema
country	IND	IND	IND	IND
source	public	public	public	public
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_equorum|t__SGB7843	0.0	0.0	0.36086	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_xylosus|t__SGB7847_group	0.0	0.0272	0.0	0.44034
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_durans|t__SGB7966	0.01085	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium|t__SGB7967	0.08079	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Leucobacter|s__Leucobacter_sp_G161|t__SGB16932	0.00239	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis|t__SGB7962	0.21483	0.50233	0.0	1.73736
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus|s__Vagococcus_fluvialis|t__SGB7918	6.67229	10.52791	2.053	11.60203
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_saprophyticus|t__SGB7848	0.02249	2.76089	0.0	0.0046
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_succinus|t__SGB7842	0.0	0.0	0.00036	0.0
