sample	LandisEA_2021__SRS5652903	LandisEA_2021__SRS5652913	LandisEA_2021__SRS5652926	LandisEA_2021__SRS5652931	LandisEA_2021__SRS5652933	LandisEA_2021__SRS5652970	LandisEA_2021__SRS5652972	LandisEA_2021__SRS5652990	LandisEA_2021__SRS5652995	LandisEA_2021__SRS5653013	LandisEA_2021__SRS5653047	LandisEA_2021__SRS5653049	LandisEA_2021__SRS5653081	LandisEA_2021__SRS5653094	LandisEA_2021__SRS5653126	LandisEA_2021__SRS5653128	LandisEA_2021__SRS5653132	LandisEA_2021__SRS5653137	LandisEA_2021__SRS5653152	LandisEA_2021__SRS5653155	LandisEA_2021__SRS5653156	LandisEA_2021__SRS5653168	LandisEA_2021__SRS5653198	LandisEA_2021__SRS5653199	LandisEA_2021__SRS5653217	LandisEA_2021__SRS5653219	LandisEA_2021__SRS5653248	LandisEA_2021__SRS5653250	LandisEA_2021__SRS5653255	LandisEA_2021__SRS5653276	LandisEA_2021__SRS5653283	LandisEA_2021__SRS5653318	LandisEA_2021__SRS5653333	LandisEA_2021__SRS5653346	LandisEA_2021__SRS5653374	LandisEA_2021__SRS5653388	LandisEA_2021__SRS5653391	LandisEA_2021__SRS5653393	LandisEA_2021__SRS5653396	LandisEA_2021__SRS5653399
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_cremoris|t__SGB7984	0.0	0.0	0.0	0.23164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__SGB7985	0.0	0.0	0.0	0.64071	0.12112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_mesenteroides|t__SGB7126	0.0	0.0	0.0	31.0365	2.64739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lacticaseibacillus|s__Lacticaseibacillus_paracasei|t__SGB7142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.72556	0.62707	0.0	0.0	0.0	0.0	0.0	51.21968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07354
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactiplantibacillus|s__Lactiplantibacillus_plantarum|t__SGB7202	52.92365	1.15985	51.65144	0.0	0.0	0.0	48.07264	0.13557	0.0	79.46634	0.0	0.0	60.78611	56.62401	34.25706	19.18449	0.0	54.48034	0.0	0.0	33.43844	35.83836	84.43923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.36099	62.26982	0.0	47.94814	0.0	74.20756	5.67395	66.15874	10.85892	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__Pediococcus_parvulus|t__SGB7180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.62609	3.55086	0.0	0.0	0.0	0.0	0.0	1.42398	33.61859	0.0	0.35492	0.0	27.98151	8.68369	0.0	9.47725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04936
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_fabarum|t__SGB1190	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.38513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_SGB92972|t__SGB92972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.14297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_orientalis|t__SGB1187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Levilactobacillus|s__Levilactobacillus_brevis|t__SGB7196	29.23841	7.24405	15.78045	0.009	0.0	44.01737	25.99383	27.8244	0.0	11.89364	0.0	3.90624	35.48373	28.15093	56.00082	80.53469	4.04352	1.27404	0.83756	0.0	5.66366	14.75705	2.09575	10.87437	60.22057	0.0	0.64217	0.0	0.0	0.0	49.30523	37.3319	14.1353	29.50071	0.0	25.58503	13.42637	33.51031	31.49932	0.0
