dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
LeechJ_2020	ERS3967688	food	dairy	cheese	Wagashi	Wagashi	F	BEN	ERS3967688	ERR4757803	ERX4630953	ERP118359	PRJEB35321	NCBI	PAIRED	NextSeq_500	Qiagen_TissueLyser/GeneAll_Exgene		1016387644	6731044	151	151.0	151.0	151.0	3705	3	1	0	0	no	Niccolò_Carlino
LeechJ_2020	ERS3967689	food	dairy	cheese	Wagashi	Wagashi	F	BEN	ERS3967689	ERR4757804	ERX4630954	ERP118359	PRJEB35321	NCBI	PAIRED	NextSeq_500	Qiagen_TissueLyser/GeneAll_Exgene		1148664852	7607052	151	151.0	151.0	151.0	8326	3	1	1	0	no	Niccolò_Carlino
LeechJ_2020	ERS3967690	food	fermented_grains	kvass	rye_bread_and_sugar_kvass		F	RUS	ERS3967690	ERR4757805	ERX4630955	ERP118359	PRJEB35321	NCBI	PAIRED	NextSeq_500	Qiagen_TissueLyser/GeneAll_Exgene		1241621056	8222656	151	151.0	151.0	151.0	16325	2	4	0	0	no	Niccolò_Carlino
LeechJ_2020	ERS3967691	food	fermented_fruits_and_vegetables	kimchi	carrot_kimchi		F	GBR	ERS3967691	ERR4757806	ERX4630956	ERP118359	PRJEB35321	NCBI	PAIRED	NextSeq_500	Qiagen_TissueLyser/GeneAll_Exgene		1037338894	6869794	151	151.0	151.0	151.0	4546	1	2	0	0	no	Niccolò_Carlino
LeechJ_2020	ERS3967692	food	fermented_grains	boza			F	GBR	ERS3967692	ERR4757807	ERX4630957	ERP118359	PRJEB35321	NCBI	PAIRED	NextSeq_500	Qiagen_TissueLyser/GeneAll_Exgene		1189260598	7875898	151	151.0	151.0	151.0	6386	1	5	1	0	no	Niccolò_Carlino
LeechJ_2020	ERS3967693	food	fermented_tubers_and_roots	turnip			F	GBR	ERS3967693	ERR4757808	ERX4630958	ERP118359	PRJEB35321	NCBI	PAIRED	NextSeq_500	Qiagen_TissueLyser/GeneAll_Exgene		244486818	1619118	151	151.0	151.0	151.0	2400	1	1	0	0	no	Niccolò_Carlino
LeechJ_2020	ERS3967694	food	fermented_fruits_and_vegetables	orange			F	GBR	ERS3967694	ERR4757809	ERX4630959	ERP118359	PRJEB35321	NCBI	PAIRED	NextSeq_500	Qiagen_TissueLyser/GeneAll_Exgene		895439060	5930060	151	151.0	151.0	151.0	7967	0	0	1	1	no	Niccolò_Carlino
LeechJ_2020	ERS3967695	food	fermented_fruits_and_vegetables	sauerkraut			F	DEU	ERS3967695	ERR4757810	ERX4630960	ERP118359	PRJEB35321	NCBI	PAIRED	NextSeq_500	Qiagen_TissueLyser/GeneAll_Exgene		1270278742	8412442	151	151.0	151.0	151.0	6916	2	0	1	0	no	Niccolò_Carlino
LeechJ_2020	ERS3967696	food	fermented_beverages	tepache	ananas		F	MEX	ERS3967696	ERR4757811	ERX4630961	ERP118359	PRJEB35321	NCBI	PAIRED	NextSeq_500	Qiagen_TissueLyser/GeneAll_Exgene		981000492	6496692	151	151.0	151.0	151.0	2186	4	0	0	0	no	Niccolò_Carlino
LeechJ_2020	ERS3967697	food	alcohol	ginger_beer	ginger		F	GBR	ERS3967697	ERR4757812	ERX4630962	ERP118359	PRJEB35321	NCBI	PAIRED	NextSeq_500	Qiagen_TissueLyser/GeneAll_Exgene		1403553154	9295054	151	151.0	151.0	151.0	13623	2	1	0	0	no	Niccolò_Carlino
LeechJ_2020	ERS3967698	food	fermented_legumes	soybean	tempeh		F	GBR	ERS3967698	ERR4757813	ERX4630963	ERP118359	PRJEB35321	NCBI	PAIRED	NextSeq_500	Qiagen_TissueLyser/GeneAll_Exgene		1285204790	8511290	151	151.0	151.0	151.0	5670	2	1	0	0	no	Niccolò_Carlino
LeechJ_2020	ERS3967699	food	fermented_fruits_and_vegetables	cucumber			F	GBR	ERS3967699	ERR4757814	ERX4630964	ERP118359	PRJEB35321	NCBI	PAIRED	NextSeq_500	Qiagen_TissueLyser/GeneAll_Exgene		1125573932	7454132	151	151.0	151.0	151.0	5741	2	3	0	0	no	Niccolò_Carlino
LeechJ_2020	ERS3967702	food	fermented_legumes	tofu_chili			F	CHN	ERS3967702	ERR4757817	ERX4630967	ERP118359	PRJEB35321	NCBI	PAIRED	NextSeq_500	Qiagen_TissueLyser/GeneAll_Exgene		1094753020	7250020	151	151.0	151.0	151.0	4455	2	4	0	0	no	Niccolò_Carlino
