sample	LeechJ_2020__ERS3967745	LeechJ_2020__ERS3967744	LeechJ_2020__ERS3967743	LeechJ_2020__ERS3967742	LeechJ_2020__ERS3967741	LeechJ_2020__ERS3967740	LeechJ_2020__ERS3967739	LeechJ_2020__ERS3967738	LeechJ_2020__ERS3967737	LeechJ_2020__ERS3967736	LeechJ_2020__ERS3967735	LeechJ_2020__ERS3967734	LeechJ_2020__ERS3967733	LeechJ_2020__ERS3967732	LeechJ_2020__ERS3967731	LeechJ_2020__ERS3967730	LeechJ_2020__ERS3967729	LeechJ_2020__ERS3967728	LeechJ_2020__ERS3967727	LeechJ_2020__ERS3967726	LeechJ_2020__ERS3967725	LeechJ_2020__ERS3967724	LeechJ_2020__ERS3967723	LeechJ_2020__ERS3967722	LeechJ_2020__ERS3967721	LeechJ_2020__ERS3967720	LeechJ_2020__ERS3967719	LeechJ_2020__ERS3967718	LeechJ_2020__ERS3967717	LeechJ_2020__ERS3967716	LeechJ_2020__ERS3967715	LeechJ_2020__ERS3967714	LeechJ_2020__ERS3967713	LeechJ_2020__ERS3967712	LeechJ_2020__ERS3967711	LeechJ_2020__ERS3967710	LeechJ_2020__ERS3967709	LeechJ_2020__ERS3967708	LeechJ_2020__ERS3967707	LeechJ_2020__ERS3967706	LeechJ_2020__ERS3967705	LeechJ_2020__ERS3967704	LeechJ_2020__ERS3967703	LeechJ_2020__ERS3967702	LeechJ_2020__ERS3967701	LeechJ_2020__ERS3967700	LeechJ_2020__ERS3967699	LeechJ_2020__ERS3967698	LeechJ_2020__ERS3967697	LeechJ_2020__ERS3967696	LeechJ_2020__ERS3967695	LeechJ_2020__ERS3967694	LeechJ_2020__ERS3967693	LeechJ_2020__ERS3967692	LeechJ_2020__ERS3967691	LeechJ_2020__ERS3967690	LeechJ_2020__ERS3967689	LeechJ_2020__ERS3967688
macrocategory	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food
category	fermented_fruits_and_vegetables	fermented_beverages	dairy	fermented_fruits_and_vegetables	fermented_beverages	fermented_grains	fermented_beverages	fermented_beverages	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_tubers_and_roots	fermented_tubers_and_roots	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_beverages	fermented_beverages	dairy	dairy	alcohol	fermented_beverages	fermented_fruits_and_vegetables	dairy	dairy	dairy	dairy	fermented_beverages	fermented_beverages	fermented_beverages	fermented_beverages	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	alcohol	fermented_beverages	fermented_grains	fermented_grains	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_tubers_and_roots	fermented_legumes	fermented_beverages	dairy	fermented_fruits_and_vegetables	fermented_legumes	alcohol	fermented_beverages	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_tubers_and_roots	fermented_grains	fermented_fruits_and_vegetables	fermented_grains	dairy	dairy
type	kimchi	lemon_and_ginger_gizz	yogurt	carrot_sticks	water_kefir	kvass	water_kefir	tea	tomato_and_mustards	okra	daikon	ginger	dukkah	garlic	kimchi	kimchi	dilly_carrots	water_kefir	water_kefir	kefir	kefir	apple_cider_vinegar	tea	sauerkraut	ruza	rostagroekport_voroznyj	agousha	milk	tea	water_kefir	water_kefir	water_kefir	sauerkraut	kimchi	sauerkraut	sauerkraut	mead	water_kefir	kvass	brown_rice_amazake	raw_sauerkraut_and_juniper_berries	picked_vegetables	daikon	tofu_chili	water_kefir	kefir	cucumber	soybean	ginger_beer	tepache	sauerkraut	orange	turnip	boza	kimchi	kvass	cheese	cheese
subtype	scallion_kimchi		labne		water_kefir_coconut	beet_kvass	water_kefir_cherry	kombucha	tomato_and_mustards_seeds_in_2percent_brine	okra_in_2percent_brine	daikon_radish_in_2percent_brine	ginger_sliced_in_2percent_brine	dukkah_kraut	garlic_kraut		brussels_sprout_kimchi		water_kefir_pear_ginger_and_sugar	water_kefir_pear_ginger_and_honey	pasteurized_milk_kefir	raw_milk_kefir		kombucha					ryazhenka	kombucha_vinegar	water_kefir_ginger	water_kefir_lemon	water_kefir_hibiscus	golden_child		dill_dearg		honey_mead	water_kefir_fennel	beetroot_kvass						water_kefir	milk_kefir		tempeh	ginger	ananas					carrot_kimchi	rye_bread_and_sugar_kvass	wagashi	wagashi
country	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	RUS	RUS	RUS	RUS	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	JPN	IRL	CHN	CHN	CHN	GBR	GBR	GBR	GBR	GBR	MEX	DEU	GBR	GBR	GBR	GBR	RUS	BEN	BEN
source	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183|t__SGB15892	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii|t__SGB15888	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris|t__SGB15878_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_odontolytica|t__SGB23982	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis|t__SGB17278	0	0	0.04179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_aquikefiri|t__SGB17230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.47684	6.64886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
