dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
LeechJ_xxxx	AF01	food	fermented_grains	ogi	ogi_maize_maize		F	NGA	SAMN39472421	SRR27593241		SRP484221	PRJNA1052643	NCBI	PAIRED	NextSeq_500	PowerFecalPro		1038090470	7026214	75	151.0	146.9873621	151.0	1601	0	0	0	0	no	Niccolò_Carlino
LeechJ_xxxx	AF02	food	fermented_grains	ogi	ogi_baba_millet		F	NGA	SAMN39472422	SRR27593240		SRP484221	PRJNA1052643	NCBI	PAIRED	NextSeq_500	PowerFecalPro		1231449831	8318437	75	151.0	147.6597516	151.0	2146	0	0	0	0	no	Niccolò_Carlino
LeechJ_xxxx	AF03	food	fermented_tubers_and_roots	gari	cassava		F	NGA	SAMN39472423	SRR27593229		SRP484221	PRJNA1052643	NCBI	PAIRED	NextSeq_500	PowerFecalPro		1975352720	13228979	75	151.0	148.9407942	151.0	13430	2	1	0	0	no	Niccolò_Carlino
LeechJ_xxxx	AF04	food	fermented_tubers_and_roots	fufu	cassava		F	NGA	SAMN39472424	SRR27593218		SRP484221	PRJNA1052643	NCBI	PAIRED	NextSeq_500	PowerFecalPro		1056609778	7141555	75	151.0	147.5269711	151.0	5529	3	2	0	0	no	Niccolò_Carlino
LeechJ_xxxx	AF05	food	fermented_grains	kunu	millet		F	NGA	SAMN39472425	SRR27593207		SRP484221	PRJNA1052643	NCBI	PAIRED	NextSeq_500	PowerFecalPro		1187640585	8014772	75	151.0	147.822904	151.0	3872	0	1	0	0	no	Niccolò_Carlino
LeechJ_xxxx	AF06	food	fermented_seeds	iru	locust_bean		F	NGA	SAMN39472426	SRR27593196		SRP484221	PRJNA1052643	NCBI	PAIRED	NextSeq_500	PowerFecalPro		424777027	2896844	75	151.0	146.3880042	151.0	6913	4	1	0	0	no	Niccolò_Carlino
LeechJ_xxxx	AF07	food	alcohol	palm_wine	palm_tree		F	NGA	SAMN39472427	SRR27593185		SRP484221	PRJNA1052643	NCBI	PAIRED	NextSeq_500	PowerFecalPro		41705	285	80	150.0	147.7470449	151.0	0	0	0	0	0	yes	Niccolò_Carlino
LeechJ_xxxx	AF08	food	fermented_grains	ogi	ogi;koko_sorghum_sorghum		F	NGA	SAMN39472428	SRR27593170		SRP484221	PRJNA1052643	NCBI	PAIRED	NextSeq_500	PowerFecalPro		801942407	5628447	75	150.0	142.509442	151.0	2081	0	0	0	0	no	Niccolò_Carlino
LeechJ_xxxx	AF09	food	fermented_tubers_and_roots	ogiri	melon_seeds		F	NGA	SAMN39472429	SRR27593159		SRP484221	PRJNA1052643	NCBI	PAIRED	NextSeq_500	PowerFecalPro		903698259	6098078	75	151.0	147.5630922	151.0	6541	3	1	0	0	no	Niccolò_Carlino
LeechJ_xxxx	AF10	food	fermented_seeds	iru	locust_bean		F	NGA	SAMN39472430	SRR27593180		SRP484221	PRJNA1052643	NCBI	PAIRED	NextSeq_500	PowerFecalPro		1262006952	8469958	75	151.0	148.6873932	151.0	7291	4	0	0	0	no	Niccolò_Carlino
LeechJ_xxxx	AF11	food	fermented_seeds	ugba	pentaclehtra_macrophylla_oil_bean		F	NGA	SAMN39472431	SRR27593239		SRP484221	PRJNA1052643	NCBI	PAIRED	NextSeq_500	PowerFecalPro		1055251329	7066229	75	151.0	149.2567161	151.0	12501	2	2	1	1	no	Niccolò_Carlino
LeechJ_xxxx	AF12	food	fermented_grains	ogi	millet		F	NGA	SAMN39472432	SRR27593238		SRP484221	PRJNA1052643	NCBI	PAIRED	NextSeq_500	PowerFecalPro		562352122	3845818	75	151.0	145.4357675	151.0	2809	1	1	0	0	no	Niccolò_Carlino
LeechJ_xxxx	AF14	food	dairy	wara	milk		F	NGA	SAMN39472433	SRR27593237		SRP484221	PRJNA1052643	NCBI	PAIRED	NextSeq_500	PowerFecalPro		830127346	5564724	75	151.0	149.2072703	151.0	10210	0	4	2	1	no	Niccolò_Carlino
LeechJ_xxxx	AF15	food	fermented_tubers_and_roots	ogiri	melon_seeds		F	NGA	SAMN39472434	SRR27593236		SRP484221	PRJNA1052643	NCBI	PAIRED	NextSeq_500	PowerFecalPro		541348798	3638818	75	151.0	148.5025723	151.0	6666	3	3	0	0	no	Niccolò_Carlino
LeechJ_xxxx	AF16	food	fermented_tubers_and_roots	lafun	cassava		F	NGA	SAMN39472435	SRR27593235		SRP484221	PRJNA1052643	NCBI	PAIRED	NextSeq_500	PowerFecalPro		786421367	6057999	75	149.0	131.7085171	151.0	6892	1	2	0	0	no	Niccolò_Carlino
LeechJ_xxxx	AF17	food	alcohol	pito	millet		F	NGA	SAMN39472436	SRR27593234		SRP484221	PRJNA1052643	NCBI	PAIRED	NextSeq_500	PowerFecalPro		2881867570	19688260	75	151.0	145.9962997	151.0	6413	1	2	1	1	no	Niccolò_Carlino
