sample	LeechJ_xxxx__AF94	LeechJ_xxxx__AF93	LeechJ_xxxx__AF92	LeechJ_xxxx__AF91	LeechJ_xxxx__AF89	LeechJ_xxxx__AF88	LeechJ_xxxx__AF87	LeechJ_xxxx__AF86	LeechJ_xxxx__AF84	LeechJ_xxxx__AF83	LeechJ_xxxx__AF82	LeechJ_xxxx__AF81	LeechJ_xxxx__AF80	LeechJ_xxxx__AF78	LeechJ_xxxx__AF77	LeechJ_xxxx__AF76	LeechJ_xxxx__AF74	LeechJ_xxxx__AF73	LeechJ_xxxx__AF72	LeechJ_xxxx__AF71	LeechJ_xxxx__AF70	LeechJ_xxxx__AF69	LeechJ_xxxx__AF68	LeechJ_xxxx__AF67	LeechJ_xxxx__AF66	LeechJ_xxxx__AF65	LeechJ_xxxx__AF64	LeechJ_xxxx__AF63	LeechJ_xxxx__AF62	LeechJ_xxxx__AF61	LeechJ_xxxx__AF60	LeechJ_xxxx__AF59	LeechJ_xxxx__AF58	LeechJ_xxxx__AF57	LeechJ_xxxx__AF56	LeechJ_xxxx__AF55	LeechJ_xxxx__AF54	LeechJ_xxxx__AF53	LeechJ_xxxx__AF52	LeechJ_xxxx__AF51	LeechJ_xxxx__AF50	LeechJ_xxxx__AF49	LeechJ_xxxx__AF48	LeechJ_xxxx__AF47	LeechJ_xxxx__AF46	LeechJ_xxxx__AF45	LeechJ_xxxx__AF44	LeechJ_xxxx__AF43	LeechJ_xxxx__AF42	LeechJ_xxxx__AF41	LeechJ_xxxx__AF40	LeechJ_xxxx__AF39	LeechJ_xxxx__AF38	LeechJ_xxxx__AF37	LeechJ_xxxx__AF35	LeechJ_xxxx__AF34	LeechJ_xxxx__AF33	LeechJ_xxxx__AF32	LeechJ_xxxx__AF31	LeechJ_xxxx__AF30	LeechJ_xxxx__AF29	LeechJ_xxxx__AF28	LeechJ_xxxx__AF27	LeechJ_xxxx__AF26	LeechJ_xxxx__AF25	LeechJ_xxxx__AF24	LeechJ_xxxx__AF23	LeechJ_xxxx__AF22	LeechJ_xxxx__AF21	LeechJ_xxxx__AF20	LeechJ_xxxx__AF19	LeechJ_xxxx__AF18	LeechJ_xxxx__AF17	LeechJ_xxxx__AF16	LeechJ_xxxx__AF15	LeechJ_xxxx__AF14	LeechJ_xxxx__AF12	LeechJ_xxxx__AF11	LeechJ_xxxx__AF10	LeechJ_xxxx__AF09	LeechJ_xxxx__AF08	LeechJ_xxxx__AF06	LeechJ_xxxx__AF05	LeechJ_xxxx__AF04	LeechJ_xxxx__AF03	LeechJ_xxxx__AF02	LeechJ_xxxx__AF01
macrocategory	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food
category	fermented_grains	dairy	fermented_grains	alcohol	fermented_tubers_and_roots	fermented_grains	fermented_grains	fermented_grains	fermented_tubers_and_roots	fermented_seeds	fermented_tubers_and_roots	fermented_tubers_and_roots	fermented_seeds	fermented_grains	alcohol	fermented_grains	fermented_grains	fermented_grains	fermented_grains	fermented_tubers_and_roots	fermented_tubers_and_roots	fermented_tubers_and_roots	alcohol	alcohol	fermented_grains	dairy	dairy	fermented_tubers_and_roots	fermented_grains	fermented_grains	fermented_grains	fermented_seeds	fermented_seeds	fermented_tubers_and_roots	fermented_seeds	alcohol	fermented_tubers_and_roots	fermented_tubers_and_roots	fermented_seeds	fermented_tubers_and_roots	fermented_grains	dairy	fermented_seeds	fermented_seeds	fermented_grains	fermented_tubers_and_roots	fermented_tubers_and_roots	fermented_seeds	dairy	fermented_grains	alcohol	alcohol	fermented_grains	fermented_grains	fermented_grains	dairy	fermented_grains	alcohol	alcohol	dairy	fermented_grains	alcohol	dairy	fermented_grains	fermented_tubers_and_roots	fermented_seeds	alcohol	dairy	alcohol	fermented_grains	alcohol	fermented_grains	alcohol	fermented_tubers_and_roots	fermented_tubers_and_roots	dairy	fermented_grains	fermented_seeds	fermented_seeds	fermented_tubers_and_roots	fermented_grains	fermented_seeds	fermented_grains	fermented_tubers_and_roots	fermented_tubers_and_roots	fermented_grains	fermented_grains
type	kunu	nono	kunu	palm_wine	fufu	ogi	ogi	kunu	gari	iru	attieke	mou	soumbala	massa	dolo	ugi	ugi	ugi	agadagidi	fufu	lafun	gari	sekete	burukutu	obiolor	wara	nunu	otiru	koko	ogi	ogi	ugba	okpehe	ogiri	iru	palm_wine	gari	lafun	iru	fufu	ogi	fura	iru	okpehe	ogi	ogiri	gari	ugba	wara	otika	burukutu	emu	agadagidi	ogi	ogi	nono	kunu	pito	burukutu	brukina	zonkom	pito	wagashi	zonkom	kantong	dawa_dawa	palm_wine	nono	palm_wine	kunu	palm_wine	otika	pito	lafun	ogiri	wara	ogi	ugba	iru	ogiri	ogi	iru	kunu	fufu	gari	ogi	ogi
subtype	millet	milk	millet	palm_sap	cassava	ogi_baba_sorghum	ogi_yellow_maize	millet	cassava	parkia_biglobosa_seeds	cassava	cassava	parkia_biglobosa_seeds	millet	red_sorghum	finger_millet_and_pearl_millet	sorghum_and_pearl_millet	finger_millet	ripe_plantain	cassava	cassava	cassava	malted_maize_zea_mays	fermented_malted_sorghum	fermented_malted_millet_and_sorghum	soft_cheese_cow_milk	fermented_cow_milk	sphenostylis_stenocarpa	pearl_millet	ogi_baba_sorghum_bicolor	ogi_maize_zea_mays	pentaclehtra_macrophylla_oil_bean	prosopis_africana	citrullus_vulgaris	parkia_biglobosa_seeds	palm_sap	cassava	cassava	iru_woro;locust_bean	cassava	millet	milk	iru_pete;locust_bean	ceiba_pentandra	sorghum	cassava	cassava	pentaclehtra_macrophylla_oil_bean	milk	millet	fermented_malted_sorghum	palm_tree	millet	ogi_white_millet	millet	milk	millet	frafra_pito_millet	fermented_malted_sorghum	millet_fresh_cow_milk_or_milk_powder_unsweetened_yoghurt_salt_water_and_sugar	white_millet_sugar_clove_pepper_corn_ginger_pepper	dagati_pito_millet_and_yolega	full_fat_milk_whole_milk_white_vinegar_salt	red_millet_sugar_clove_pepper_corn_ginger_pepper	ceiba_pentandra_seeds_and_cassava_flour	locust_bean	palm_tree	milk	palm_tree	kunun-zaki_millet	palm_tree	millet	millet	cassava	melon_seeds	milk	millet	pentaclehtra_macrophylla_oil_bean	locust_bean	melon_seeds	ogi;koko_sorghum_sorghum	locust_bean	millet	cassava	cassava	ogi_baba_millet	ogi_maize_maize
country	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	BFA	BFA	BFA	BFA	BFA	KEN	KEN	KEN	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	GHA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA	NGA
source	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Rathayibacter|s__Rathayibacter_sp_AY1A1|t__SGB23914	0	0	0	0	0	0	0	0	0.12176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_SGB33761|t__SGB33761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00398	0	0	0	0	0	0	0	0	0	0.01688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Flaviflexus|s__Flaviflexus_ciconiae|t__SGB33736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_crudilactis|t__SGB33632	0	0	0	0	0.18763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
