clade_name	LeonardSR_2015__SRR2177250	LeonardSR_2015__SRR2177251	LeonardSR_2015__SRR2177280	LeonardSR_2015__SRR2177281	LeonardSR_2015__SRR2177282	LeonardSR_2015__SRR2177283	LeonardSR_2015__SRR2177284	LeonardSR_2015__SRR2177285	LeonardSR_2015__SRR2177286	LeonardSR_2015__SRR2177287	LeonardSR_2015__SRR2177288	LeonardSR_2015__SRR2177357	LeonardSR_2015__SRR2177358	LeonardSR_2015__SRR2177359	LeonardSR_2015__SRR2177360	LeonardSR_2015__SRR2177361
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_agglomerans|t__SGB10187	19.91204	4.44913	46.15347	0.5638	2.42348	3.8102	0.91327	2.64563	1.90222	24.49851	34.4756	45.15763	49.19906	73.41572	11.14541	24.85337
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Exiguobacterium|s__Exiguobacterium_indicum|t__SGB8326_group	14.92587	0.60281	0.0	0.0	0.3565	0.0	0.0	0.00762	1.26281	0.57242	0.00803	0.03247	0.0	0.0	1.31141	3.15256
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas|s__Aeromonas_salmonicida|t__SGB9951	7.97124	0.0	0.64465	0.0	0.0	0.0	0.0	0.0	0.0	0.06356	5.53382	2.66518	1.84471	0.0	23.85045	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_fragi|t__SGB12106	7.00197	0.50844	8.38754	11.49107	0.0	17.10335	13.07229	0.0	0.12892	1.60912	1.80156	0.45173	1.10854	0.0	0.16015	0.06203
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_psychrophila|t__SGB12110	4.17709	0.0	0.28617	0.25427	0.0	0.71555	9.97682	0.0	0.0	0.0	0.03014	0.20018	0.00971	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Exiguobacterium|s__Exiguobacterium_artemiae|t__SGB8330	3.87001	21.41831	2.31327	0.89271	0.0	0.06711	0.0	0.0	0.0	15.12493	4.40562	2.21412	0.95917	0.56741	4.76202	2.30097
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_sp_NKUCC02_KPG|t__SGB99153	2.88715	0.0	0.02764	0.5821	0.0	0.32121	6.75945	0.0	0.00143	0.49521	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_taetrolens|t__SGB12103	2.87012	0.0	0.13975	0.24213	0.0	0.41013	5.58537	0.0	0.0	0.0	0.04565	0.0399	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__SGB10068	2.73415	1.08106	9.55155	1.39415	55.30726	3.98994	0.3157	54.52117	68.79986	1.88389	4.08724	2.68311	0.97931	0.36937	0.62885	0.44444
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_kulmbachensis|t__SGB89060	2.48695	0.0	0.0	0.10332	0.0	0.0	4.69643	0.0	0.0	0.61229	0.07186	0.0	0.9231	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_sivasensis|t__SGB12132	2.19918	0.09199	0.0	1.11895	0.0	0.03021	8.07114	0.0	0.0	0.06925	0.41401	0.43749	0.1993	0.02872	0.11657	0.01779
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Exiguobacterium|s__Exiguobacterium_acetylicum|t__SGB8325	2.0408	0.14961	0.04496	0.0	0.0	0.0	0.0	0.0	0.94729	0.16813	0.0	0.01098	0.0	0.0	0.36897	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_fluorescens|t__SGB12213	1.93226	0.00735	0.0	0.41296	0.0	0.0	5.806	0.0	0.0	0.01786	0.0	0.0	0.0	0.05494	0.0	0.01018
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_viridiflava|t__SGB12125	1.56934	1.7482	1.65724	8.26967	0.0	2.02187	4.30725	0.0	0.0	0.77391	1.30848	0.95243	1.06394	2.94484	0.46379	1.86921
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Yersinia|s__Yersinia_enterocolitica|t__SGB10220	1.35734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_poae|t__SGB12123	1.34901	1.0371	10.60595	12.61722	0.0	35.34964	2.65345	0.0	0.0	0.77459	2.45888	2.68676	1.85639	3.21959	0.6073	1.43483
