dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
LeonardSR_2016	SRS1659769	food	fruits_and_vegetables	spinach	spinach_spiked_with_stec		NF	USA	SRS1659769	SRR4101301;SRR4101290;SRR4101289	SRX2068895;SRX2068884;SRX2068883	SRP083779	PRJNA340876	NCBI	PAIRED	Illumina_MiSeq	DNeasy_Blood_and_Tissue_Kit	2015	1734732898	7944608	35	249.0	218.3534918	250.0	8536	1	1	0	0	no	Niccolò_Carlino
LeonardSR_2016	SRS1659770	food	fruits_and_vegetables	spinach	spinach_spiked_with_stec		NF	USA	SRS1659770	SRR4101324;SRR4101292;SRR4101291	SRX2068918;SRX2068886;SRX2068885	SRP083779	PRJNA340876	NCBI	PAIRED	Illumina_MiSeq	DNeasy_Blood_and_Tissue_Kit	2015	1350864891	6218726	35	249.0	217.2253434	250.0	13395	0	0	0	0	no	Niccolò_Carlino
LeonardSR_2016	SRS1659771	food	fruits_and_vegetables	spinach	spinach_spiked_with_stec		NF	USA	SRS1659771	SRR4101295;SRR4101294;SRR4101293	SRX2068889;SRX2068888;SRX2068887	SRP083779	PRJNA340876	NCBI	PAIRED	Illumina_MiSeq	DNeasy_Blood_and_Tissue_Kit	2015	1737229711	8051688	35	249.0	215.7596905	250.0	12950	1	0	0	0	no	Niccolò_Carlino
LeonardSR_2016	SRS1659772	food	fruits_and_vegetables	spinach	spinach_spiked_with_stec		NF	USA	SRS1659772	SRR4101298;SRR4101297;SRR4101296	SRX2068892;SRX2068891;SRX2068890	SRP083779	PRJNA340876	NCBI	PAIRED	Illumina_MiSeq	DNeasy_Blood_and_Tissue_Kit	2015	1111386673	4959444	35	249.0	224.0950141	250.0	7144	0	0	0	0	no	Niccolò_Carlino
LeonardSR_2016	SRS1659773	food	fruits_and_vegetables	spinach	spinach_spiked_with_stec		NF	USA	SRS1659773	SRR4101302;SRR4101300;SRR4101299	SRX2068896;SRX2068894;SRX2068893	SRP083779	PRJNA340876	NCBI	PAIRED	Illumina_MiSeq	DNeasy_Blood_and_Tissue_Kit	2015	1732163763	7944710	35	249.0	218.0273116	250.0	15135	0	0	0	0	no	Niccolò_Carlino
LeonardSR_2016	SRS1659774	food	fruits_and_vegetables	spinach	spinach_spiked_with_stec		NF	USA	SRS1659774	SRR4101305;SRR4101304;SRR4101303	SRX2068899;SRX2068898;SRX2068897	SRP083779	PRJNA340876	NCBI	PAIRED	Illumina_MiSeq	DNeasy_Blood_and_Tissue_Kit	2015	1383641640	6213646	35	249.0	222.6778996	250.0	13505	1	0	0	0	no	Niccolò_Carlino
LeonardSR_2016	SRS1659775	food	fruits_and_vegetables	spinach	spinach_spiked_with_stec		NF	USA	SRS1659775	SRR4101308;SRR4101307;SRR4101306	SRX2068902;SRX2068901;SRX2068900	SRP083779	PRJNA340876	NCBI	PAIRED	Illumina_MiSeq	DNeasy_Blood_and_Tissue_Kit	2015	1685656528	8346022	35	249.0	201.9712539	250.0	4660	2	0	0	0	no	Niccolò_Carlino
LeonardSR_2016	SRS1659776	food	fruits_and_vegetables	spinach	spinach_spiked_with_stec		NF	USA	SRS1659776	SRR4101311;SRR4101310;SRR4101309	SRX2068905;SRX2068904;SRX2068903	SRP083779	PRJNA340876	NCBI	PAIRED	Illumina_MiSeq	DNeasy_Blood_and_Tissue_Kit	2015	1886924531	8788328	35	249.0	214.7080231	250.0	10444	1	0	0	0	no	Niccolò_Carlino
LeonardSR_2016	SRS1659777	food	fruits_and_vegetables	spinach	spinach_spiked_with_stec		NF	USA	SRS1659777	SRR4101320;SRR4101319;SRR4101312	SRX2068914;SRX2068913;SRX2068906	SRP083779	PRJNA340876	NCBI	PAIRED	Illumina_MiSeq	DNeasy_Blood_and_Tissue_Kit	2015	1705017528	7952442	35	249.0	214.4017558	250.0	7867	0	0	0	0	no	Niccolò_Carlino
LeonardSR_2016	SRS1659778	food	fruits_and_vegetables	spinach	spinach_spiked_with_stec		NF	USA	SRS1659778	SRR4101315;SRR4101314;SRR4101313	SRX2068909;SRX2068908;SRX2068907	SRP083779	PRJNA340876	NCBI	PAIRED	Illumina_MiSeq	DNeasy_Blood_and_Tissue_Kit	2015	1254841904	5521080	35	249.0	227.2819637	250.0	11364	1	0	0	0	no	Niccolò_Carlino
LeonardSR_2016	SRS1659779	food	fruits_and_vegetables	spinach	spinach_spiked_with_stec		NF	USA	SRS1659779	SRR4101318;SRR4101317;SRR4101316	SRX2068912;SRX2068911;SRX2068910	SRP083779	PRJNA340876	NCBI	PAIRED	Illumina_MiSeq	DNeasy_Blood_and_Tissue_Kit	2015	1571937953	6974484	35	249.0	225.384122	250.0	14136	1	0	0	0	no	Niccolò_Carlino
LeonardSR_2016	SRS1659780	food	fruits_and_vegetables	spinach	spinach_spiked_with_stec		NF	USA	SRS1659780	SRR4101323;SRR4101322;SRR4101321	SRX2068917;SRX2068916;SRX2068915	SRP083779	PRJNA340876	NCBI	PAIRED	Illumina_MiSeq	DNeasy_Blood_and_Tissue_Kit	2015	1602049849	7283970	35	249.0	219.9418516	250.0	13289	0	0	0	0	no	Niccolò_Carlino
