dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
LimaC_2020	SRR9640343	food	fermented_seeds	cocoa_beans	chocolate_starter		F	BRA	SAMN12211018	SRR9640343	SRX6402308	SRP212872	PRJNA552479	NCBI	PAIRED	Illumina_HiSeq_XTen	other	2015-11-15T12:00:00Z	6440067910	43211325	75	150.0	148.490478	150.0	66725	3	2	1	1	no	Hrituraj_Dey
LimaC_2020	SRR9640344	food	fermented_seeds	cocoa_beans	chocolate_starter		F	BRA	SAMN12211026	SRR9640344	SRX6402307	SRP212872	PRJNA552479	NCBI	PAIRED	Illumina_HiSeq_XTen	other	2015-11-19T12:00:00Z	6294441993	42169710	75	150.0	147.936664	150.0	24355	5	1	1	0	no	Hrituraj_Dey
LimaC_2020	SRR9640345	food	fermented_seeds	cocoa_beans	chocolate_starter		F	BRA	SAMN12211025	SRR9640345	SRX6402306	SRP212872	PRJNA552479	NCBI	PAIRED	Illumina_HiSeq_XTen	other	2015-11-19T12:00:00Z	5490934801	36874127	75	150.0	145.402595	150.0	13295	4	1	0	0	no	Hrituraj_Dey
LimaC_2020	SRR9640346	food	fermented_seeds	cocoa_beans	chocolate_starter		F	BRA	SAMN12211017	SRR9640346	SRX6402305	SRP212872	PRJNA552479	NCBI	PAIRED	Illumina_HiSeq_XTen	other	2015-11-15T12:00:00Z	5756245458	38792447	75	150.0	145.777123	150.0	74936	5	0	2	2	no	Hrituraj_Dey
LimaC_2020	SRR9640347	food	fermented_seeds	cocoa_beans	chocolate_starter		F	BRA	SAMN12211028	SRR9640347	SRX6402304	SRP212872	PRJNA552479	NCBI	PAIRED	Illumina_HiSeq_XTen	other	2015-11-21T12:00:00Z	6623602468	44520733	75	150.0	145.980065	150.0	15649	1	2	1	0	no	Hrituraj_Dey
LimaC_2020	SRR9640348	food	fermented_seeds	cocoa_beans	chocolate_starter		F	BRA	SAMN12211027	SRR9640348	SRX6402303	SRP212872	PRJNA552479	NCBI	PAIRED	Illumina_HiSeq_XTen	other	2015-11-21T12:00:00Z	9729979114	65246758	75	150.0	147.640798	150.0	10313	4	1	1	0	no	Hrituraj_Dey
LimaC_2020	SRR9640350	food	fermented_seeds	cocoa_beans	chocolate_starter		F	BRA	SAMN12211029	SRR9640350	SRX6402301	SRP212872	PRJNA552479	NCBI	PAIRED	Illumina_HiSeq_XTen	other	2015-11-22T12:00:00Z	7765490960	52090653	75	150.0	148.350383	150.0	10652	4	2	0	0	no	Hrituraj_Dey
LimaC_2020	SRR9640351	food	fermented_seeds	cocoa_beans	chocolate_starter		F	BRA	SAMN12211024	SRR9640351	SRX6402300	SRP212872	PRJNA552479	NCBI	PAIRED	Illumina_HiSeq_XTen	other	2015-11-18T12:00:00Z	6742068227	45217130	75	150.0	147.418403	150.0	22197	4	2	0	0	no	Hrituraj_Dey
LimaC_2020	SRR9640352	food	fermented_seeds	cocoa_beans	chocolate_starter		F	BRA	SAMN12211023	SRR9640352	SRX6402299	SRP212872	PRJNA552479	NCBI	PAIRED	Illumina_HiSeq_XTen	other	2015-11-18T12:00:00Z	7031848920	47175028	75	150.0	147.372144	150.0	17371	1	5	0	0	no	Hrituraj_Dey
LimaC_2020	SRR9640353	food	fermented_seeds	cocoa_beans	chocolate_starter		F	BRA	SAMN12211022	SRR9640353	SRX6402298	SRP212872	PRJNA552479	NCBI	PAIRED	Illumina_HiSeq_XTen	other	2015-11-17T12:00:00Z	6303175413	42260521	75	150.0	147.73023	150.0	67250	2	4	2	0	no	Hrituraj_Dey
LimaC_2020	SRR9640354	food	fermented_seeds	cocoa_beans	chocolate_starter		F	BRA	SAMN12211021	SRR9640354	SRX6402297	SRP212872	PRJNA552479	NCBI	PAIRED	Illumina_HiSeq_XTen	other	2015-11-17T12:00:00Z	5074149331	34221482	75	150.0	145.140551	150.0	46938	5	2	1	0	no	Hrituraj_Dey
LimaC_2020	SRR9640355	food	fermented_seeds	cocoa_beans	chocolate_starter		F	BRA	SAMN12211020	SRR9640355	SRX6402296	SRP212872	PRJNA552479	NCBI	PAIRED	Illumina_HiSeq_XTen	other	2015-11-16T12:00:00Z	5582215272	37744833	75	150.0	146.546153	150.0	53849	8	4	0	0	no	Hrituraj_Dey
LimaC_2020	SRR9640356	food	fermented_seeds	cocoa_beans	chocolate_starter		F	BRA	SAMN12211019	SRR9640356	SRX6402295	SRP212872	PRJNA552479	NCBI	PAIRED	Illumina_HiSeq_XTen	other	2015-11-16T12:00:00Z	6443642366	43223574	75	150.0	148.237329	150.0	54661	3	2	1	1	no	Hrituraj_Dey
LimaC_2020	SRR9646966	food	fermented_seeds	cocoa_beans	chocolate_starter		F	BRA	SAMN12211030	SRR9646966	SRX6408541	SRP212872	PRJNA552479	NCBI	PAIRED	Illumina_HiSeq_XTen	other	2015-11-22T12:00:00Z	6457870549	43319842	75	150.0	146.334485	150.0	15899	3	1	1	0	no	Hrituraj_Dey
