sample	MASTER_WP4_CSIC_1__P2134_73322	MASTER_WP4_CSIC_1__P2135_73322	MASTER_WP4_CSIC_1__P2136_73322	MASTER_WP4_CSIC_1__P2137_73322	MASTER_WP4_CSIC_1__P2138_73322	MASTER_WP4_CSIC_1__P2139_73322	MASTER_WP4_CSIC_1__P2141_73322	MASTER_WP4_CSIC_1__P2142_73322	MASTER_WP4_CSIC_1__P2143_73322	MASTER_WP4_CSIC_1__P2144_73322	MASTER_WP4_CSIC_1__P2145_73322	MASTER_WP4_CSIC_1__P2146_73322	MASTER_WP4_CSIC_1__P2147_73322	MASTER_WP4_CSIC_1__P2149_73322	MASTER_WP4_CSIC_1__P2151_73322	MASTER_WP4_CSIC_1__P2152_73322	MASTER_WP4_CSIC_1__P2153_73322	MASTER_WP4_CSIC_1__P2154_73322	MASTER_WP4_CSIC_1__P2155_73322	MASTER_WP4_CSIC_1__P2156_73322	MASTER_WP4_CSIC_1__P2157_73322	MASTER_WP4_CSIC_1__P2158_73322	MASTER_WP4_CSIC_1__P2160_73322	MASTER_WP4_CSIC_1__P2161_73322	MASTER_WP4_CSIC_1__P2162_73322	MASTER_WP4_CSIC_1__P2163_73322	MASTER_WP4_CSIC_1__P2164_73322	MASTER_WP4_CSIC_1__P2165_73322	MASTER_WP4_CSIC_1__P2166_73322	MASTER_WP4_CSIC_1__P2167_73322	MASTER_WP4_CSIC_1__P2168_73322	MASTER_WP4_CSIC_1__P2169_73322	MASTER_WP4_CSIC_1__P2170_73322	MASTER_WP4_CSIC_1__P2171_73322	MASTER_WP4_CSIC_1__P2172_73322	MASTER_WP4_CSIC_1__P2173_73322	MASTER_WP4_CSIC_1__P2174_73322	MASTER_WP4_CSIC_1__P2175_73322	MASTER_WP4_CSIC_1__P2176_73322	MASTER_WP4_CSIC_1__P2177_73322	MASTER_WP4_CSIC_1__P2178_73322	MASTER_WP4_CSIC_1__P2179_73322	MASTER_WP4_CSIC_1__P2180_73322	MASTER_WP4_CSIC_1__P2181_73322	MASTER_WP4_CSIC_1__P2182_73322	MASTER_WP4_CSIC_1__P2183_73322	MASTER_WP4_CSIC_1__P2184_73322	MASTER_WP4_CSIC_1__P2185_73322	MASTER_WP4_CSIC_1__P2186_73322	MASTER_WP4_CSIC_1__P2187_73322	MASTER_WP4_CSIC_1__P2188_73322	MASTER_WP4_CSIC_1__P2189_73322	MASTER_WP4_CSIC_1__P2190_73322	MASTER_WP4_CSIC_1__P2191_73322	MASTER_WP4_CSIC_1__P2192_73323	MASTER_WP4_CSIC_1__P2193_73323	MASTER_WP4_CSIC_1__P2194_73323	MASTER_WP4_CSIC_1__P2195_73323	MASTER_WP4_CSIC_1__P2196_73323	MASTER_WP4_CSIC_1__P2197_73323	MASTER_WP4_CSIC_1__P2198_73323	MASTER_WP4_CSIC_1__P2199_73323	MASTER_WP4_CSIC_1__P2201_73323	MASTER_WP4_CSIC_1__P2202_73323	MASTER_WP4_CSIC_1__P2203_73323	MASTER_WP4_CSIC_1__P2204_73323	MASTER_WP4_CSIC_1__P2205_73323	MASTER_WP4_CSIC_1__P2206_73323	MASTER_WP4_CSIC_1__P2207_73323	MASTER_WP4_CSIC_1__P2208_73323	MASTER_WP4_CSIC_1__P2209_73323	MASTER_WP4_CSIC_1__P2210_73323	MASTER_WP4_CSIC_1__P2211_73323	MASTER_WP4_CSIC_1__P2212_73323	MASTER_WP4_CSIC_1__P2213_73323	MASTER_WP4_CSIC_1__P2214_73323	MASTER_WP4_CSIC_1__P2215_73323	MASTER_WP4_CSIC_1__P2216_73323	MASTER_WP4_CSIC_1__P2217_73323	MASTER_WP4_CSIC_1__P2218_73323	MASTER_WP4_CSIC_1__P2219_73323	MASTER_WP4_CSIC_1__P2220_73323	MASTER_WP4_CSIC_1__P2221_73323	MASTER_WP4_CSIC_1__P2222_73323	MASTER_WP4_CSIC_1__P2223_73323	MASTER_WP4_CSIC_1__P2224_73323	MASTER_WP4_CSIC_1__P2225_73323	MASTER_WP4_CSIC_1__P2226_73323	MASTER_WP4_CSIC_1__P2227_73323	MASTER_WP4_CSIC_1__P2228_73323	MASTER_WP4_CSIC_1__P2229_73323	MASTER_WP4_CSIC_1__P2230_73323	MASTER_WP4_CSIC_1__P2231_73323	MASTER_WP4_CSIC_1__P2232_73323	MASTER_WP4_CSIC_1__P2233_73323	MASTER_WP4_CSIC_1__P2234_73323	MASTER_WP4_CSIC_1__P2235_73323	MASTER_WP4_CSIC_1__P2236_73323	MASTER_WP4_CSIC_1__P2237_73323	MASTER_WP4_CSIC_1__P2238_73323	MASTER_WP4_CSIC_1__P2239_73323	MASTER_WP4_CSIC_1__P2240_73323	MASTER_WP4_CSIC_1__P2241_73323	MASTER_WP4_CSIC_1__P2242_73323	MASTER_WP4_CSIC_1__P2243_73323	MASTER_WP4_CSIC_1__P2244_73323	MASTER_WP4_CSIC_1__P2245_73323	MASTER_WP4_CSIC_1__P2246_73323	MASTER_WP4_CSIC_1__P2247_73323	MASTER_WP4_CSIC_1__P2248_73323	MASTER_WP4_CSIC_1__P2249_73323	MASTER_WP4_CSIC_1__P2250_73323	MASTER_WP4_CSIC_1__P2_200_75211
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_cremoris|t__SGB7984	0.10474	0.06896	1.22759	0.99844	0.03865	0.24206	0.17039	8.59968	7.70782	22.42249	17.15704	31.48147	28.87505	42.31991	0.0	66.62156	48.41519	54.98088	49.6782	56.47186	11.13171	26.11509	21.45424	0.0	11.70553	1.53581	12.72293	5.30034	8.81766	1.13968	6.30881	2.79702	0.67226	0.33841	33.60173	14.49617	13.30275	13.25985	13.62062	22.44174	16.07967	20.17683	17.03327	0.0	54.78698	36.64331	35.33141	37.67074	35.00601	43.41201	25.0433	34.73814	22.92979	0.0	15.93836	11.72176	10.60578	9.77502	9.02052	12.22615	12.1256	12.29001	0.0	35.03171	19.09179	19.46075	19.63361	21.814	25.48644	26.02163	26.02341	25.32523	0.0	39.21356	19.91725	19.31512	20.23833	20.39632	5.48821	11.77206	5.74479	13.07692	0.0	15.69225	27.44059	26.38147	27.24526	23.58888	3.75377	6.88691	3.75345	6.59614	0.0	0.0	0.02941	0.05533	0.04191	0.03783	0.0	0.02186	0.0	0.02157	0.44197	87.06863	27.14422	76.46164	42.59748	68.35062	0.1546	32.97556	1.27212	36.63038	10.36671
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__SGB7985	0.09794	0.04538	1.4517	10.77685	0.08121	0.08201	0.01934	22.66635	3.85696	8.51647	5.49305	8.74363	2.41074	3.42855	0.0	15.21905	27.34578	29.04237	30.3228	29.01117	8.11109	7.49506	4.74786	0.82478	59.85372	97.53329	86.26971	92.18771	89.67355	95.16129	92.88668	96.51058	97.95694	6.57713	55.83107	70.71247	69.18009	67.0577	67.60405	64.74608	63.03093	67.69158	58.92209	0.02855	43.72421	62.64061	64.02851	61.48775	64.25384	46.30831	72.80739	63.52645	74.16844	0.61235	77.37494	76.0754	75.61635	76.37759	75.76989	79.972	65.88219	76.10141	0.0	53.62863	69.55157	70.23919	69.75794	67.92277	64.4459	59.31189	65.45406	63.19284	0.0	53.37662	62.67787	62.01328	65.41517	64.25552	21.97798	57.91757	28.93514	61.7964	0.0	77.72213	54.45701	52.19964	59.21683	55.06445	48.7666	38.65969	48.80913	47.65309	0.0	8.03359	77.96848	91.43094	80.94326	89.48201	6.01155	55.92971	3.66148	44.64704	0.20578	1.47827	6.04825	6.70022	8.67948	7.93066	43.33525	1.3148	0.10527	3.54385	72.07812
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_falkenbergense|t__SGB7124	0.0	0.0001	0.0	0.01309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.53068	19.76163	13.51549	15.93388	12.3534	49.1532	53.67335	61.96219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04277	0.34146	0.43046	0.24157	0.34838	1.11668	1.92032	1.08033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0073	0.00498	0.00829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01969	0.09381	0.01838	0.05379	0.0	0.08249	0.0	0.0077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.12972
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Paucilactobacillus|s__Paucilactobacillus_nenjiangensis|t__SGB49082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.69738	2.0742	2.64768	8.84025	0.0	2.78228	1.7747	3.4765	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_laudensis|t__SGB7991	0.0	0.0	0.0	0.0	0.0	0.0	1.08867	0.00467	0.01764	0.00664	0.02076	0.00107	0.0	0.0	0.0	1.11375	1.22139	0.72735	1.01072	0.68438	1.91989	1.40246	0.78971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5678	1.89598	0.3187	1.55478	1.04618	0.69582	0.0	0.1862	0.0	0.10712	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_mesenteroides|t__SGB7126	0.0	0.0	0.0	0.0	0.0	0.0	0.1801	0.00874	0.00544	0.0	0.00777	0.00101	2.37192	4.15626	0.0	2.49814	3.06211	1.73254	1.97731	1.4792	17.14364	11.30294	11.02142	0.0	0.0	0.0	0.0	0.0	0.0	0.2597	0.00152	0.04791	0.02703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26432	0.0	0.00633	0.00915	0.00379	0.00494	0.00498	0.01161	0.00771	0.00813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00158	0.0	0.0	0.0	0.0	0.10908	0.04428	0.13748	0.04909	0.0	0.0	0.00308	0.01026	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_sp_239c|t__SGB16641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00969	0.0	0.00936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03994	0.0	0.00183	0.00562	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_hormaechei|t__SGB10130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06746	0.33902	0.32495	0.54748	0.35944	0.03651	0.02235	0.02599	0.20454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_equorum|t__SGB7843	16.74496	0.0	0.50115	0.87474	0.0038	0.00207	0.0	0.0	0.0	0.0	0.00088	0.0	1.6735	2.38041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44831	0.0	0.00529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06483	0.0	0.08304	0.0	0.0	0.0	0.03176	0.0	0.05006	0.00641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.30434	0.0	1.37653	0.0491	0.0	0.0	0.0	0.0	0.0	0.0	0.00019	0.0	0.01888	0.0	0.0	0.04788	0.0	0.0	0.0	0.0	3.49595	0.11648	2.28738	0.63056	0.0	0.0	0.03509	0.0	1.67609	0.0	13.1715	0.0	0.25868	0.4897	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium_alimentarium|t__SGB16653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2516	9e-05	0.49637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.50574	0.0	0.07223	0.01294	0.0
