dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
MASTER_WP4_CSIC_2	P2476	food	dairy	milk	raw_milk		NF	ESP	SAMN36689866	SRR25394876		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		14035887589	95852237	75	150.0	146.9039736	151.0	325138	0	1	0	0	no	Niccolò_Carlino
MASTER_WP4_CSIC_2	P2477	food	dairy	whey	whey		F	ESP	SAMN36689867	SRR25394849		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		5091463809	34173213	75	151.0	146.3974663	151.0	2416	0	1	0	0	no	Niccolò_Carlino
MASTER_WP4_CSIC_2	P2478	food	dairy	cheese	cheese_1_before_ripening;rind		F	ESP	SAMN36690049	SRR25394919		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		10656742988	71482033	75	151.0	146.9166174	151.0	3125	3	1	0	0	no	Niccolò_Carlino
MASTER_WP4_CSIC_2	P2479	food	dairy	cheese	cheese_1_before_ripening;interior		F	ESP	SAMN36690050	SRR25394918		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		11081391707	74586836	75	151.0	146.1726532	151.0	3185	3	1	0	0	no	Niccolò_Carlino
MASTER_WP4_CSIC_2	P2480	food	dairy	cheese	cheese_2_before_ripening;rind		F	ESP	SAMN36690051	SRR25394917		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		12098938743	81259042	75	151.0	146.4101585	151.0	3040	1	2	0	0	no	Niccolò_Carlino
MASTER_WP4_CSIC_2	P2481	food	dairy	cheese	cheese_2_before_ripening;interior		F	ESP	SAMN36690052	SRR25394916		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		3611674093	24645065	75	150.0	144.6225921	151.0	4251	2	1	0	0	no	Niccolò_Carlino
MASTER_WP4_CSIC_2	P2482	food	dairy	cheese	cheese_1_after_ripening;rind		F	ESP	SAMN36690354	SRR25394831		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		2817665290	19460346	75	150.0	141.5934291	151.0	4030	1	1	0	0	no	Niccolò_Carlino
MASTER_WP4_CSIC_2	P2483	food	dairy	cheese	cheese_1_after_ripening;interior		F	ESP	SAMN36690355	SRR25394830		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		5918841695	40834223	75	150.0	142.2442888	151.0	4080	3	1	0	0	no	Niccolò_Carlino
MASTER_WP4_CSIC_2	P2484	food	dairy	cheese	cheese_2_after_ripening;rind		F	ESP	SAMN36690356	SRR25394829		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		3478180525	23982162	75	150.0	141.270643	151.0	4480	1	1	0	0	no	Niccolò_Carlino
MASTER_WP4_CSIC_2	P2485	food	dairy	cheese	cheese_2_after_ripening;interior		F	ESP	SAMN36690357	SRR25394828		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		5281143712	37037849	75	150.0	137.8859944	151.0	4547	2	1	0	0	no	Niccolò_Carlino
