sample	MASTER_WP4_CSIC_2__P2476	MASTER_WP4_CSIC_2__P2477	MASTER_WP4_CSIC_2__P2478	MASTER_WP4_CSIC_2__P2479	MASTER_WP4_CSIC_2__P2480	MASTER_WP4_CSIC_2__P2481	MASTER_WP4_CSIC_2__P2482	MASTER_WP4_CSIC_2__P2483	MASTER_WP4_CSIC_2__P2484	MASTER_WP4_CSIC_2__P2485	MASTER_WP4_CSIC_2__P2489	MASTER_WP4_CSIC_2__P2490	MASTER_WP4_CSIC_2__P2491	MASTER_WP4_CSIC_2__P2492	MASTER_WP4_CSIC_2__P2493	MASTER_WP4_CSIC_2__P2494	MASTER_WP4_CSIC_2__P2495	MASTER_WP4_CSIC_2__P2496	MASTER_WP4_CSIC_2__P2497	MASTER_WP4_CSIC_2__P2498	MASTER_WP4_CSIC_2__P2499	MASTER_WP4_CSIC_2__P2500	MASTER_WP4_CSIC_2__P2501	MASTER_WP4_CSIC_2__P2502	MASTER_WP4_CSIC_2__P2503	MASTER_WP4_CSIC_2__P2504	MASTER_WP4_CSIC_2__P2505	MASTER_WP4_CSIC_2__P2507	MASTER_WP4_CSIC_2__P2508	MASTER_WP4_CSIC_2__P2509	MASTER_WP4_CSIC_2__P2510	MASTER_WP4_CSIC_2__P2511	MASTER_WP4_CSIC_2__P2512	MASTER_WP4_CSIC_2__P2514	MASTER_WP4_CSIC_2__P2515	MASTER_WP4_CSIC_2__P2516	MASTER_WP4_CSIC_2__P2517	MASTER_WP4_CSIC_2__P2518	MASTER_WP4_CSIC_2__P2519	MASTER_WP4_CSIC_2__P2520	MASTER_WP4_CSIC_2__P2521	MASTER_WP4_CSIC_2__P2523	MASTER_WP4_CSIC_2__P2524	MASTER_WP4_CSIC_2__P2525	MASTER_WP4_CSIC_2__P2526	MASTER_WP4_CSIC_2__P2527	MASTER_WP4_CSIC_2__P2528	MASTER_WP4_CSIC_2__P2529	MASTER_WP4_CSIC_2__P2530	MASTER_WP4_CSIC_2__P2531	MASTER_WP4_CSIC_2__P2532	MASTER_WP4_CSIC_2__P2533	MASTER_WP4_CSIC_2__P2534	MASTER_WP4_CSIC_2__P2535	MASTER_WP4_CSIC_2__P2536	MASTER_WP4_CSIC_2__P2537	MASTER_WP4_CSIC_2__P2538	MASTER_WP4_CSIC_2__P2539	MASTER_WP4_CSIC_2__P2540	MASTER_WP4_CSIC_2__P2541	MASTER_WP4_CSIC_2__P2542	MASTER_WP4_CSIC_2__P2543	MASTER_WP4_CSIC_2__P2544	MASTER_WP4_CSIC_2__P2545	MASTER_WP4_CSIC_2__P2548	MASTER_WP4_CSIC_2__P2549	MASTER_WP4_CSIC_2__P2550	MASTER_WP4_CSIC_2__P2551	MASTER_WP4_CSIC_2__P2552	MASTER_WP4_CSIC_2__P2553	MASTER_WP4_CSIC_2__P2554	MASTER_WP4_CSIC_2__P2555	MASTER_WP4_CSIC_2__P2556	MASTER_WP4_CSIC_2__P2557	MASTER_WP4_CSIC_2__P2558	MASTER_WP4_CSIC_2__P2559	MASTER_WP4_CSIC_2__P2560	MASTER_WP4_CSIC_2__P2561	MASTER_WP4_CSIC_2__P2562	MASTER_WP4_CSIC_2__P2563	MASTER_WP4_CSIC_2__P2564	MASTER_WP4_CSIC_2__P2565	MASTER_WP4_CSIC_2__P2566	MASTER_WP4_CSIC_2__P2567	MASTER_WP4_CSIC_2__P2568	MASTER_WP4_CSIC_2__P2569	MASTER_WP4_CSIC_2__P2570	MASTER_WP4_CSIC_2__P2571	MASTER_WP4_CSIC_2__P2572	MASTER_WP4_CSIC_2__P2573	MASTER_WP4_CSIC_2__P2574	MASTER_WP4_CSIC_2__P2575	MASTER_WP4_CSIC_2__P2576	MASTER_WP4_CSIC_2__P2577	MASTER_WP4_CSIC_2__P2578	MASTER_WP4_CSIC_2__P2579	MASTER_WP4_CSIC_2__P2580	MASTER_WP4_CSIC_2__P2581	MASTER_WP4_CSIC_2__P2582	MASTER_WP4_CSIC_2__P2583	MASTER_WP4_CSIC_2__P2584	MASTER_WP4_CSIC_2__P2585	MASTER_WP4_CSIC_2__P2586	MASTER_WP4_CSIC_2__P2587	MASTER_WP4_CSIC_2__P2588	MASTER_WP4_CSIC_2__P2589	MASTER_WP4_CSIC_2__P2590	MASTER_WP4_CSIC_2__P2591	MASTER_WP4_CSIC_2__P2592	MASTER_WP4_CSIC_2__P2593	MASTER_WP4_CSIC_2__P2594	MASTER_WP4_CSIC_2__P2595	MASTER_WP4_CSIC_2__P2596	MASTER_WP4_CSIC_2__P2597	MASTER_WP4_CSIC_2__P2598	MASTER_WP4_CSIC_2__P2599	MASTER_WP4_CSIC_2__P2600	MASTER_WP4_CSIC_2__P2601	MASTER_WP4_CSIC_2__P2602	MASTER_WP4_CSIC_2__P2603	MASTER_WP4_CSIC_2__P2604	MASTER_WP4_CSIC_2__P2605	MASTER_WP4_CSIC_2__P2606	MASTER_WP4_CSIC_2__P2607	MASTER_WP4_CSIC_2__P2608	MASTER_WP4_CSIC_2__P2609	MASTER_WP4_CSIC_2__P2610	MASTER_WP4_CSIC_2__P2611	MASTER_WP4_CSIC_2__P2612	MASTER_WP4_CSIC_2__P2613	MASTER_WP4_CSIC_2__P2614	MASTER_WP4_CSIC_2__P2615	MASTER_WP4_CSIC_2__P2616	MASTER_WP4_CSIC_2__P2618	MASTER_WP4_CSIC_2__P2619	MASTER_WP4_CSIC_2__P2620	MASTER_WP4_CSIC_2__P2621	MASTER_WP4_CSIC_2__P2623	MASTER_WP4_CSIC_2__P2624	MASTER_WP4_CSIC_2__P2625	MASTER_WP4_CSIC_2__P2626	MASTER_WP4_CSIC_2__P2627	MASTER_WP4_CSIC_2__P2628	MASTER_WP4_CSIC_2__P2629	MASTER_WP4_CSIC_2__P2630	MASTER_WP4_CSIC_2__P2631	MASTER_WP4_CSIC_2__P2632	MASTER_WP4_CSIC_2__P2633	MASTER_WP4_CSIC_2__P2634	MASTER_WP4_CSIC_2__P2635	MASTER_WP4_CSIC_2__P2636	MASTER_WP4_CSIC_2__P2637	MASTER_WP4_CSIC_2__P2638	MASTER_WP4_CSIC_2__P2639	MASTER_WP4_CSIC_2__P2640	MASTER_WP4_CSIC_2__P2641	MASTER_WP4_CSIC_2__P2644	MASTER_WP4_CSIC_2__P2645
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_cremoris|t__SGB7984	0.0	56.86419	65.10054	64.79792	65.38019	64.19105	64.47156	63.53105	64.52977	63.60789	0.00366	0.0059	0.00804	0.00899	0.01458	0.01865	0.0169	0.0	0.01705	0.15155	0.16811	0.22408	0.1506	52.04336	23.81326	26.80342	21.62639	5.64176	0.34475	0.23657	0.39771	0.21768	0.84037	0.47448	0.40527	0.0	75.71763	83.3078	82.07405	83.49142	83.46636	77.55467	73.36766	78.65725	0.0	78.3446	78.80997	81.73687	79.57589	80.72399	74.226	82.8106	70.84938	77.62155	0.0	10.29955	2.43788	3.11883	5.26047	4.86701	0.0	82.83455	7.97162	8.16896	2.44866	2.62284	2.41027	2.59271	60.65226	0.16866	0.49571	0.55587	0.41355	0.54341	3.39273	0.45593	0.28636	0.39003	0.0	84.46753	9.49739	17.06472	6.55014	26.1481	0.5402	0.72832	0.13677	18.90643	0.0	11.40003	4.50718	17.16608	7.02502	12.50457	0.13285	4.10747	0.43916	6.93971	0.0	38.45855	5.88566	10.96712	8.15459	11.9069	0.92485	8.80333	9.20717	2.18335	0.0	42.98609	4.84635	18.11275	9.66696	9.66086	1.66888	4.04629	2.82952	12.05968	0.0	38.62774	3.8921	10.3849	6.55641	10.8365	2.11572	7.96579	1.53421	6.46616	0.0	1.42838	2.45996	18.02649	2.13049	0.79777	3.00143	1.075	2.34542	0.23587	7.38303	8.36803	6.82599	6.30721	2.33842	2.35585	2.5036	2.36086	0.0	83.37598	7.57622	7.67406	7.5224	7.4124	0.7727	2.25141	2.07832	6.67123	0.72078	33.01905
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__SGB7985	0.00129	39.92688	31.54816	31.73538	31.15769	32.47032	31.79035	32.74102	31.86294	33.08478	50.19757	40.21091	53.60994	38.70174	49.28451	54.4434	37.89184	0.0	99.94802	89.17755	89.73729	89.4554	89.1821	13.22167	63.38191	28.63222	51.01052	13.18566	26.44419	20.73515	26.1685	20.34966	30.21961	24.97031	20.80034	12.96137	4.95949	2.37842	3.98443	3.69995	3.97309	3.38978	4.71406	2.949	0.0	4.47281	10.4893	3.91492	8.0939	3.67868	6.82762	5.55953	7.84939	5.79965	0.0	5.39852	6.48924	7.3441	8.75431	8.13676	0.0	10.3007	30.10879	29.12436	38.97426	40.14072	43.29357	38.79639	6.20682	99.02599	92.0756	91.21458	89.07435	90.45155	2.32964	92.5636	80.20002	92.76353	0.0	9.52126	68.23091	39.71366	37.21592	35.26356	2.0064	2.18346	0.94681	40.71398	0.0	24.3754	18.32035	38.0442	32.03487	30.65871	0.37456	10.10877	1.43779	17.94355	0.0	50.05379	48.84979	67.65527	67.53585	70.70254	14.07697	78.43142	74.16703	27.66639	3.12271	43.55974	35.64129	46.2831	49.65414	27.56826	13.78953	12.20283	19.53395	19.43837	0.0	53.8364	89.44427	70.89944	86.87071	72.79941	46.29714	81.32228	76.04799	82.699	10.16242	88.1798	30.56735	41.50991	41.6572	43.78929	63.12003	31.25516	64.28023	3.0056	68.93046	60.61721	69.61276	69.17196	71.29948	70.58654	71.29777	71.12979	0.0	6.24349	1.24262	1.51754	1.41946	1.32503	0.83352	1.37041	1.57112	2.31149	97.61041	54.74655
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_falkenbergense|t__SGB7124	0.0	2.75533	2.16034	2.25352	2.27256	2.17548	2.55696	2.38575	2.39591	2.2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01378	0.01598	0.02286	0.02088	0.02157	0.00521	0.07023	0.00499	0.11944	0.36559	0.4324	0.31556	0.38532	0.59895	0.55801	0.61643	0.0	0.00186	0.00822	0.00691	0.00745	0.00604	0.01649	0.02535	0.01958	0.0	8.5776	4.59395	5.64977	5.28639	5.36191	1.63152	0.99758	2.17258	1.55134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00462	0.00187	0.0033	0.00276	0.0024	0.00248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00264	0.00258	0.0	0.00121	0.0	0.0	0.0	0.0	0.0	0.0	0.02581	0.04472	0.00655	0.06309	0.0	0.00639	0.0	0.00565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00053	0.0	0.00415	0.0	0.0	0.00137	0.00488	0.00025	0.00298	0.0	0.00888	0.00028	0.00554	0.0	0.0408	0.15029	1.50666	0.14106	0.19954	0.48754	0.22151	0.61546	0.0	0.00961	0.14448	0.00562	0.00957	0.02587	0.02075	0.02466	0.01857	0.0	1.92725	58.48913	55.90505	53.89227	56.13188	52.9594	47.5424	50.61291	44.3568	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Paucilactobacillus|s__Paucilactobacillus_nenjiangensis|t__SGB49082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61334	0.66698	0.46417	0.45315	0.35856	0.45098	0.0	0.0	0.0	0.0	0.0	0.0	0.01774	0.0	0.0	0.0	0.0	0.0	0.0	0.06842	0.00403	0.07629	0.0	0.0	0.0	0.02887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00896	0.00472	0.0023	0.00756	0.0	0.00418	0.00952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06093	0.0	0.02867	0.0	0.00636	0.00594	0.00225	0.00724	0.01035	0.00621	0.00766	0.00716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_laudensis|t__SGB7991	0.0	0.06631	0.41225	0.42128	0.40814	0.41025	0.31399	0.4555	0.4558	0.3952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003	0.00016	0.0	0.00098	0.0	0.00189	9e-05	0.0	0.0	12.80714	13.18113	12.61547	11.71012	11.40472	17.19537	17.17469	15.86442	0.0	5.63091	5.06344	7.40763	5.72105	9.07192	16.95952	10.35347	18.80479	14.76074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00111	0.0	0.0	0.0	7e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01852	0.0	0.0	0.0	0.0	0.0	0.00745	0.00868	0.0	0.00727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00257	0.0	0.00015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02647	0.00667	0.02473	0.00743	0.0	0.00594	0.0	0.00437	0.00399	0.00084	0.00612	0.0	0.00068	0.0	0.0	0.0	0.0	0.0	0.36932	0.01703	0.01699	0.0116	0.01711	0.00023	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_mesenteroides|t__SGB7126	0.17492	0.36524	0.2242	0.19785	0.21083	0.18285	0.26875	0.27457	0.25009	0.25152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00142	0.0	0.00551	0.00075	0.01317	0.0	0.0	0.0	0.0	0.00121	0.00041	0.0006	0.0	0.0	0.0	2.22593	0.97871	1.15671	0.92025	1.00265	1.80507	4.53736	2.09923	0.0	2.97409	1.04121	1.2908	1.31946	1.1635	0.3508	0.27705	0.32371	0.26555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00954	0.39663	0.36631	0.32662	0.29631	0.39695	0.33056	0.0	0.0	0.0	0.0	0.0	0.0	0.01988	0.0	0.0	0.0	0.0	0.0	0.01932	0.00689	0.01048	0.00573	0.0	0.0	0.0	0.0	0.0	0.0	0.00033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00838	0.03648	0.00688	0.03338	8e-05	0.03157	0.02546	0.0	0.0	0.00023	0.00801	0.0	0.01092	0.04446	0.0	0.0395	0.0	0.0491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00291	0.05125	0.099	0.02457	0.63534	0.78705	0.62573	0.92856	0.44794	0.43786	0.35547	0.47145	0.42332	1.05463	0.88362	1.07689	0.86488	0.0	0.83536	23.22225	26.22823	28.10454	25.92984	38.907	40.75116	39.78311	39.29636	0.0269	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_sp_239c|t__SGB16641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00334	0.0	1.6532	0.0	0.00391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.51704	28.43901	31.48477	3.48184	0.0	0.0	0.0	0.0	0.0	0.0	8.4675	3.34794	17.09708	0.75446	0.0	0.0	0.00093	0.0	0.0	0.0	0.22019	0.0	0.0	0.08687	0.0	0.0	0.0	0.0	0.0	0.0	2.66822	0.16291	1.37328	0.00146	0.0	0.0	0.0	0.0	0.0	0.0	2.85229	0.0	0.64939	0.0	0.0	0.0	0.0	0.0	0.0	0.37183	0.00408	0.01879	0.01562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_hormaechei|t__SGB10130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_equorum|t__SGB7843	0.06402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02367	0.0	3.74657	0.0	2.39559	0.0	11.09889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.68575	10.81353	2.40115	3.08756	0.0	0.0	0.0	0.0	0.0	0.0	33.56805	7.65886	26.58773	4.59535	0.0	0.0	2.96725	0.00443	2.66834	0.00039	6.37377	0.0	0.0	4.80386	0.0	0.0	0.93512	0.0	0.00463	0.0	26.37306	0.38987	6.81546	0.28919	0.0	0.0	0.0	0.0	0.0	0.0	20.67514	0.00101	5.99064	0.00193	0.0	0.0	0.13009	0.00141	0.07621	0.83704	0.0106	0.37726	0.03575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium_alimentarium|t__SGB16653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	1.17603	0.0	0.03489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.66791	35.79584	6.76472	3.70739	0.0	0.0	0.0	0.0	0.0	0.0	15.12672	3.13775	20.50119	1.47874	0.0	0.0	6.72932	0.0	0.51132	0.0	9.47464	0.0	0.0	5.74134	0.0	0.0	0.0	0.0	0.0	0.0	3.19708	0.12759	1.31372	0.00308	0.0	0.0	0.0	0.0	0.0	0.0	4.4271	0.0	0.67652	0.0	0.0	0.0	0.00819	0.0	0.0	0.56833	0.00476	0.04753	0.01908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
