dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	Part_of_cheese	Milk_source	Animal_feeding	Milk_processing	Thermisation	Pasteurization	Skimming	Inoculation_of_moulds	Curd_cutting	Presence_of_rind	Backslopping	Starter_culture	Technology_of_production	Coagulation_method	Ripening_period	Rheological_properties	Temperature_of_curd_processing_Celsius_degree	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
MASTER_WP4_FFoQSI_2	VB01-23	food	dairy	cheese	fresh_cheese_a_core		F	Core																	AUT	SAMN36690222	SRR25395050		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		952227397	6398166	75	150.0	147.4637671	151.0	604	2	0	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB01-24	food	dairy	cheese	fresh_cheese_b_core		F	Core																	AUT	SAMN36690223	SRR25395048		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		4395641958	29324661	75	150.0	149.3414648	151.0	897	3	0	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB01-25	food	dairy	cheese	fresh_cheese_a_rind		F	Rind																	AUT	SAMN36690224	SRR25395047		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		3315412015	22127883	75	150.0	149.2064955	151.0	3387	3	0	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB01-26	food	dairy	cheese	fresh_cheese_b_rind		F	Rind																	AUT	SAMN36690225	SRR25395046		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		3049972173	20349805	75	150.0	149.2597766	151.0	1738	2	1	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB01-27	food	dairy	cheese	ripened_cheese_a_core		F	Core																	AUT	SAMN36690543	SRR25394789		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		1789096762	11926866	75	150.0	149.3000659	151.0	726	1	2	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB01-28	food	dairy	cheese	ripened_cheese_b_core		F	Core																	AUT	SAMN36690544	SRR25394788		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		927866983	6239674	75	150.0	147.0464007	151.0	737	1	2	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB01-29	food	dairy	cheese	ripened_cheese_a_rind		F	Rind																	AUT	SAMN36690545	SRR25394787		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		2546001867	17031917	75	150.0	148.5425038	151.0	14433	3	8	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB01-30	food	dairy	cheese	ripened_cheese_b_rind		F	Rind																	AUT	SAMN36690546	SRR25394786		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		4771123662	31895056	75	150.0	148.6881339	151.0	30252	3	13	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB03-23	food	dairy	cheese	fresh_cheese_a_core		F	Core																	AUT	SAMN36690230	SRR25395041		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		1627914688	10870890	75	150.0	149.6787345	151.0	1140	1	1	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB03-24	food	dairy	cheese	fresh_cheese_b_core		F	Core																	AUT	SAMN36690231	SRR25395040		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		1915302294	12784868	75	150.0	149.7350508	151.0	1126	1	1	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB03-25	food	dairy	cheese	fresh_cheese_a_rind		F	Rind																	AUT	SAMN36690232	SRR25395039		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		2395143603	16000971	75	150.0	149.6132831	151.0	1715	1	0	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB03-26	food	dairy	cheese	fresh_cheese_b_rind		F	Rind																	AUT	SAMN36690233	SRR25395037		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		1005146764	6774010	75	150.0	148.456608	151.0	637	1	0	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB03-27	food	dairy	cheese	ripened_cheese_a_core		F	Core																	AUT	SAMN36690550	SRR25394782		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		2994399955	19966758	75	150.0	149.2123205	151.0	2013	4	1	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB03-28	food	dairy	cheese	ripened_cheese_b_core		F	Core																	AUT	SAMN36690551	SRR25394781		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		3627604480	24203688	75	150.0	148.9650087	151.0	3167	2	3	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB03-29	food	dairy	cheese	ripened_cheese_a_rind		F	Rind																	AUT	SAMN36690552	SRR25394780		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		3911106112	26147676	75	150.0	148.7004676	151.0	36353	4	10	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB03-30	food	dairy	cheese	ripened_cheese_b_rind		F	Rind																	AUT	SAMN36690553	SRR25394778		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		3699205174	24732883	75	150.0	148.5928767	151.0	28967	3	11	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB04-23	food	dairy	cheese	fresh_cheese_a_core		F	Core																	AUT	SAMN36690234	SRR25395036		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		1420913133	9522981	75	150.0	148.7114842	151.0	1296	1	1	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB04-24	food	dairy	cheese	fresh_cheese_b_core		F	Core																	AUT	SAMN36690235	SRR25395035		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		5808466731	38812418	75	150.0	149.3683965	151.0	937	1	2	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB04-25	food	dairy	cheese	fresh_cheese_a_rind		F	Rind																	AUT	SAMN36690236	SRR25395034		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		6211401426	41474421	75	150.0	149.4900961	151.0	2728	2	2	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB04-26	food	dairy	cheese	fresh_cheese_b_rind		F	Rind																	AUT	SAMN36690237	SRR25395033		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		2149217553	14369482	75	150.0	149.1341833	151.0	2273	2	2	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB04-27	food	dairy	cheese	ripened_cheese_a_core		F	Core																	AUT	SAMN36690554	SRR25394777		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		4138716592	27609223	75	150.0	148.9406254	151.0	2668	2	4	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB04-28	food	dairy	cheese	ripened_cheese_b_core		F	Core																	AUT	SAMN36690555	SRR25394776		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		2092841369	13974910	75	150.0	148.6208855	151.0	3341	4	0	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB04-29	food	dairy	cheese	ripened_cheese_a_rind		F	Rind																	AUT	SAMN36690556	SRR25394775		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		3540355246	23700087	75	150.0	148.580086	151.0	22085	5	8	1	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB05-23	food	dairy	cheese	fresh_cheese_a_core		F	Core																	AUT	SAMN36690238	SRR25394877		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		2405061681	16082997	75	150.0	148.8123325	151.0	600	2	0	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB05-24	food	dairy	cheese	fresh_cheese_b_core		F	Core																	AUT	SAMN36690239	SRR25394875		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		3428754789	22889690	75	150.0	149.3261999	151.0	774	2	0	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB05-25	food	dairy	cheese	fresh_cheese_a_rind		F	Rind																	AUT	SAMN36690240	SRR25394874		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		4328987769	29013188	75	150.0	148.0047705	151.0	10818	4	5	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_2	VB05-26	food	dairy	cheese	fresh_cheese_b_rind		F	Rind																	AUT	SAMN36690241	SRR25394873		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		4069168009	27174650	75	150.0	149.1949326	151.0	753	1	0	0	0	no	Niccolò_Carlino
