dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
MASTER_WP4_FFoQSI_3	VB01-20	food	dairy	milk	milk		NF	AUT	SAMN36690002	SRR25395469		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		3363362440	22563057	75	150.0	148.9589311	151.0	4779	0	0	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_3	VB01-21	food	dairy	whey	whey		F	AUT	SAMN36690003	SRR25395467		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		4181057724	28048564	75	150.0	148.9658262	151.0	10715	0	2	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_3	VB01-22	food	dairy	cheese_brine	brine		NF	AUT	SAMN36690004	SRR25395466		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		149194687	1000381	75	150.0	146.3531717	151.0	2645	3	0	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_3	VB02-20	food	dairy	milk	milk		NF	AUT	SAMN36690005	SRR25395465		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7942370959	53262471	75	150.0	149.1196414	151.0	109270	0	0	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_3	VB02-21	food	dairy	whey	whey		F	AUT	SAMN36690006	SRR25395464		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7812454653	52279189	75	150.0	149.1030756	151.0	5820	2	2	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_3	VB02-22	food	dairy	cheese_brine	brine		NF	AUT	SAMN36690007	SRR25395463		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		423765678	2832888	75	150.0	146.9028528	151.0	7852	3	3	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_3	VB02-23	food	dairy	cheese	fresh_cheese_a_core		F	AUT	SAMN36690226	SRR25395045		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		14394249520	96195288	75	151.0	148.039154	151.0	3949	1	1	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_3	VB02-24	food	dairy	cheese	fresh_cheese_b_core		F	AUT	SAMN36690227	SRR25395044		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		4865317153	32544151	75	151.0	148.1495409	151.0	3842	0	1	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_3	VB02-25	food	dairy	cheese	fresh_cheese_a_rind		F	AUT	SAMN36690228	SRR25395043		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		5647894916	37740992	75	151.0	148.7740054	151.0	3836	1	1	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_3	VB02-26	food	dairy	cheese	fresh_cheese_b_rind		F	AUT	SAMN36690229	SRR25395042		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8244326987	55159185	75	151.0	148.734504	151.0	4197	1	1	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_3	VB02-28	food	dairy	cheese	ripened_cheese_b_core		F	AUT	SAMN36690547	SRR25394785		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		13468497116	89924754	75	151.0	146.5121419	151.0	5438	3	1	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_3	VB02-29	food	dairy	cheese	ripened_cheese_a_rind		F	AUT	SAMN36690548	SRR25394784		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		14316359440	95832193	75	150.0	146.5837466	151.0	41967	14	5	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_3	VB02-30	food	dairy	cheese	ripened_cheese_b_rind		F	AUT	SAMN36690549	SRR25394783		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		22054132794	147785429	75	150.0	146.7015726	151.0	40810	12	9	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_3	VB04-30	food	dairy	cheese	ripened_cheese_b_rind		F	AUT	SAMN36690557	SRR25394774		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9131548785	61149299	75	150.0	147.7927563	151.0	32539	9	11	1	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_3	VB07-20	food	dairy	milk	milk		NF	AUT	SAMN36690017	SRR25395285		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9566835764	64139691	75	150.0	149.0836992	151.0	166933	1	0	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_3	VB07-21	food	dairy	whey	whey		F	AUT	SAMN36690018	SRR25395284		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		4826467075	32266311	75	150.0	149.0238209	151.0	7720	1	1	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_3	VB07-22	food	dairy	cheese_brine	brine		NF	AUT	SAMN36690019	SRR25395283		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		3504229576	23409752	75	150.0	147.5166249	151.0	25471	3	5	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_3	VB07-23	food	dairy	cheese	fresh_cheese_a_core		F	AUT	SAMN36690246	SRR25394867		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		17776282993	118984276	75	150.0	147.0453833	151.0	701	1	0	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_3	VB07-24	food	dairy	cheese	fresh_cheese_b_core		F	AUT	SAMN36690247	SRR25394866		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		14360670509	95978512	75	150.0	147.4708017	151.0	665	1	0	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_3	VB07-25	food	dairy	cheese	fresh_cheese_a_rind		F	AUT	SAMN36690248	SRR25394865		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		4888190078	32710902	75	150.0	146.8759852	151.0	3079	4	0	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_3	VB07-26	food	dairy	cheese	fresh_cheese_b_rind		F	AUT	SAMN36690249	SRR25394864		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9332265520	62391988	75	150.0	147.0143933	151.0	3308	2	0	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_3	VB07-29	food	dairy	cheese	ripened_cheese_a_rind		F	AUT	SAMN36690566	SRR25395085		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		3168462861	21239039	75	150.0	146.4091046	151.0	23780	7	5	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_3	VB07-30	food	dairy	cheese	ripened_cheese_b_rind		F	AUT	SAMN36690567	SRR25395084		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		16822729858	112612697	75	150.0	146.7676719	151.0	36772	9	13	0	0	no	Niccolò_Carlino
MASTER_WP4_FFoQSI_3	VB08-29	food	dairy	cheese	ripened_cheese_a_rind		F	AUT	SAMN36690570	SRR25395081		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9936189227	66624248	75	150.0	146.6122019	151.0	46962	9	12	0	0	no	Niccolò_Carlino
