dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
MASTER_WP4_MATIS_1	S1-18	food	fish	cod			NF	ISL	ERS15563585	ERR11641224	ERX11043206	ERP147913	PRJEB62794	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		1506007620	10321008	75	150.0	146.1122808	151.0	18853	0	0	0	0	no	Niccolò_Carlino
MASTER_WP4_MATIS_1	S1-19	food	fish	cod			NF	ISL	ERS15563586	ERR11641277	ERX11043259	ERP147913	PRJEB62794	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		3172600795	21600769	75	150.0	146.9813779	151.0	113854	0	0	0	0	no	Niccolò_Carlino
MASTER_WP4_MATIS_1	S2-18	food	fish	haddock			NF	ISL	ERS15563598	ERR11641227	ERX11043209	ERP147913	PRJEB62794	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		4208182174	28475052	75	150.0	147.6870805	151.0	141359	0	0	0	0	no	Niccolò_Carlino
MASTER_WP4_MATIS_1	S2-19	food	fish	haddock			NF	ISL	ERS15563599	ERR11641279	ERX11043261	ERP147913	PRJEB62794	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		5468847248	37186783	75	150.0	147.1019275	151.0	150510	0	0	0	0	no	Niccolò_Carlino
MASTER_WP4_MATIS_1	S3-18	food	fish	salmon			NF	ISL	ERS15563612	ERR11641474	ERX11043456	ERP147913	PRJEB62794	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		1891169922	13305923	75	150.0	140.7238126	151.0	1196	0	0	0	0	no	Niccolò_Carlino
MASTER_WP4_MATIS_1	S3-19	food	fish	salmon			NF	ISL	ERS15563613	ERR11641475	ERX11043457	ERP147913	PRJEB62794	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		1377171487	9498357	75	150.0	143.5375377	151.0	1868	1	0	0	0	no	Niccolò_Carlino
MASTER_WP4_MATIS_1	S4-18	food	fish	cod			NF	ISL	ERS15563625	ERR11642240	ERX11044222	ERP147913	PRJEB62794	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		3549251532	24223212	75	150.0	146.6156965	151.0	121567	0	0	0	0	no	Niccolò_Carlino
MASTER_WP4_MATIS_1	S4-19	food	fish	cod			NF	ISL	ERS15563626	ERR11642242	ERX11044224	ERP147913	PRJEB62794	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7813030582	53578409	75	150.0	146.0356705	151.0	161055	0	0	0	0	no	Niccolò_Carlino
MASTER_WP4_MATIS_1	S5-19	food	fish	arctic_char			NF	ISL	ERS15563641	ERR11642616	ERX11044598	ERP147913	PRJEB62794	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		5284892785	35864902	75	150.0	145.502785	151.0	39430	0	0	0	0	no	Niccolò_Carlino
MASTER_WP4_MATIS_1	S6-18	food	fish	salmon			NF	ISL	ERS15563642	ERR11642617	ERX11044599	ERP147913	PRJEB62794	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		2489135391	17167684	75	150.0	143.5600971	151.0	2880	0	0	0	0	no	Niccolò_Carlino
MASTER_WP4_MATIS_1	S6-19	food	fish	salmon			NF	ISL	ERS15563652	ERR11647611	ERX11049593	ERP147913	PRJEB62794	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		15046183461	104121426	75	150.0	142.9680085	151.0	290274	0	0	0	0	no	Niccolò_Carlino
MASTER_WP4_MATIS_1	S6-42	food	fish	arctic_char			NF	ISL	ERS15563653	ERR11647612	ERX11049594	ERP147913	PRJEB62794	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		648436243	4393801	75	150.0	144.7723835	151.0	5986	1	0	0	0	no	Niccolò_Carlino
