dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	Part_of_cheese	Milk_source	Animal_feeding	Milk_processing	Thermisation	Pasteurization	Skimming	Inoculation_of_moulds	Curd_cutting	Presence_of_rind	Backslopping	Starter_culture	Technology_of_production	Coagulation_method	Ripening_period	Rheological_properties	Temperature_of_curd_processing_Celsius_degree	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
MASTER_WP4_TEAGASC_1	TGS01-23	food	dairy	cheese	cheese_1_before_ripening		F	Core																	IRL	ERS17785781				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		2194818597	14661720	75	151.0	149.7718585	151.0	2451	3	0	0	0	no	Niccolò_Carlino
MASTER_WP4_TEAGASC_1	TGS01-24	food	dairy	cheese	cheese_2_before_ripening		F	Core																	IRL	ERS17785782				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		4513633383	30109089	75	151.0	149.9593651	151.0	3030	3	0	0	0	no	Niccolò_Carlino
MASTER_WP4_TEAGASC_1	TGS01-25	food	dairy	cheese	cheese_1_before_ripening		F	Rind																	IRL	ERS17785783				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		5607697539	37819358	75	151.0	148.6790379	151.0	3755	2	1	0	0	no	Niccolò_Carlino
MASTER_WP4_TEAGASC_1	TGS01-26	food	dairy	cheese	cheese_2_before_ripening		F	Rind																	IRL	ERS17785784				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		5564661579	37096254	75	151.0	150.0224817	151.0	3163	1	0	0	0	no	Niccolò_Carlino
MASTER_WP4_TEAGASC_1	TGS01-27	food	dairy	cheese	cheese_1_after_ripening		F	Core																	IRL	ERS17785785				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		2091188651	13959372	75	151.0	149.3206825	151.0	2882	2	1	0	0	no	Niccolò_Carlino
MASTER_WP4_TEAGASC_1	TGS01-28	food	dairy	cheese	cheese_2_after_ripening		F	Core																	IRL	ERS17785786				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		3034486826	20214906	75	151.0	149.5183751	151.0	3432	2	1	0	0	no	Niccolò_Carlino
MASTER_WP4_TEAGASC_1	TGS01-29	food	dairy	cheese	cheese_1_after_ripening		F	Rind																	IRL	ERS17785787				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		2624533614	17478188	75	151.0	150.0682457	151.0	9668	3	4	0	0	no	Niccolò_Carlino
MASTER_WP4_TEAGASC_1	TGS01-30	food	dairy	cheese	cheese_2_after_ripening		F	Rind																	IRL	ERS17785788				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		3860657627	25765029	75	151.0	149.7233252	151.0	10324	6	3	0	0	no	Niccolò_Carlino
MASTER_WP4_TEAGASC_1	TGS02-27_0	food	dairy	cheese	water_buffalo_mozzarella	Mozzarella	F	Core	Water_buffalo	Pasture	Pasteurized	No	Yes	No		Small	No	No	NWC	Pasta_filata	Rennet		Soft	70_to_90	IRL	ERS17785789				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		4645415357	31060085	75	151.0	149.7322605	151.0	1858	0	0	0	0	no	Niccolò_Carlino
MASTER_WP4_TEAGASC_1	TGS02-28_0	food	dairy	cheese	water_buffalo_mozzarella	Mozzarella	F	Core	Water_buffalo	Pasture	Pasteurized	No	Yes	No		Small	No	No	NWC	Pasta_filata	Rennet		Soft	70_to_90	IRL	ERS17785790				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		10063910272	68746706	75	151.0	147.2098698	151.0	1801	0	0	0	0	no	Niccolò_Carlino
MASTER_WP4_TEAGASC_1	TGS02-29_0	food	dairy	cheese	water_buffalo_mozzarella	Mozzarella	F	Rind	Water_buffalo	Pasture	Pasteurized	No	Yes	No		Small	No	No	NWC	Pasta_filata	Rennet		Soft	70_to_90	IRL	ERS17785791				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		12551260863	84998725	75	151.0	148.2731429	151.0	8526	0	0	0	0	no	Niccolò_Carlino
MASTER_WP4_TEAGASC_1	TGS02-30_0	food	dairy	cheese	water_buffalo_mozzarella	Mozzarella	F	Rind	Water_buffalo	Pasture	Pasteurized	No	Yes	No		Small	No	No	NWC	Pasta_filata	Rennet		Soft	70_to_90	IRL	ERS17785792				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		5105110008	35330714	75	151.0	145.6938209	151.0	1066	0	0	0	0	no	Niccolò_Carlino
MASTER_WP4_TEAGASC_1	TGS03-23	food	dairy	cheese	cheese_1_before_ripening		F	Core																	IRL	ERS17785793				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		6775850813	45322488	75	151.0	149.2192316	151.0	8172	2	0	0	0	no	Niccolò_Carlino
MASTER_WP4_TEAGASC_1	TGS03-24	food	dairy	cheese	cheese_2_before_ripening		F	Core																	IRL	ERS17785794				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		6602489418	43940209	75	151.0	150.1666811	151.0	2094	1	0	0	1	no	Niccolò_Carlino
MASTER_WP4_TEAGASC_1	TGS03-25	food	dairy	cheese	cheese_1_before_ripening		F	Rind																	IRL	ERS17785795				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		4438480875	29625070	75	151.0	149.5582135	151.0	1452	0	0	0	0	no	Niccolò_Carlino
MASTER_WP4_TEAGASC_1	TGS03-26	food	dairy	cheese	cheese_2_before_ripening		F	Rind																	IRL	ERS17785796				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		4684656912	31240148	75	151.0	150.0405399	151.0	5853	0	1	1	1	no	Niccolò_Carlino
MASTER_WP4_TEAGASC_1	TGS03-27	food	dairy	cheese	cheese_1_after_ripening		F	Core																	IRL	ERS17785797				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		3553289789	23717256	75	151.0	149.8510559	151.0	1845	2	0	0	1	no	Niccolò_Carlino
MASTER_WP4_TEAGASC_1	TGS03-28	food	dairy	cheese	cheese_2_after_ripening		F	Core																	IRL	ERS17785798				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		11612862600	77145469	75	151.0	150.5104589	151.0	3020	1	0	0	1	no	Niccolò_Carlino
MASTER_WP4_TEAGASC_1	TGS03-29	food	dairy	cheese	cheese_1_after_ripening		F	Rind																	IRL	ERS17785799				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8785298741	62618973	75	151.0	141.7137086	151.0	3668	2	0	1	1	no	Niccolò_Carlino
MASTER_WP4_TEAGASC_1	TGS03-30	food	dairy	cheese	cheese_2_after_ripening		F	Rind																	IRL	ERS17785800				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		5940541298	40583832	75	151.0	146.4831076	151.0	5244	0	0	0	0	no	Niccolò_Carlino
MASTER_WP4_TEAGASC_1	TGS04-23	food	dairy	cheese	cheese_1_before_ripening		F	Core																	IRL	ERS17785801				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		21800312743	156292795	75	151.0	140.0195274	151.0	31181	5	3	1	0	no	Niccolò_Carlino
MASTER_WP4_TEAGASC_1	TGS04-26	food	dairy	cheese	cheese_2_before_ripening		F	Rind																	IRL	ERS17785802				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		14746756249	98170132	75	151.0	150.3286691	151.0	252437	5	0	0	0	no	Niccolò_Carlino
MASTER_WP4_TEAGASC_1	TGS04-27	food	dairy	cheese	cheese_1_after_ripening		F	Core																	IRL	ERS17785803				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		37003939	246729	75	151.0	149.9780691	151.0	970	1	0	0	0	yes	Niccolò_Carlino
MASTER_WP4_TEAGASC_1	TGS04-28	food	dairy	cheese	cheese_2_after_ripening		F	Core																	IRL	ERS17785804				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		12190146735	81002192	75	151.0	150.4016872	151.0	24007	5	11	1	1	no	Niccolò_Carlino
MASTER_WP4_TEAGASC_1	TGS04-29	food	dairy	cheese	cheese_1_after_ripening		F	Rind																	IRL	ERS17785805				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		4998367879	33194085	75	151.0	150.4653143	151.0	15949	2	12	1	1	no	Niccolò_Carlino
MASTER_WP4_TEAGASC_1	TGS04-30	food	dairy	cheese	cheese_2_after_ripening		F	Rind																	IRL	ERS17785806				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		6195371393	41268866	75	151.0	150.1221621	151.0	14840	1	11	0	0	no	Niccolò_Carlino
MASTER_WP4_TEAGASC_1	TGS05-27_0	food	dairy	cheese	water_buffalo_mozzarella	Mozzarella	F	Core	Water_buffalo	Pasture	Pasteurized	No	Yes	No		Small	No	No	NWC	Pasta_filata	Rennet		Soft	70_to_90	IRL	ERS17785807				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		6146559820	40893630	75	151.0	150.3778919	151.0	12777	3	0	0	0	no	Niccolò_Carlino
MASTER_WP4_TEAGASC_1	TGS05-28_0	food	dairy	cheese	water_buffalo_mozzarella	Mozzarella	F	Core	Water_buffalo	Pasture	Pasteurized	No	Yes	No		Small	No	No	NWC	Pasta_filata	Rennet		Soft	70_to_90	IRL	ERS17785809				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		13232679044	88005227	75	151.0	150.4321417	151.0	44973	1	1	1	0	no	Niccolò_Carlino
MASTER_WP4_TEAGASC_1	TGS05-29_0	food	dairy	cheese	water_buffalo_mozzarella	Mozzarella	F	Rind	Water_buffalo	Pasture	Pasteurized	No	Yes	No		Small	No	No	NWC	Pasta_filata	Rennet		Soft	70_to_90	IRL	ERS17785810				PRGEB63604	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		10789031893	71752606	75	151.0	150.4347965	151.0	27427	0	1	0	0	no	Niccolò_Carlino
