dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	Part_of_cheese	Milk_source	Animal_feeding	Milk_processing	Thermisation	Pasteurization	Skimming	Inoculation_of_moulds	Curd_cutting	Presence_of_rind	Backslopping	Starter_culture	Technology_of_production	Coagulation_method	Ripening_period	Rheological_properties	Temperature_of_curd_processing_Celsius_degree	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
MASTER_WP4_UNINA_2	A-27.0	food	dairy	cheese	water_buffalo_mozzarella	Water_buffalo_mozzarella	F	Core	Water_buffalo	Forage	Raw	Facoltative	Facoltative	No		Small	No	Yes	NWC	Pasta_filata	Rennet		Soft	70_to_90	ITA	SAMN36690459	SRR25394799		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8438317909	56385469	75	150.0	149.4724211	150.0	2051	0	0	0	0	no	Niccolò_Carlino
MASTER_WP4_UNINA_2	A-28.0	food	dairy	cheese	water_buffalo_mozzarella	Water_buffalo_mozzarella	F	Core	Water_buffalo	Forage	Raw	Facoltative	Facoltative	No		Small	No	Yes	NWC	Pasta_filata	Rennet		Soft	70_to_90	ITA	SAMN36690460	SRR25394798		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8396574160	56153767	75	150.0	148.9358857	150.0	2377	1	0	0	0	no	Niccolò_Carlino
MASTER_WP4_UNINA_2	B-27.0	food	dairy	cheese	water_buffalo_mozzarella	Water_buffalo_mozzarella	F	Core	Water_buffalo	Forage	Raw	Facoltative	Facoltative	No		Small	No	Yes	NWC	Pasta_filata	Rennet		Soft	70_to_90	ITA	SAMN36690461	SRR25394797		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		10109662643	67554939	75	150.0	149.5543984	150.0	2359	0	0	0	0	no	Niccolò_Carlino
MASTER_WP4_UNINA_2	B-28.0	food	dairy	cheese	water_buffalo_mozzarella	Water_buffalo_mozzarella	F	Core	Water_buffalo	Forage	Raw	Facoltative	Facoltative	No		Small	No	Yes	NWC	Pasta_filata	Rennet		Soft	70_to_90	ITA	SAMN36690462	SRR25394796		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8761130557	58547986	75	150.0	149.4823123	150.0	2267	1	0	0	0	no	Niccolò_Carlino
MASTER_WP4_UNINA_2	C-27.0	food	dairy	cheese	water_buffalo_mozzarella	Water_buffalo_mozzarella	F	Core	Water_buffalo	Forage	Raw	Facoltative	Facoltative	No		Small	No	Yes	NWC	Pasta_filata	Rennet		Soft	70_to_90	ITA	SAMN36690463	SRR25394793		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7942240752	53079854	75	150.0	149.4138736	150.0	1578	3	0	0	0	no	Niccolò_Carlino
MASTER_WP4_UNINA_2	C-28.0	food	dairy	cheese	water_buffalo_mozzarella	Water_buffalo_mozzarella	F	Core	Water_buffalo	Forage	Raw	Facoltative	Facoltative	No		Small	No	Yes	NWC	Pasta_filata	Rennet		Soft	70_to_90	ITA	SAMN36690464	SRR25395114		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7537986091	50392949	75	150.0	149.371263	150.0	1511	0	0	0	0	no	Niccolò_Carlino
MASTER_WP4_UNINA_2	D-27.0	food	dairy	cheese	water_buffalo_mozzarella	Water_buffalo_mozzarella	F	Core	Water_buffalo	Forage	Raw	Facoltative	Facoltative	No		Small	No	Yes	NWC	Pasta_filata	Rennet		Soft	70_to_90	ITA	SAMN36690465	SRR25395113		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7425669793	49644340	75	150.0	149.4670018	150.0	2544	1	0	0	0	no	Niccolò_Carlino
MASTER_WP4_UNINA_2	D-28.0	food	dairy	cheese	water_buffalo_mozzarella	Water_buffalo_mozzarella	F	Core	Water_buffalo	Forage	Raw	Facoltative	Facoltative	No		Small	No	Yes	NWC	Pasta_filata	Rennet		Soft	70_to_90	ITA	SAMN36690466	SRR25395112		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8417728272	56253255	75	150.0	149.5290917	150.0	2692	0	0	0	0	no	Niccolò_Carlino
MASTER_WP4_UNINA_2	E-27.0	food	dairy	cheese	water_buffalo_mozzarella	Water_buffalo_mozzarella	F	Core	Water_buffalo	Forage	Raw	Facoltative	Facoltative	No		Small	No	Yes	NWC	Pasta_filata	Rennet		Soft	70_to_90	ITA	SAMN36690471	SRR25395107		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7849055074	52473992	75	150.0	149.409586	150.0	2312	0	0	0	0	no	Niccolò_Carlino
MASTER_WP4_UNINA_2	E-28.0	food	dairy	cheese	water_buffalo_mozzarella	Water_buffalo_mozzarella	F	Core	Water_buffalo	Forage	Raw	Facoltative	Facoltative	No		Small	No	Yes	NWC	Pasta_filata	Rennet		Soft	70_to_90	ITA	SAMN36690472	SRR25395106		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7836113558	52356263	75	150.0	149.3976466	150.0	2339	0	0	0	0	no	Niccolò_Carlino
