dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
MASTER_WP4_UNINA_2	A-20	food	dairy	milk	raw_milk		NF	ITA	SAMN36689927	SRR25395333		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7439213429	49800816	75	150.0	149.3108591	150.0	51357	8	5	0	0	no	Niccolò_Carlino
MASTER_WP4_UNINA_2	A-21	food	dairy	whey	whey		F	ITA	SAMN36689928	SRR25395322		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9149711503	61137706	75	150.0	149.2996804	150.0	2642	0	0	0	0	no	Niccolò_Carlino
MASTER_WP4_UNINA_2	A-22	food	dairy	cheese_brine	brine		NF	ITA	SAMN36689929	SRR25394968		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7444081172	49757430	75	150.0	149.3638205	150.0	6997	2	1	1	0	no	Niccolò_Carlino
MASTER_WP4_UNINA_2	A-27.0	food	dairy	cheese	mozzarella		F	ITA	SAMN36690459	SRR25394799		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8438317909	56385469	75	150.0	149.4724211	150.0	2051	0	0	0	0	no	Niccolò_Carlino
MASTER_WP4_UNINA_2	A-28.0	food	dairy	cheese	mozzarella		F	ITA	SAMN36690460	SRR25394798		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8396574160	56153767	75	150.0	148.9358857	150.0	2377	1	0	0	0	no	Niccolò_Carlino
MASTER_WP4_UNINA_2	B-20	food	dairy	milk	raw_milk		NF	ITA	SAMN36689930	SRR25394957		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		6977628381	46662401	75	150.0	149.5049741	150.0	92829	0	0	0	0	no	Niccolò_Carlino
MASTER_WP4_UNINA_2	B-21	food	dairy	whey	whey		F	ITA	SAMN36689931	SRR25394790		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8598528667	57453963	75	150.0	149.3119583	150.0	2829	0	0	0	0	no	Niccolò_Carlino
MASTER_WP4_UNINA_2	B-22	food	dairy	cheese_brine	brine		NF	ITA	SAMN36689932	SRR25394779		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7534074951	50370073	75	150.0	149.4598575	150.0	5617	3	2	1	0	no	Niccolò_Carlino
MASTER_WP4_UNINA_2	B-27.0	food	dairy	cheese	mozzarella		F	ITA	SAMN36690461	SRR25394797		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		10109662643	67554939	75	150.0	149.5543984	150.0	2359	0	0	0	0	no	Niccolò_Carlino
MASTER_WP4_UNINA_2	B-28.0	food	dairy	cheese	mozzarella		F	ITA	SAMN36690462	SRR25394796		SRP450983	PRJNA997801	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8761130557	58547986	75	150.0	149.4823123	150.0	2267	1	0	0	0	no	Niccolò_Carlino
