dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
MagliuloR_2024	SRR28235345	food	dairy	cheese	mozzarella		F	ITA	SAMN40275094	SRR28235345	SRX23846590	SRP493534	PRJNA1084214	NCBI	PAIRED	Illumina_HiSeq_4000	DNeasy_PowerFood_Microbial_Kit		7062717123	47217633	75	150.0	143.7049582	151.0	13231	4	0	0	0	no	Hrituraj_Dey
MagliuloR_2024	SRR28235346	food	dairy	cheese	mozzarella		F	ITA	SAMN40275093	SRR28235346	SRX23846589	SRP493534	PRJNA1084214	NCBI	PAIRED	Illumina_HiSeq_4000	DNeasy_PowerFood_Microbial_Kit	1/9/2020	4442636869	29762293	75	150.0	145.3398729	151.0	2103	1	0	0	0	no	Hrituraj_Dey
MagliuloR_2024	SRR28235347	food	dairy	cheese	mozzarella		F	ITA	SAMN40275092	SRR28235347	SRX23846588	SRP493534	PRJNA1084214	NCBI	PAIRED	Illumina_HiSeq_4000	DNeasy_PowerFood_Microbial_Kit	1/8/2020	4687426464	31422295	75	150.0	141.4037445	151.0	2058	1	0	0	0	no	Hrituraj_Dey
MagliuloR_2024	SRR28235348	food	dairy	cheese	mozzarella		F	ITA	SAMN40275091	SRR28235348	SRX23846587	SRP493534	PRJNA1084214	NCBI	PAIRED	Illumina_HiSeq_4000	DNeasy_PowerFood_Microbial_Kit	1/7/2020	3025896661	20304957	75	150.0	144.455315	151.0	2515	2	0	0	0	no	Hrituraj_Dey
MagliuloR_2024	SRR28235349	food	dairy	cheese	mozzarella		F	ITA	SAMN40275090	SRR28235349	SRX23846586	SRP493534	PRJNA1084214	NCBI	PAIRED	Illumina_HiSeq_4000	DNeasy_PowerFood_Microbial_Kit	1/6/2020	3389485715	22924572	75	150.0	138.1067864	151.0	2403	1	1	0	0	no	Hrituraj_Dey
MagliuloR_2024	SRR28235350	food	dairy	cheese	mozzarella		F	ITA	SAMN40275133	SRR28235350	SRX23846585	SRP493534	PRJNA1084214	NCBI	PAIRED	Illumina_HiSeq_4000	DNeasy_PowerFood_Microbial_Kit		14787635599	99858671	75	151.0	141.5790886	151.0	7119	3	0	0	0	no	Hrituraj_Dey
MagliuloR_2024	SRR28235351	food	dairy	cheese	mozzarella		F	ITA	SAMN40275132	SRR28235351	SRX23846584	SRP493534	PRJNA1084214	NCBI	PAIRED	Illumina_HiSeq_4000	DNeasy_PowerFood_Microbial_Kit		8206258997	54808843	75	150.0	149.4372271	150.0	5003	1	0	0	0	no	Hrituraj_Dey
MagliuloR_2024	SRR28235352	food	dairy	cheese	mozzarella		F	ITA	SAMN40275131	SRR28235352	SRX23846583	SRP493534	PRJNA1084214	NCBI	PAIRED	Illumina_HiSeq_4000	DNeasy_PowerFood_Microbial_Kit		8391871249	56052541	75	150.0	149.4878709	150.0	7212	3	0	0	0	no	Hrituraj_Dey
MagliuloR_2024	SRR28235353	food	dairy	cheese	mozzarella		F	ITA	SAMN40275130	SRR28235353	SRX23846582	SRP493534	PRJNA1084214	NCBI	PAIRED	Illumina_HiSeq_4000	DNeasy_PowerFood_Microbial_Kit		4168241439	27946020	75	150.0	144.2480638	151.0	5505	1	0	0	0	no	Hrituraj_Dey
MagliuloR_2024	SRR28235354	food	dairy	cheese	mozzarella		F	ITA	SAMN40275129	SRR28235354	SRX23846581	SRP493534	PRJNA1084214	NCBI	PAIRED	Illumina_HiSeq_4000	DNeasy_PowerFood_Microbial_Kit		8550275167	57256451	75	150.0	144.9817483	151.0	2373	1	0	0	0	no	Hrituraj_Dey
MagliuloR_2024	SRR28235355	food	dairy	cheese	mozzarella		F	ITA	SAMN40275128	SRR28235355	SRX23846580	SRP493534	PRJNA1084214	NCBI	PAIRED	Illumina_HiSeq_4000	DNeasy_PowerFood_Microbial_Kit		3423597548	22892866	75	150.0	145.7070606	151.0	4107	3	0	0	0	no	Hrituraj_Dey
MagliuloR_2024	SRR28235356	food	dairy	cheese	mozzarella		F	ITA	SAMN40275127	SRR28235356	SRX23846579	SRP493534	PRJNA1084214	NCBI	PAIRED	Illumina_HiSeq_4000	DNeasy_PowerFood_Microbial_Kit		4068674339	27228214	75	150.0	147.5190929	151.0	3116	1	0	0	0	no	Hrituraj_Dey
MagliuloR_2024	SRR28235357	food	dairy	cheese	mozzarella		F	ITA	SAMN40275126	SRR28235357	SRX23846578	SRP493534	PRJNA1084214	NCBI	PAIRED	Illumina_HiSeq_4000	DNeasy_PowerFood_Microbial_Kit		5208718307	34866798	75	150.0	147.0827224	151.0	8478	2	0	0	0	no	Hrituraj_Dey
MagliuloR_2024	SRR28235358	food	dairy	cheese	mozzarella		F	ITA	SAMN40275125	SRR28235358	SRX23846577	SRP493534	PRJNA1084214	NCBI	PAIRED	Illumina_HiSeq_4000	DNeasy_PowerFood_Microbial_Kit		6252618001	41796813	75	150.0	147.9978125	151.0	3820	2	0	0	0	no	Hrituraj_Dey
MagliuloR_2024	SRR28235359	food	dairy	cheese	mozzarella		F	ITA	SAMN40275089	SRR28235359	SRX23846576	SRP493534	PRJNA1084214	NCBI	PAIRED	Illumina_HiSeq_4000	DNeasy_PowerFood_Microbial_Kit	1/5/2020	3941435046	26441473	75	150.0	144.1036338	151.0	3519	0	2	0	0	no	Hrituraj_Dey
MagliuloR_2024	SRR28235360	food	dairy	cheese	mozzarella		F	ITA	SAMN40275124	SRR28235360	SRX23846575	SRP493534	PRJNA1084214	NCBI	PAIRED	Illumina_HiSeq_4000	DNeasy_PowerFood_Microbial_Kit	2/9/2020	5847486504	39109748	75	150.0	147.1786679	151.0	2317	1	0	0	0	no	Hrituraj_Dey
MagliuloR_2024	SRR28235361	food	dairy	cheese	mozzarella		F	ITA	SAMN40275123	SRR28235361	SRX23846574	SRP493534	PRJNA1084214	NCBI	PAIRED	Illumina_HiSeq_4000	DNeasy_PowerFood_Microbial_Kit	2/8/2020	3978709756	26692556	75	150.0	146.4907368	151.0	3387	1	0	0	0	no	Hrituraj_Dey
MagliuloR_2024	SRR28235362	food	dairy	cheese	mozzarella		F	ITA	SAMN40275122	SRR28235362	SRX23846573	SRP493534	PRJNA1084214	NCBI	PAIRED	Illumina_HiSeq_4000	DNeasy_PowerFood_Microbial_Kit	2/7/2020	4803950815	32153598	75	150.0	144.8301662	151.0	2030	1	0	0	0	no	Hrituraj_Dey
MagliuloR_2024	SRR28235363	food	dairy	cheese	mozzarella		F	ITA	SAMN40275121	SRR28235363	SRX23846572	SRP493534	PRJNA1084214	NCBI	PAIRED	Illumina_HiSeq_4000	DNeasy_PowerFood_Microbial_Kit	2/6/2020	4698274299	31494893	75	150.0	145.9375269	151.0	4912	0	1	0	0	no	Hrituraj_Dey
MagliuloR_2024	SRR28235364	food	dairy	cheese	mozzarella		F	ITA	SAMN40275120	SRR28235364	SRX23846571	SRP493534	PRJNA1084214	NCBI	PAIRED	Illumina_HiSeq_4000	DNeasy_PowerFood_Microbial_Kit	2/5/2020	3704774225	24831026	75	150.0	146.6929547	151.0	4206	1	0	0	0	no	Hrituraj_Dey
MagliuloR_2024	SRR28235365	food	dairy	cheese	mozzarella		F	ITA	SAMN40275119	SRR28235365	SRX23846570	SRP493534	PRJNA1084214	NCBI	PAIRED	Illumina_HiSeq_4000	DNeasy_PowerFood_Microbial_Kit	2/4/2020	5111459214	34222479	75	150.0	146.0310268	151.0	4837	4	0	0	0	no	Hrituraj_Dey
