dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
McHughAJ_2020	ERS3128643	food	dairy	milk			NF	IRL	ERS3128643	ERR3143460	ERX3172426	ERP113625	PRJEB31110	NCBI	PAIRED	Illumina_MiSeq	PowerFood		435980976	1736976	251	251.0	251.0	251.0	212	0	0	0	0	no	Niccolò_Carlino
McHughAJ_2020	ERS3128644	food	dairy	milk	whole_milk		NF	IRL	ERS3128644	ERR3143461	ERX3172427	ERP113625	PRJEB31110	NCBI	PAIRED	Illumina_MiSeq	PowerFood		571698684	2277684	251	251.0	251.0	251.0	357	0	0	0	0	no	Niccolò_Carlino
McHughAJ_2020	ERS3128645	food	dairy	milk	whole_milk		NF	IRL	ERS3128645	ERR3143462	ERX3172428	ERP113625	PRJEB31110	NCBI	PAIRED	Illumina_MiSeq	PowerFood		412680646	1644146	251	251.0	251.0	251.0	212	0	0	0	0	no	Niccolò_Carlino
McHughAJ_2020	ERS3128646	food	dairy	milk	skimmed_milk		NF	IRL	ERS3128646	ERR3143463	ERX3172429	ERP113625	PRJEB31110	NCBI	PAIRED	Illumina_MiSeq	PowerFood		417978252	1665252	251	251.0	251.0	251.0	232	0	0	0	0	no	Niccolò_Carlino
McHughAJ_2020	ERS3128647	food	dairy	milk	skimmed_milk		NF	IRL	ERS3128647	ERR3143464	ERX3172430	ERP113625	PRJEB31110	NCBI	PAIRED	Illumina_MiSeq	PowerFood		450894392	1796392	251	251.0	251.0	251.0	209	0	0	0	0	no	Niccolò_Carlino
McHughAJ_2020	ERS3128648	food	dairy	milk	skimmed_milk_powder		NF	IRL	ERS3128648	ERR3143465	ERX3172431	ERP113625	PRJEB31110	NCBI	PAIRED	Illumina_MiSeq	PowerFood		417645426	1663926	251	251.0	251.0	251.0	221	0	0	0	0	no	Niccolò_Carlino
McHughAJ_2020	ERS3128649	food	dairy	milk	skimmed_milk_powder		NF	IRL	ERS3128649	ERR3143466	ERX3172432	ERP113625	PRJEB31110	NCBI	PAIRED	Illumina_MiSeq	PowerFood		387688074	1544574	251	251.0	251.0	251.0	202	0	0	0	0	no	Niccolò_Carlino
McHughAJ_2020	ERS3128650	food	dairy	milk	skimmed_milk_powder		NF	IRL	ERS3128650	ERR3143467	ERX3172433	ERP113625	PRJEB31110	NCBI	PAIRED	Illumina_MiSeq	PowerFood		470958830	1876330	251	251.0	251.0	251.0	242	0	0	0	0	no	Niccolò_Carlino
McHughAJ_2020	ERS3128651	food	dairy	milk			NF	IRL	ERS3128651	ERR3143468	ERX3172434	ERP113625	PRJEB31110	NCBI	PAIRED	Illumina_MiSeq	PowerFood		471080314	1876814	251	251.0	251.0	251.0	271	0	0	0	0	no	Niccolò_Carlino
McHughAJ_2020	ERS3128652	food	dairy	milk	whole_milk		NF	IRL	ERS3128652	ERR3143469	ERX3172435	ERP113625	PRJEB31110	NCBI	PAIRED	Illumina_MiSeq	PowerFood		481268404	1917404	251	251.0	251.0	251.0	452	0	0	0	0	no	Niccolò_Carlino
McHughAJ_2020	ERS3128653	food	dairy	milk	whole_milk		NF	IRL	ERS3128653	ERR3143470	ERX3172436	ERP113625	PRJEB31110	NCBI	PAIRED	Illumina_MiSeq	PowerFood		401027720	1597720	251	251.0	251.0	251.0	365	0	0	0	0	no	Niccolò_Carlino
McHughAJ_2020	ERS3128654	food	dairy	milk	skimmed_milk		NF	IRL	ERS3128654	ERR3143471	ERX3172437	ERP113625	PRJEB31110	NCBI	PAIRED	Illumina_MiSeq	PowerFood		559192860	2227860	251	251.0	251.0	251.0	292	0	0	0	0	no	Niccolò_Carlino
McHughAJ_2020	ERS3128655	food	dairy	milk	skimmed_milk		NF	IRL	ERS3128655	ERR3143472	ERX3172438	ERP113625	PRJEB31110	NCBI	PAIRED	Illumina_MiSeq	PowerFood		525961966	2095466	251	251.0	251.0	251.0	260	0	0	0	0	no	Niccolò_Carlino
McHughAJ_2020	ERS3128656	food	dairy	milk	skimmed_milk_powder		NF	IRL	ERS3128656	ERR3143473	ERX3172439	ERP113625	PRJEB31110	NCBI	PAIRED	Illumina_MiSeq	PowerFood		481616290	1918790	251	251.0	251.0	251.0	194	0	0	0	0	no	Niccolò_Carlino
McHughAJ_2020	ERS3128657	food	dairy	milk	skimmed_milk_powder		NF	IRL	ERS3128657	ERR3143474	ERX3172440	ERP113625	PRJEB31110	NCBI	PAIRED	Illumina_MiSeq	PowerFood		374079356	1490356	251	251.0	251.0	251.0	165	0	0	0	0	no	Niccolò_Carlino
McHughAJ_2020	ERS3128658	food	dairy	milk	skimmed_milk_powder		NF	IRL	ERS3128658	ERR3143475	ERX3172441	ERP113625	PRJEB31110	NCBI	PAIRED	Illumina_MiSeq	PowerFood		498381584	1985584	251	251.0	251.0	251.0	269	0	0	0	0	no	Niccolò_Carlino
