dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
MortensenS_xxxx	WK001-1-L-08h-01F1_S25	food	fermented_beverages	water_kefir	water_kefir_figs_fresh_liquid		F	IRL	SAMN37604468	SRR26215769		SRP463826	PRJNA977472	NCBI	PAIRED	NextSeq_500	PowerSoil		1008398191	7034810	75	150.0	143.79641	151.0	13353	1	4	1	0	no	Niccolò_Carlino
MortensenS_xxxx	WK001-1-L-48h-01F2_S26	food	fermented_beverages	water_kefir	water_kefir_figs_fresh_liquid		F	IRL	SAMN37604469	SRR26216112		SRP463826	PRJNA977472	NCBI	PAIRED	NextSeq_500	PowerSoil		967756928	6705743	75	150.0	144.2405858	151.0	11177	4	3	0	0	no	Niccolò_Carlino
MortensenS_xxxx	WK001-2-G-48h-01C4_S1	food	fermented_beverages	water_kefir	water_kefir_figs_fresh_grain		F	IRL	SAMN37604470	SRR26216101		SRP463826	PRJNA977472	NCBI	PAIRED	NextSeq_500	PowerSoil		950249998	6408625	75	151.0	147.7873084	151.0	12513	0	5	1	0	no	Niccolò_Carlino
MortensenS_xxxx	WK001-2-L-08h-01F3_S27	food	fermented_beverages	water_kefir	water_kefir_figs_fresh_liquid		F	IRL	SAMN37604471	SRR26216090		SRP463826	PRJNA977472	NCBI	PAIRED	NextSeq_500	PowerSoil		1037480756	7293190	75	150.0	142.4800314	151.0	13480	1	4	0	0	no	Niccolò_Carlino
MortensenS_xxxx	WK001-2-L-48h-01F4_S28	food	fermented_beverages	water_kefir	water_kefir_figs_fresh_liquid		F	IRL	SAMN37604472	SRR26215967		SRP463826	PRJNA977472	NCBI	PAIRED	NextSeq_500	PowerSoil		994523453	6896832	75	150.0	144.0565938	151.0	9404	1	6	0	0	no	Niccolò_Carlino
MortensenS_xxxx	WK001T-1-G-00h-05I5_S129	food	fermented_beverages	water_kefir	water_kefir_figs_fresh_grain		F	IRL	SAMN37766187	SRR26348162		SRP465618	PRJNA1023503	NCBI	PAIRED	NextSeq_500	PowerSoil		1190965126	8313138	75	150.0	143.21246	151.0	3139	0	3	0	1	no	Niccolò_Carlino
MortensenS_xxxx	WK001T-1-L-00h-05D3_S82	food	fermented_beverages	water_kefir	water_kefir_figs_fresh_liquid		F	IRL	SAMN37766188	SRR26348151		SRP465618	PRJNA1023503	NCBI	PAIRED	NextSeq_500	PowerSoil		1397356480	9704423	75	150.0	144.135941	151.0	8509	2	2	0	1	no	Niccolò_Carlino
MortensenS_xxxx	WK001T-1-L-02h-05D7_S86	food	fermented_beverages	water_kefir	water_kefir_figs_fresh_liquid		F	IRL	SAMN37766189	SRR26348141		SRP465618	PRJNA1023503	NCBI	PAIRED	NextSeq_500	PowerSoil		928230010	6270151	75	150.0	147.926363	151.0	6650	1	2	0	1	no	Niccolò_Carlino
MortensenS_xxxx	WK001T-1-L-04h-05E2_S90	food	fermented_beverages	water_kefir	water_kefir_figs_fresh_liquid		F	IRL	SAMN37766190	SRR26348140		SRP465618	PRJNA1023503	NCBI	PAIRED	NextSeq_500	PowerSoil		1065157075	7255664	75	150.0	146.7276822	151.0	9669	4	2	0	1	no	Niccolò_Carlino
MortensenS_xxxx	WK001T-1-L-08h-05E6_S94	food	fermented_beverages	water_kefir	water_kefir_figs_fresh_liquid		F	IRL	SAMN37766191	SRR26348139		SRP465618	PRJNA1023503	NCBI	PAIRED	NextSeq_500	PowerSoil		1250203319	8609947	75	150.0	145.2811373	151.0	9328	1	3	0	1	no	Niccolò_Carlino
