dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
MotaGutierrezJ_2021	SRR11602138	food	fermented_seeds	cocoa_beans	cocoa_pulp_bean_mass		F	MEX	SAMN14652849	SRR11602138	SRX8168687	SRP258228	PRJNA627182	NCBI	PAIRED	NextSeq_550	MasterPure_Complete_DNA_and_RNA_purification_kit	2018	4020107362.0	41173476	75	92	92.747809	151	6354	0	1	0	0	no	Liam_Walsh
MotaGutierrezJ_2021	SRR11602139	food	fermented_seeds	cocoa_beans	cocoa_pulp_bean_mass		F	MEX	SAMN14652848	SRR11602139	SRX8168686	SRP258228	PRJNA627182	NCBI	PAIRED	NextSeq_550	MasterPure_Complete_DNA_and_RNA_purification_kit	2018	8519291111.0	63025311	75	149	123.707473	151	16001	6	2	0	0	no	Liam_Walsh
MotaGutierrezJ_2021	SRR11602140	food	fermented_seeds	cocoa_beans	cocoa_pulp_bean_mass		F	MEX	SAMN14652847	SRR11602140	SRX8168685	SRP258228	PRJNA627182	NCBI	PAIRED	NextSeq_550	MasterPure_Complete_DNA_and_RNA_purification_kit	2018	7795580331.0	58353005	75	149	122.783781	151	23090	3	7	0	0	no	Liam_Walsh
MotaGutierrezJ_2021	SRR11602141	food	fermented_seeds	cocoa_beans	cocoa_pulp_bean_mass		F	MEX	SAMN14652846	SRR11602141	SRX8168684	SRP258228	PRJNA627182	NCBI	PAIRED	NextSeq_550	MasterPure_Complete_DNA_and_RNA_purification_kit	2018	6944079751.0	54360227	75	139	117.235531	151	21483	5	2	1	0	no	Liam_Walsh
MotaGutierrezJ_2021	SRR11602142	food	fermented_seeds	cocoa_beans	cocoa_pulp_bean_mass		F	MEX	SAMN14652845	SRR11602142	SRX8168683	SRP258228	PRJNA627182	NCBI	PAIRED	NextSeq_550	MasterPure_Complete_DNA_and_RNA_purification_kit	2018	7864020220.0	59867039	75	148	121.159154	151	23308	6	2	1	1	no	Liam_Walsh
MotaGutierrezJ_2021	SRR11602143	food	fermented_seeds	cocoa_beans	cocoa_pulp_bean_mass		F	MEX	SAMN14652844	SRR11602143	SRX8168682	SRP258228	PRJNA627182	NCBI	PAIRED	NextSeq_550	MasterPure_Complete_DNA_and_RNA_purification_kit	2018	7852521644.0	59761226	75	148	120.916968	151	23996	6	1	1	0	no	Liam_Walsh
MotaGutierrezJ_2021	SRR11602144	food	fermented_seeds	cocoa_beans	cocoa_pulp_bean_mass		F	MEX	SAMN14652843	SRR11602144	SRX8168681	SRP258228	PRJNA627182	NCBI	PAIRED	NextSeq_550	MasterPure_Complete_DNA_and_RNA_purification_kit	2018	7487327664.0	60581290	75	128	112.292767	151	29474	9	1	1	0	no	Liam_Walsh
MotaGutierrezJ_2021	SRR11602145	food	fermented_seeds	cocoa_beans	cocoa_pulp_bean_mass		F	MEX	SAMN14652842	SRR11602145	SRX8168680	SRP258228	PRJNA627182	NCBI	PAIRED	NextSeq_550	MasterPure_Complete_DNA_and_RNA_purification_kit	2018	7627497763.0	59516318	75	140	114.420167	151	24395	6	6	0	0	no	Liam_Walsh
MotaGutierrezJ_2021	SRR11602146	food	fermented_seeds	cocoa_beans	cocoa_pulp_bean_mass		F	MEX	SAMN14652859	SRR11602146	SRX8168679	SRP258228	PRJNA627182	NCBI	PAIRED	NextSeq_550	MasterPure_Complete_DNA_and_RNA_purification_kit	2018	7001876614.0	49025347	75	150	136.316642	151	9594	0	3	0	0	no	Liam_Walsh
MotaGutierrezJ_2021	SRR11602147	food	fermented_seeds	cocoa_beans	cocoa_pulp_bean_mass		F	MEX	SAMN14652858	SRR11602147	SRX8168678	SRP258228	PRJNA627182	NCBI	PAIRED	NextSeq_550	MasterPure_Complete_DNA_and_RNA_purification_kit	2018	9209845277.0	69973525	75	148	119.303205	151	25750	4	3	1	0	no	Liam_Walsh
MotaGutierrezJ_2021	SRR11602148	food	fermented_seeds	cocoa_beans	cocoa_pulp_bean_mass		F	MEX	SAMN14652857	SRR11602148	SRX8168677	SRP258228	PRJNA627182	NCBI	PAIRED	NextSeq_550	MasterPure_Complete_DNA_and_RNA_purification_kit	2018	8351961394.0	60785631	75	150	128.726972	151	22937	3	6	1	1	no	Liam_Walsh
MotaGutierrezJ_2021	SRR11602149	food	fermented_seeds	cocoa_beans	cocoa_pulp_bean_mass		F	MEX	SAMN14652856	SRR11602149	SRX8168676	SRP258228	PRJNA627182	NCBI	PAIRED	NextSeq_550	MasterPure_Complete_DNA_and_RNA_purification_kit	2018	9111261494.0	66873165	75	150	124.811066	151	34057	6	5	1	0	no	Liam_Walsh
MotaGutierrezJ_2021	SRR11602150	food	fermented_seeds	cocoa_beans	cocoa_pulp_bean_mass		F	MEX	SAMN14652855	SRR11602150	SRX8168675	SRP258228	PRJNA627182	NCBI	PAIRED	NextSeq_550	MasterPure_Complete_DNA_and_RNA_purification_kit	2018	8148674489.0	59873136	75	149	126.440497	151	21561	4	6	1	1	no	Liam_Walsh
MotaGutierrezJ_2021	SRR11602151	food	fermented_seeds	cocoa_beans	cocoa_pulp_bean_mass		F	MEX	SAMN14652854	SRR11602151	SRX8168674	SRP258228	PRJNA627182	NCBI	PAIRED	NextSeq_550	MasterPure_Complete_DNA_and_RNA_purification_kit	2018	7499233005.0	56581830	75	149	123.072802	151	39213	2	2	1	0	no	Liam_Walsh
MotaGutierrezJ_2021	SRR11602152	food	fermented_seeds	cocoa_beans	cocoa_pulp_bean_mass		F	MEX	SAMN14652853	SRR11602152	SRX8168673	SRP258228	PRJNA627182	NCBI	PAIRED	NextSeq_550	MasterPure_Complete_DNA_and_RNA_purification_kit	2018	7881782352.0	58224327	75	149	126.726653	151	34693	2	3	2	0	no	Liam_Walsh
MotaGutierrezJ_2021	SRR11602153	food	fermented_seeds	cocoa_beans	cocoa_pulp_bean_mass		F	MEX	SAMN14652852	SRR11602153	SRX8168672	SRP258228	PRJNA627182	NCBI	PAIRED	NextSeq_550	MasterPure_Complete_DNA_and_RNA_purification_kit	2018	10649880373.0	79943619	75	149	119.06586	151	24219	6	4	0	0	no	Liam_Walsh
MotaGutierrezJ_2021	SRR11602154	food	fermented_seeds	cocoa_beans	cocoa_pulp_bean_mass		F	MEX	SAMN14652851	SRR11602154	SRX8168671	SRP258228	PRJNA627182	NCBI	PAIRED	NextSeq_550	MasterPure_Complete_DNA_and_RNA_purification_kit	2018	8844110708.0	63357141	75	150	128.701544	151	29088	7	4	0	0	no	Liam_Walsh
MotaGutierrezJ_2021	SRR11602155	food	fermented_seeds	cocoa_beans	cocoa_pulp_bean_mass		F	MEX	SAMN14652850	SRR11602155	SRX8168670	SRP258228	PRJNA627182	NCBI	PAIRED	NextSeq_550	MasterPure_Complete_DNA_and_RNA_purification_kit	2018	9125453809.0	66871427	75	149	125.217948	151	20759	7	1	1	0	no	Liam_Walsh
MotaGutierrezJ_2021	SRR11602156	food	fermented_seeds	cocoa_beans	cocoa_pulp_bean_mass		F	MEX	SAMN14652841	SRR11602156	SRX8168669	SRP258228	PRJNA627182	NCBI	PAIRED	NextSeq_550	MasterPure_Complete_DNA_and_RNA_purification_kit	2018	13666368719.0	95547925	75	150	134.531129	151	12146	6	2	0	0	no	Liam_Walsh
MotaGutierrezJ_2021	SRR11602157	food	fermented_seeds	cocoa_beans	cocoa_pulp_bean_mass		F	MEX	SAMN14652840	SRR11602157	SRX8168668	SRP258228	PRJNA627182	NCBI	PAIRED	NextSeq_550	MasterPure_Complete_DNA_and_RNA_purification_kit	2018	12358867176.0	86948825	75	150	132.631585	151	18616	4	1	0	0	no	Liam_Walsh
