sample	MotaGutierrezJ_2021__SRR11602138	MotaGutierrezJ_2021__SRR11602139	MotaGutierrezJ_2021__SRR11602140	MotaGutierrezJ_2021__SRR11602141	MotaGutierrezJ_2021__SRR11602142	MotaGutierrezJ_2021__SRR11602143	MotaGutierrezJ_2021__SRR11602144	MotaGutierrezJ_2021__SRR11602145	MotaGutierrezJ_2021__SRR11602146	MotaGutierrezJ_2021__SRR11602147	MotaGutierrezJ_2021__SRR11602148	MotaGutierrezJ_2021__SRR11602149	MotaGutierrezJ_2021__SRR11602150	MotaGutierrezJ_2021__SRR11602151	MotaGutierrezJ_2021__SRR11602152	MotaGutierrezJ_2021__SRR11602153	MotaGutierrezJ_2021__SRR11602154	MotaGutierrezJ_2021__SRR11602155	MotaGutierrezJ_2021__SRR11602156	MotaGutierrezJ_2021__SRR11602157
macrocategory	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food
category	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds
type	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans
subtype	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass
country	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX
source	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_pasteurianus|t__SGB1197	54.02391	49.68114	18.82443	17.41392	0.39153	0.09383	0.10101	40.55934	59.46885	29.49339	9.35794	26.68573	0.90621	2.86552	0.19086	44.34958	29.61735	42.06942	39.22137	56.62843
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_pasteurianus|t__SGB1196	38.1487	31.39064	13.69014	16.67134	0.46884	0.04717	0.11707	24.6377	34.63858	25.00813	8.16243	18.5336	1.0353	3.6174	0.23432	29.44422	18.52866	30.85317	54.47915	25.6436
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus_fermentum|t__SGB7106	1.36605	0.04534	0.06335	3.9258	0.01753	0.00585	0.00139	0.62084	0.1382	0.86595	0.00845	0.17154	0.01002	0.02535	0.0	0.23325	0.14718	1.43939	0.15867	0.00756
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Liquorilactobacillus|s__Liquorilactobacillus_cacaonum|t__SGB7075	1.14965	1.38518	10.44056	15.29109	19.56545	64.23669	27.76115	0.03767	0.91258	16.56744	14.4593	6.58927	16.29169	44.7461	24.77347	0.05363	6.80183	6.69122	0.7762	0.55324
