dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
ParkJW_2025	ERR13590170	food	fruits_and_vegetables	asparagus broccoli	Brassica_oleracea_var._italica		NF	KOR	SAMEA115947783	ERR13590170	ERX12960955	ERP163492	PRJEB79316	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2019-09-30	17400187980.0	115960710.0	75.0	150.0	146.37816187366667	151	122162.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
ParkJW_2025	ERR13590171	food	fruits_and_vegetables	asparagus broccoli	Brassica_oleracea_var._italica		NF	KOR	SAMEA115947784	ERR13590171	ERX12960956	ERP163492	PRJEB79316	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2020-05-13	3401342327.0	22791527.0	75.0	150.0	149.24700712766665	151	29816.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
ParkJW_2025	ERR13590172	food	fruits_and_vegetables	asparagus broccoli	Brassica_oleracea_var._italica		NF	KOR	SAMEA115947785	ERR13590172	ERX12960957	ERP163492	PRJEB79316	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2020-03-30	3093875176.0	20713622.0	75.0	150.0	149.368532009	151	29923.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
ParkJW_2025	ERR13590173	food	fruits_and_vegetables	asparagus broccoli	Brassica_oleracea_var._italica		NF	KOR	SAMEA115947786	ERR13590173	ERX12960958	ERP163492	PRJEB79316	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2020-05-10	3217266544.0	21536863.0	75.0	150.0	149.371947294	151	46451.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
ParkJW_2025	ERR13590174	food	fruits_and_vegetables	asparagus broccoli	Brassica_oleracea_var._italica		NF	KOR	SAMEA115947787	ERR13590174	ERX12960959	ERP163492	PRJEB79316	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2021-03-05	2913220776.0	19449402.0	75.0	150.0	145.04380831733332	151	22282.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
ParkJW_2025	ERR13590175	food	fruits_and_vegetables	asparagus broccoli	Brassica_oleracea_var._italica		NF	KOR	SAMEA115947788	ERR13590175	ERX12960960	ERP163492	PRJEB79316	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2021-07-20	4842400267.0	32417055.0	75.0	150.0	128.9130232736	151	92250.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
ParkJW_2025	ERR13590176	food	fruits_and_vegetables	asparagus broccoli	Brassica_oleracea_var._italica		NF	KOR	SAMEA115947789	ERR13590176	ERX12960961	ERP163492	PRJEB79316	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2021-03-29	3269716571.0	21809908.0	75.0	150.0	145.28205601366665	151	791.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
ParkJW_2025	ERR13590177	food	fruits_and_vegetables	asparagus broccoli	Brassica_oleracea_var._italica		NF	KOR	SAMEA115947790	ERR13590177	ERX12960962	ERP163492	PRJEB79316	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2021-07-22	5518315825.0	36904691.0	75.0	150.0	128.97885018056667	151	24517.0	1.0	0.0	0.0	0.0	no	Hrituraj Dey
ParkJW_2025	ERR13590178	food	fruits_and_vegetables	shiso-zoku	Perilla_frutescens		NF	KOR	SAMEA115947791	ERR13590178	ERX12960963	ERP163492	PRJEB79316	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2019-09-30	5026738895.0	33507814.0	75.0	150.0	145.43282905766665	151	80512.0	1.0	2.0	0.0	0.0	no	Hrituraj Dey
ParkJW_2025	ERR13590179	food	fruits_and_vegetables	shiso-zoku	Perilla_frutescens		NF	KOR	SAMEA115947792	ERR13590179	ERX12960964	ERP163492	PRJEB79316	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2020-03-24	5953137477.0	39818984.0	75.0	150.0	149.49167384	151	197038.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
ParkJW_2025	ERR13590180	food	fruits_and_vegetables	shiso-zoku	Perilla_frutescens		NF	KOR	SAMEA115947793	ERR13590180	ERX12960965	ERP163492	PRJEB79316	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2020-02-12	6524747556.0	43550065.0	75.0	150.0	140.125330452	151	2542.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
ParkJW_2025	ERR13590181	food	fruits_and_vegetables	shiso-zoku	Perilla_frutescens		NF	KOR	SAMEA115947794	ERR13590181	ERX12960966	ERP163492	PRJEB79316	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2020-02-19	6712920240.0	44774828.0	75.0	150.0	141.231745631	151	8904.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
ParkJW_2025	ERR13590182	food	fruits_and_vegetables	shiso-zoku	Perilla_frutescens		NF	KOR	SAMEA115947795	ERR13590182	ERX12960967	ERP163492	PRJEB79316	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2021-04-19	3101796388.0	20667707.0	75.0	150.0	148.37273598599998	151	4663.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
ParkJW_2025	ERR13590183	food	fruits_and_vegetables	spinach	Spinacia_oleracea		NF	KOR	SAMEA115947796	ERR13590183	ERX12960968	ERP163492	PRJEB79316	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2020-02-03	6581515282.0	43868972.0	75.0	150.0	143.70631721499998	151	8641.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
ParkJW_2025	ERR13590184	food	fruits_and_vegetables	spinach	Spinacia_oleracea		NF	KOR	SAMEA115947797	ERR13590184	ERX12960969	ERP163492	PRJEB79316	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2020-02-14	6053573934.0	40351173.0	75.0	150.0	141.41914428566665	151	8675.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
ParkJW_2025	ERR13590185	food	fruits_and_vegetables	spinach	Spinacia_oleracea		NF	KOR	SAMEA115947798	ERR13590185	ERX12960970	ERP163492	PRJEB79316	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2020-02-15	7327147709.0	48818535.0	75.0	150.0	143.65730021599998	151	8001.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
ParkJW_2025	ERR13590186	food	fruits_and_vegetables	spinach	Spinacia_oleracea		NF	KOR	SAMEA115947799	ERR13590186	ERX12960971	ERP163492	PRJEB79316	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2021-04-05	4305131327.0	28751655.0	75.0	150.0	144.99657928133334	151	1094.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
ParkJW_2025	ERR13590187	food	fruits_and_vegetables	spinach	Spinacia_oleracea		NF	KOR	SAMEA115947800	ERR13590187	ERX12960972	ERP163492	PRJEB79316	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2021-03-31	3135314102.0	20918825.0	75.0	150.0	144.75365157399995	151	1262.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
ParkJW_2025	ERR13590188	food	fruits_and_vegetables	spinach	Spinacia_oleracea		NF	KOR	SAMEA115947801	ERR13590188	ERX12960973	ERP163492	PRJEB79316	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2021-04-21	5033079672.0	33520637.0	75.0	150.0	146.814453985	151	2009.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
ParkJW_2025	ERR13590189	food	fruits_and_vegetables	cultivated lettuce	lettuce		NF	KOR	SAMEA115947802	ERR13590189	ERX12960974	ERP163492	PRJEB79316	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2019-08-05	5692828760.0	37949261.0	75.0	150.0	144.74758100266666	151	19048.0	1.0	2.0	0.0	0.0	no	Hrituraj Dey
ParkJW_2025	ERR13590190	food	fruits_and_vegetables	cultivated lettuce	lettuce		NF	KOR	SAMEA115947803	ERR13590190	ERX12960975	ERP163492	PRJEB79316	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2019-08-05	5841348260.0	38962531.0	75.0	150.0	143.38911823933333	151	20530.0	3.0	0.0	0.0	0.0	no	Hrituraj Dey
