sample	PasolliE_2020__SRS6525485	PasolliE_2020__SRS6525484	PasolliE_2020__SRS6525483	PasolliE_2020__SRS6525482	PasolliE_2020__SRS6525481	PasolliE_2020__SRS6525480	PasolliE_2020__SRS6525479	PasolliE_2020__SRS6525478	PasolliE_2020__SRS6525477	PasolliE_2020__SRS6525476	PasolliE_2020__SRS6525475	PasolliE_2020__SRS6525474	PasolliE_2020__SRS6525473	PasolliE_2020__SRS6525472	PasolliE_2020__SRS6525471	PasolliE_2020__SRS6525470
macrocategory	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food
category	dairy	dairy	dairy	dairy	dairy	dairy	probiotics	probiotics	dairy	dairy	dairy	dairy	dairy	dairy	probiotics	probiotics
type	yogurt	yogurt	yogurt	yogurt	yogurt	yogurt	probiotics	probiotics	yogurt	yogurt	yogurt	yogurt	yogurt	yogurt	probiotics	probiotics
subtype																
country	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA	ITA
source	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis|t__SGB17278	0	0	0	0	0	6.51821	12.05774	16.26323	0	0	0	0	0	0.18549	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve|t__SGB17247	0	0	0	0	0	0.01367	0	35.15899	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__SGB17248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.26769
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_stationis|t__SGB17128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00761	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides_lijunqiniae|t__SGB87647	0	0	0.03972	0.0112	0	0	0	0	0	0	0.0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__SGB1836	0	0	0.00017	0.0	0	0	0	0	0	0	0.00077	0	0	0	0	0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_thermophilus|t__SGB17566	0	0	0	0	0	0.00311	0	0	0	0	0	0	0	0	0.0	0.0
