dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	Part_of_cheese	Milk_source	Animal_feeding	Milk_processing	Thermisation	Pasteurization	Skimming	Inoculation_of_moulds	Curd_cutting	Presence_of_rind	Backslopping	Starter_culture	Technology_of_production	Coagulation_method	Ripening_period	Rheological_properties	Temperature_of_curd_processing_Celsius_degree	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
PfeferT_xxxx	SRS2870567	food	dairy	cheese	cheddar_cheese_spiked_with_ecoli		F	Core	Cow		Pasteurized	No	Yes				Yes	No	Selected		Rennet	1_to_3_months	Hard		USA	SRS2870567	SRR6514690	SRX3602645	SRP131494	PRJNA430402	NCBI	SINGLE	NextSeq_550			2093459857	14019022	35	151.0	149.3299502	151.0	7577	2	1	0	0	no	Niccolò_Carlino
PfeferT_xxxx	SRS2870568	food	dairy	cheese	cheddar_cheese_spiked_with_ecoli		F	Core	Cow		Pasteurized	No	Yes				Yes	No	Selected		Rennet	1_to_3_months	Hard		USA	SRS2870568	SRR6514689	SRX3602646	SRP131494	PRJNA430402	NCBI	SINGLE	NextSeq_550			2926800492	19447812	35	151.0	150.4951041	151.0	5507	1	1	0	0	no	Niccolò_Carlino
PfeferT_xxxx	SRS2870569	food	dairy	cheese	cheddar_cheese_spiked_with_ecoli		F	Core	Cow		Pasteurized	No	Yes				Yes	No	Selected		Rennet	1_to_3_months	Hard		USA	SRS2870569	SRR6514688	SRX3602647	SRP131494	PRJNA430402	NCBI	SINGLE	NextSeq_550			1931813404	12839552	35	151.0	150.4580069	151.0	5570	1	2	0	0	no	Niccolò_Carlino
PfeferT_xxxx	SRS2870570	food	dairy	cheese	cheddar_cheese_spiked_with_ecoli		F	Core	Cow		Pasteurized	No	Yes				Yes	No	Selected		Rennet	1_to_3_months	Hard		USA	SRS2870570	SRR6514686	SRX3602649	SRP131494	PRJNA430402	NCBI	SINGLE	NextSeq_550			732625964	5333796	35	151.0	137.3554527	151.0	558	1	0	0	0	no	Niccolò_Carlino
PfeferT_xxxx	SRS2870571	food	dairy	cheese	cheddar_cheese_spiked_with_ecoli		F	Core	Cow		Pasteurized	No	Yes				Yes	No	Selected		Rennet	1_to_3_months	Hard		USA	SRS2870571	SRR6514687	SRX3602648	SRP131494	PRJNA430402	NCBI	SINGLE	NextSeq_550			2403034453	15969706	35	151.0	150.4745581	151.0	7178	1	1	0	0	no	Niccolò_Carlino
PfeferT_xxxx	SRS2870572	food	dairy	cheese	cheddar_cheese_spiked_with_ecoli		F	Core	Cow		Pasteurized	No	Yes				Yes	No	Selected		Rennet	1_to_3_months	Hard		USA	SRS2870572	SRR6514685	SRX3602650	SRP131494	PRJNA430402	NCBI	SINGLE	NextSeq_550			766390183	5106734	35	151.0	150.0744278	151.0	1029	1	0	0	0	no	Niccolò_Carlino
PfeferT_xxxx	SRS2870573	food	dairy	cheese	cheddar_cheese_spiked_with_ecoli		F	Core	Cow		Pasteurized	No	Yes				Yes	No	Selected		Rennet	1_to_3_months	Hard		USA	SRS2870573	SRR6514684	SRX3602651	SRP131494	PRJNA430402	NCBI	SINGLE	NextSeq_550			1002980003	6670402	35	151.0	150.3627522	151.0	901	1	0	0	0	no	Niccolò_Carlino
PfeferT_xxxx	SRS2870574	food	dairy	cheese	cheddar_cheese_spiked_with_ecoli		F	Core	Cow		Pasteurized	No	Yes				Yes	No	Selected		Rennet	1_to_3_months	Hard		USA	SRS2870574	SRR6514683	SRX3602652	SRP131494	PRJNA430402	NCBI	SINGLE	NextSeq_550			948467417	6316054	35	151.0	150.1677182	151.0	937	1	0	0	0	no	Niccolò_Carlino
PfeferT_xxxx	SRS2870575	food	dairy	cheese	cheddar_cheese_spiked_with_ecoli		F	Core	Cow		Pasteurized	No	Yes				Yes	No	Selected		Rennet	1_to_3_months	Hard		USA	SRS2870575	SRR6514682	SRX3602653	SRP131494	PRJNA430402	NCBI	SINGLE	NextSeq_550			798940299	5321864	35	151.0	150.124148	151.0	906	1	0	0	0	no	Niccolò_Carlino
PfeferT_xxxx	SRS2870576	food	dairy	cheese	cheddar_cheese_spiked_with_ecoli		F	Core	Cow		Pasteurized	No	Yes				Yes	No	Selected		Rennet	1_to_3_months	Hard		USA	SRS2870576	SRR6514680	SRX3602655	SRP131494	PRJNA430402	NCBI	SINGLE	NextSeq_550			848000481	5648114	35	151.0	150.1386978	151.0	1035	1	0	0	0	no	Niccolò_Carlino
PfeferT_xxxx	SRS2870577	food	dairy	cheese	cheddar_cheese_spiked_with_ecoli		F	Core	Cow		Pasteurized	No	Yes				Yes	No	Selected		Rennet	1_to_3_months	Hard		USA	SRS2870577	SRR6514681	SRX3602654	SRP131494	PRJNA430402	NCBI	SINGLE	NextSeq_550			645032537	4292288	35	151.0	150.277087	151.0	650	1	0	0	0	no	Niccolò_Carlino
PfeferT_xxxx	SRS2870578	food	dairy	cheese	cheddar_cheese_spiked_with_ecoli		F	Core	Cow		Pasteurized	No	Yes				Yes	No	Selected		Rennet	1_to_3_months	Hard		USA	SRS2870578	SRR6514679	SRX3602656	SRP131494	PRJNA430402	NCBI	SINGLE	NextSeq_550			902245057	6004150	35	151.0	150.2702393	151.0	1004	1	0	0	0	no	Niccolò_Carlino
PfeferT_xxxx	SRS2870579	food	dairy	cheese	cheddar_cheese_spiked_with_ecoli		F	Core	Cow		Pasteurized	No	Yes				Yes	No	Selected		Rennet	1_to_3_months	Hard		USA	SRS2870579	SRR6514678	SRX3602657	SRP131494	PRJNA430402	NCBI	SINGLE	NextSeq_550			2396571567	15976082	35	151.0	150.0099691	151.0	7255	1	1	0	0	no	Niccolò_Carlino
PfeferT_xxxx	SRS2870580	food	dairy	cheese	cheddar_cheese_spiked_with_ecoli		F	Core	Cow		Pasteurized	No	Yes				Yes	No	Selected		Rennet	1_to_3_months	Hard		USA	SRS2870580	SRR6514677	SRX3602658	SRP131494	PRJNA430402	NCBI	SINGLE	NextSeq_550			801434195	5330096	35	151.0	150.3601802	151.0	990	1	0	0	0	no	Niccolò_Carlino
PfeferT_xxxx	SRS2870581	food	dairy	cheese	cheddar_cheese_spiked_with_ecoli		F	Core	Cow		Pasteurized	No	Yes				Yes	No	Selected		Rennet	1_to_3_months	Hard		USA	SRS2870581	SRR6514676	SRX3602659	SRP131494	PRJNA430402	NCBI	SINGLE	NextSeq_550			923873692	6146960	35	151.0	150.297658	151.0	1021	1	0	0	0	no	Niccolò_Carlino
PfeferT_xxxx	SRS2870582	food	dairy	cheese	cheddar_cheese_spiked_with_ecoli		F	Core	Cow		Pasteurized	No	Yes				Yes	No	Selected		Rennet	1_to_3_months	Hard		USA	SRS2870582	SRR6514675	SRX3602660	SRP131494	PRJNA430402	NCBI	SINGLE	NextSeq_550			891033211	5924276	35	151.0	150.4037305	151.0	1044	1	0	0	0	no	Niccolò_Carlino
PfeferT_xxxx	SRS2870583	food	dairy	cheese	cheddar_cheese_spiked_with_ecoli		F	Core	Cow		Pasteurized	No	Yes				Yes	No	Selected		Rennet	1_to_3_months	Hard		USA	SRS2870583	SRR6514674	SRX3602661	SRP131494	PRJNA430402	NCBI	SINGLE	NextSeq_550			915983928	6094324	35	151.0	150.3011537	151.0	1278	2	0	0	0	no	Niccolò_Carlino
PfeferT_xxxx	SRS2870584	food	dairy	cheese	cheddar_cheese_spiked_with_ecoli		F	Core	Cow		Pasteurized	No	Yes				Yes	No	Selected		Rennet	1_to_3_months	Hard		USA	SRS2870584	SRR6514673	SRX3602662	SRP131494	PRJNA430402	NCBI	SINGLE	NextSeq_550			817036496	5434758	35	151.0	150.335396	151.0	1040	1	0	0	0	no	Niccolò_Carlino
PfeferT_xxxx	SRS2870585	food	dairy	cheese	cheddar_cheese_spiked_with_ecoli		F	Core	Cow		Pasteurized	No	Yes				Yes	No	Selected		Rennet	1_to_3_months	Hard		USA	SRS2870585	SRR6514672	SRX3602663	SRP131494	PRJNA430402	NCBI	SINGLE	NextSeq_550			876797954	5829686	35	151.0	150.4022608	151.0	931	1	0	0	0	no	Niccolò_Carlino
PfeferT_xxxx	SRS2870586	food	dairy	cheese	cheddar_cheese_spiked_with_ecoli		F	Core	Cow		Pasteurized	No	Yes				Yes	No	Selected		Rennet	1_to_3_months	Hard		USA	SRS2870586	SRR6514671	SRX3602664	SRP131494	PRJNA430402	NCBI	SINGLE	NextSeq_550			835785937	5558818	35	151.0	150.3531753	151.0	1008	1	0	0	0	no	Niccolò_Carlino
PfeferT_xxxx	SRS2870587	food	dairy	cheese	cheddar_cheese_spiked_with_ecoli		F	Core	Cow		Pasteurized	No	Yes				Yes	No	Selected		Rennet	1_to_3_months	Hard		USA	SRS2870587	SRR6514670	SRX3602665	SRP131494	PRJNA430402	NCBI	SINGLE	NextSeq_550			867689950	5771716	35	151.0	150.3348311	151.0	994	0	0	0	0	no	Niccolò_Carlino
