sample	PfeferT_xxxx__SRS2870567	PfeferT_xxxx__SRS2870568	PfeferT_xxxx__SRS2870569	PfeferT_xxxx__SRS2870570	PfeferT_xxxx__SRS2870571	PfeferT_xxxx__SRS2870572	PfeferT_xxxx__SRS2870573	PfeferT_xxxx__SRS2870574	PfeferT_xxxx__SRS2870575	PfeferT_xxxx__SRS2870576	PfeferT_xxxx__SRS2870577	PfeferT_xxxx__SRS2870578	PfeferT_xxxx__SRS2870579	PfeferT_xxxx__SRS2870580	PfeferT_xxxx__SRS2870581	PfeferT_xxxx__SRS2870582	PfeferT_xxxx__SRS2870583	PfeferT_xxxx__SRS2870584	PfeferT_xxxx__SRS2870585	PfeferT_xxxx__SRS2870586	PfeferT_xxxx__SRS2870587	PfeferT_xxxx__SRS2870588	PfeferT_xxxx__SRS2870589	PfeferT_xxxx__SRS2870590	PfeferT_xxxx__SRS2870591	PfeferT_xxxx__SRS2870592	PfeferT_xxxx__SRS2870593	PfeferT_xxxx__SRS2870594	PfeferT_xxxx__SRS2870595	PfeferT_xxxx__SRS2870596	PfeferT_xxxx__SRS2870597	PfeferT_xxxx__SRS2870598	PfeferT_xxxx__SRS2870599	PfeferT_xxxx__SRS2870600	PfeferT_xxxx__SRS2870601	PfeferT_xxxx__SRS2870602
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_cremoris|t__SGB7984	0.0	0.0	0.0	1.57957	0.0	3.16328	2.97961	3.20031	1.77565	1.87678	1.57433	1.83939	0.00587	2.6001	2.41529	2.26614	2.60252	2.32723	2.76819	2.27821	2.46534	1.96176	1.64784	0.0	0.0	0.0	0.0	0.00595	0.00545	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__SGB7985	23.22736	4.42474	3.66039	97.70987	3.96012	95.96704	96.36832	96.02909	97.57677	97.20752	97.92823	97.55983	26.09734	96.85705	97.06673	97.013	96.19071	97.01069	96.87481	97.143	97.17777	97.45499	98.00695	5.03377	4.45618	26.35792	13.54656	14.73956	40.62083	22.5545	13.27658	5.02049	12.31613	6.59843	4.28154	5.21854
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_hormaechei|t__SGB10130	4.64858	0.58821	1.64637	0.0	0.90918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.08548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.75036	1.66906	3.29596	0.80014	1.54729	0.77812	2.00553	0.25019	0.86301	0.98786	9.02482	1.90125	8.56293
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_grimontii|t__SGB10120	7.6975	1.07497	1.65042	0.0	1.20769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.69111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.48923	1.80675	6.75619	9.86723	3.71078	0.23265	2.43786	2.89458	4.44105	2.15469	4.76253	3.7968	1.34778
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Hafnia|s__Hafnia_paralvei|t__SGB10207	0.66305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36323	0.54681	0.67103	0.26116	0.63642	0.10536	0.0	0.27229	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Latilactobacillus|s__Latilactobacillus_curvatus|t__SGB7249	2.91698	0.17286	0.15922	0.14334	0.07168	0.08877	0.05453	0.15715	0.12238	0.22688	0.06154	0.12433	3.64708	0.07055	0.11296	0.17051	0.21016	0.07889	0.05905	0.09052	0.04497	0.12826	0.03366	0.59878	0.33283	2.12074	1.98847	2.83363	2.80864	2.55032	2.2216	0.51217	2.87961	0.61242	0.90857	0.38968
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_oxytoca|t__SGB10118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13616	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__SGB10068	55.04583	93.32761	87.24374	0.0	90.90213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.29772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.7547	90.45775	56.50157	70.67979	75.65211	53.45657	67.64934	80.20165	85.44632	80.96507	76.73567	87.0797	72.69225
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae|t__SGB10115_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9182	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_kobei|t__SGB10133	2.26286	0.22692	5.05874	0.0	2.42255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04866	0.91842	2.3608	0.88633	0.24856	0.14915	1.02353	0.5254	2.2027	0.12838	0.78473	1.45895	11.1471
