sample	PorcellatoD_2016__3m-4_S8	PorcellatoD_2016__3m-3_S6	PorcellatoD_2016__3m-2_S4	PorcellatoD_2016__3m-1_S2	PorcellatoD_2016__24h-4_S7	PorcellatoD_2016__24h-3_S5	PorcellatoD_2016__24h-2_S3	PorcellatoD_2016__24h-1_S1	PorcellatoD_2016__1m-4_S12	PorcellatoD_2016__1m-3_S11	PorcellatoD_2016__1m-2_S10	PorcellatoD_2016__1m-1_S9
macrocategory	food	food	food	food	food	food	food	food	food	food	food	food
category	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy
type	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese
subtype	dutch-type_cheese	dutch-type_cheese	dutch-type_cheese	dutch-type_cheese	dutch-type_cheese	dutch-type_cheese	dutch-type_cheese	dutch-type_cheese	dutch-type_cheese	dutch-type_cheese	dutch-type_cheese	dutch-type_cheese
country	NOR	NOR	NOR	NOR	NOR	NOR	NOR	NOR	NOR	NOR	NOR	NOR
source	public	public	public	public	public	public	public	public	public	public	public	public
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Lawsonellaceae|g__GGB2722|s__GGB2722_SGB3663|t__SGB3663	0	0	0	0	0	0	0	0.04685	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes|t__SGB16955	0	0	0	0	0	0	0	0.0095	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_mesenteroides|t__SGB7126	0.0	0.0241	0.0	0.0	0.03831	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_pseudomesenteroides|t__SGB7124	2.84956	6.17464	4.03382	1.31439	0.41156	0.45288	0.19002	0.02399	2.10545	2.04228	1.08561	1.02539
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Paucilactobacillus|s__Paucilactobacillus_nenjiangensis|t__SGB49082	1.19418	1.41204	1.51543	0.46392	0.0	0.0	0.0	0.0	1.04303	0.60626	0.52629	0.37364
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_cremoris|t__SGB7984	92.91143	85.99523	86.65446	92.24425	93.17136	93.50367	92.67763	91.8853	92.5865	91.99536	94.62027	94.65432
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__SGB7985	2.89502	5.93626	7.15248	5.88325	6.27343	5.89924	7.07747	7.95161	4.26502	5.35609	3.63645	3.87417
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_laudensis|t__SGB7991	0.14981	0.35485	0.64382	0.0942	0.10533	0.14421	0.05488	0.08275	0.0	0.0	0.13138	0.07247
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus|t__SGB8002	0.0	0.10289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
