dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
QuT_2024	SRR25934520	food	dairy	milk	cow_milk		NF	CHN	SAMN37307542	SRR25934520	SRX21653402	SRP458952	PRJNA1013682	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2022-04-02	5671000346.0	38098032.0	75.0	149.0	145.26229017233334	150	2601.0	1.0	0.0	0.0	0.0	no	Hrituraj Dey
QuT_2024	SRR25934521	food	dairy	milk	cow_milk		NF	CHN	SAMN37307541	SRR25934521	SRX21653401	SRP458952	PRJNA1013682	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2022-04-02	6744018520.0	45197428.0	75.0	150.0	148.08892992066663	150	332.0	1.0	0.0	0.0	0.0	no	Hrituraj Dey
QuT_2024	SRR25934522	food	dairy	milk	bos_mutus		NF	CHN	SAMN37307540	SRR25934522	SRX21653400	SRP458952	PRJNA1013682	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2022-04-03	6487268234.0	43517895.0	75.0	149.0	145.80948611133337	150	449.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
QuT_2024	SRR25934523	food	dairy	milk	cow_milk		NF	CHN	SAMN37307539	SRR25934523	SRX21653399	SRP458952	PRJNA1013682	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2022-04-03	6719230067.0	45029730.0	75.0	150.0	148.26495173600003	150	757.0	1.0	0.0	0.0	0.0	no	Hrituraj Dey
QuT_2024	SRR25934524	food	dairy	milk	cow_milk		NF	CHN	SAMN37307538	SRR25934524	SRX21653398	SRP458952	PRJNA1013682	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2022-04-02	8027054817.0	53793856.0	75.0	150.0	147.98281114099998	150	466.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
QuT_2024	SRR25934525	food	dairy	milk	cow_milk		NF	CHN	SAMN37307537	SRR25934525	SRX21653397	SRP458952	PRJNA1013682	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2022-04-03	6844058027.0	45873616.0	75.0	149.0	148.06649764733334	150	280.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
QuT_2024	SRR25934526	food	dairy	milk	goat_milk		NF	CHN	SAMN37307536	SRR25934526	SRX21653396	SRP458952	PRJNA1013682	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2022-04-03	6090151405.0	40825102.0	75.0	150.0	147.76126621433332	150	2905.0	4.0	0.0	0.0	0.0	no	Hrituraj Dey
QuT_2024	SRR25934527	food	dairy	milk	cow_milk		NF	CHN	SAMN37307554	SRR25934527	SRX21653395	SRP458952	PRJNA1013682	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2022-04-02	6450331795.0	43224611.0	75.0	150.0	148.29503031833335	150	1892.0	2.0	1.0	0.0	0.0	no	Hrituraj Dey
QuT_2024	SRR25934528	food	dairy	milk	goat_milk		NF	CHN	SAMN37307553	SRR25934528	SRX21653394	SRP458952	PRJNA1013682	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2022-04-03	7017599855.0	47072310.0	75.0	149.0	147.22434634599998	150	1868.0	1.0	0.0	0.0	0.0	no	Hrituraj Dey
QuT_2024	SRR25934529	food	dairy	milk	cow_milk		NF	CHN	SAMN37307535	SRR25934529	SRX21653393	SRP458952	PRJNA1013682	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2022-04-02	6417965915.0	43010550.0	75.0	150.0	148.09238058866666	150	711.0	1.0	0.0	0.0	0.0	no	Hrituraj Dey
QuT_2024	SRR25934530	food	dairy	milk	goat_milk		NF	CHN	SAMN37307552	SRR25934530	SRX21653392	SRP458952	PRJNA1013682	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2022-04-03	6696405457.0	44870836.0	75.0	150.0	148.07761439466665	150	2764.0	1.0	1.0	0.0	0.0	no	Hrituraj Dey
QuT_2024	SRR25934531	food	dairy	milk	cow_milk		NF	CHN	SAMN37307551	SRR25934531	SRX21653391	SRP458952	PRJNA1013682	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2022-04-03	6581174255.0	44103523.0	75.0	150.0	148.22743518833332	150	328.0	0.0	0.0	0.0	0.0	no	Hrituraj Dey
QuT_2024	SRR25934532	food	dairy	milk	cow_milk		NF	CHN	SAMN37307550	SRR25934532	SRX21653390	SRP458952	PRJNA1013682	NCBI	PAIRED	Illumina NovaSeq 6000	QIAamp_Fast_DNA_Stool_Mini_Kit	2022-04-03	6591975321.0	44234879.0	75.0	149.0	145.422874129	150	2192.0	3.0	2.0	0.0	0.0	no	Hrituraj Dey
