clade_name	QuT_2024__SRR25934520	QuT_2024__SRR25934521	QuT_2024__SRR25934522	QuT_2024__SRR25934523	QuT_2024__SRR25934524	QuT_2024__SRR25934525	QuT_2024__SRR25934526	QuT_2024__SRR25934527	QuT_2024__SRR25934528	QuT_2024__SRR25934529	QuT_2024__SRR25934530	QuT_2024__SRR25934531	QuT_2024__SRR25934532	QuT_2024__SRR25934533	QuT_2024__SRR25934534	QuT_2024__SRR25934535	QuT_2024__SRR25934536	QuT_2024__SRR25934537	QuT_2024__SRR25934538	QuT_2024__SRR25934539	QuT_2024__SRR25934540	QuT_2024__SRR25934541
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus|t__SGB8002	84.56225	97.65373	99.95202	99.89135	99.71266	89.93245	91.11743	99.37682	95.15463	97.93076	97.87537	99.4396	96.68704	0.0	92.3495	75.29742	99.83459	97.42304	83.22315	99.94805	95.06526	98.74383
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_delbrueckii|t__SGB7020	13.03104	2.34246	0.0	0.10605	0.28541	10.06755	0.58347	0.26266	4.70593	1.83484	1.71249	0.50963	0.24243	0.0	0.08743	24.41913	0.03063	0.17251	14.06621	0.0008	0.15432	0.81037
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lacticaseibacillus|s__Lacticaseibacillus_rhamnosus|t__SGB7144	2.40576	0.0	0.0	0.0	0.0	0.0	0.0	0.12728	0.0	0.0	0.0	0.0	1.28711	0.00515	0.0	0.0	0.0	0.0	2.35705	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_agalactiae|t__SGB8216	0.00094	0.0	0.0	0.00136	0.0	0.0	0.0	0.00679	0.0	0.0	0.0	0.0	0.00427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_elodea|t__SGB182678	0.0	0.00381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03227	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_cremoris|t__SGB7984	0.0	0.0	0.02325	0.0	0.0	0.0	2.25314	0.00037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__SGB7985	0.0	0.0	0.02243	0.00124	0.00067	0.0	6.04512	0.0	0.0	0.0	0.0	0.0	0.0	0.22227	0.0	0.0	0.0	0.02648	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_carnosus|t__SGB7987	0.0	0.0	0.00136	0.0	0.0	0.0	0.0	0.0	0.05408	0.0	0.0	0.02595	0.00393	0.0	0.0	0.0	0.0	0.0	0.03291	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Propioniciclava|s__Propioniciclava_flava|t__SGB35154	0.0	0.0	0.00094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_uberis|t__SGB8224	0.0	0.0	0.0	0.0	0.00127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
