clade_name	QuekJJ_2025__SRR31860670	QuekJJ_2025__SRR31860669	QuekJJ_2025__SRR31860671	QuekJJ_2025__SRR31860678	QuekJJ_2025__SRR31860677	QuekJJ_2025__SRR31860679	QuekJJ_2025__SRR31860672	QuekJJ_2025__SRR31860676	QuekJJ_2025__SRR31860673	QuekJJ_2025__SRR31860674	QuekJJ_2025__SRR31860675	QuekJJ_2025__SRR31860680	QuekJJ_2025__SRR31860684	QuekJJ_2025__SRR31860683	QuekJJ_2025__SRR31860682	QuekJJ_2025__SRR31860691	QuekJJ_2025__SRR31860694	QuekJJ_2025__SRR31860693	QuekJJ_2025__SRR31860692	QuekJJ_2025__SRR31860689	QuekJJ_2025__SRR31860690	QuekJJ_2025__SRR31860695	QuekJJ_2025__SRR31860685	QuekJJ_2025__SRR31860688	QuekJJ_2025__SRR31860687	QuekJJ_2025__SRR31860686	QuekJJ_2025__SRR31860681
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Erwinia|s__Erwinia_aphidicola|t__SGB10206	13.93299	0.0	0.01882	0.0	0.0	0.0	15.6054	0.0	0.0	0.0	0.0	0.0	0.0	0.03917	0.0	0.0	0.0	0.0	0.0	0.0	0.02068	0.00559	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_sp_alder81|t__SGB110057	13.40225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_hunanensis|t__SGB206557	11.67325	0.0	0.00784	0.0	0.0	0.0	0.0	0.0	0.0042	0.0	0.0	0.0	0.0	0.00093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18928	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Rosenbergiella|s__Rosenbergiella_epipactidis|t__SGB10292	9.06898	0.0	0.0	0.0	0.0	0.27783	0.0	0.0	0.0	0.0	0.0	0.26872	0.0251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22768
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_baumannii|t__SGB10343	7.77955	0.09901	0.05242	0.0	0.0	0.01423	0.0	0.08026	0.0	0.62797	0.0	0.0091	0.0	0.70291	0.0	0.0	0.8521	1.21743	0.0	0.0	0.33917	0.01418	0.02266	0.0	0.14847	0.0	0.02087
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_mori|t__SGB10132	5.82019	0.0	0.24177	0.0	0.01947	0.0	0.478	0.0	1.35939	0.84039	10.76047	0.0	0.0	0.48989	0.0	0.0	0.04569	0.0	0.0	0.0	0.20244	1.32904	0.0	0.0	0.37616	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Acidovorax|s__Acidovorax_sp_BLS4|t__SGB178619	5.16822	0.0	0.02425	0.0	0.0	0.0	0.0	0.0	0.01218	0.0	0.0	0.0	0.0	0.02696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_ananatis|t__SGB10194	3.49799	0.0	0.0	0.0	0.00944	0.0	20.23491	0.02566	1.09418	0.00095	0.0	0.0	0.0	2.69908	0.0	0.0	0.0	0.0	0.0	0.0	0.01882	0.0	0.0	0.0	0.01509	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Pectobacterium|s__Pectobacterium_brasiliense|t__SGB10269_group	2.8925	0.0	12.36883	0.02542	0.0	0.0	14.80559	0.0	3.04127	0.30562	0.0	0.00101	0.0	0.52325	0.0	0.0	12.35166	0.0	0.0	0.0	0.09864	26.83234	0.0	0.0	1.91476	0.0	0.00694
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacterales_unclassified|g__Enterobacterales_unclassified|s__Enterobacterales_bacterium_CwR94|t__SGB23195	2.2425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_rodasii|t__SGB10176	1.88627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23267	0.0	0.01259	0.0	0.0	0.00721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_pittii|t__SGB10346	1.71637	0.0	0.19848	0.0	0.0	0.0	0.35243	0.1875	0.07514	0.15703	0.06007	0.0	0.0	0.57938	0.0	0.0	0.16206	0.02757	0.0	0.0	0.16479	8.87145	0.02162	0.0	0.03413	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_eucalypticola|t__SGB89120	1.7025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
