dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	Part_of_cheese	Milk_source	Animal_feeding	Milk_processing	Thermisation	Pasteurization	Skimming	Inoculation_of_moulds	Curd_cutting	Presence_of_rind	Backslopping	Starter_culture	Technology_of_production	Coagulation_method	Ripening_period	Rheological_properties	Temperature_of_curd_processing_Celsius_degree	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
QuigleyL_2016	ERS654081	food	dairy	cheese	continental-type_cheese		F	Core	Cow		Pasteurized	No	Yes	No			Yes	No	Selected	Cooked_curd	Rennet	3_to_6_months	Hard	48_to_70	IRL	ERS654081	ERR752910	ERX696592	ERP006630	PRJEB6952	NCBI	SINGLE	Illumina_HiSeq_1500	PowerFood		1441645619	14273719	101	101.0	101.0	101.0	405	2	0	0	0	no	Niccolò_Carlino
QuigleyL_2016	ERS654082	food	dairy	cheese	continental-type_cheese		F	Core	Cow		Pasteurized	No	Yes	No			Yes	No	Selected	Cooked_curd	Rennet	3_to_6_months	Hard	48_to_70	IRL	ERS654082	ERR752911	ERX696593	ERP006630	PRJEB6952	NCBI	SINGLE	Illumina_HiSeq_1500	PowerFood		1356799862	13433662	101	101.0	101.0	101.0	1773	2	1	0	0	no	Niccolò_Carlino
QuigleyL_2016	ERS654083	food	dairy	cheese	continental-type_cheese		F	Core	Cow		Pasteurized	No	Yes	No			Yes	No	Selected	Cooked_curd	Rennet	3_to_6_months	Hard	48_to_70	IRL	ERS654083	ERR752912	ERX696594	ERP006630	PRJEB6952	NCBI	SINGLE	Illumina_HiSeq_1500	PowerFood		1523983142	15088942	101	101.0	101.0	101.0	1722	4	1	0	0	no	Niccolò_Carlino
QuigleyL_2016	ERS654084	food	dairy	cheese	continental-type_cheese		F	Core	Cow		Pasteurized	No	Yes	No			Yes	No	Selected	Cooked_curd	Rennet	3_to_6_months	Hard	48_to_70	IRL	ERS654084	ERR752913	ERX696595	ERP006630	PRJEB6952	NCBI	SINGLE	Illumina_HiSeq_1500	PowerFood		2232587931	22104831	101	101.0	101.0	101.0	1847	2	1	0	0	no	Niccolò_Carlino
QuigleyL_2016	ERS654085	food	dairy	cheese	continental-type_cheese		F	Core	Cow		Pasteurized	No	Yes	No			Yes	No	Selected	Cooked_curd	Rennet	3_to_6_months	Hard	48_to_70	IRL	ERS654085	ERR752914	ERX696596	ERP006630	PRJEB6952	NCBI	SINGLE	Illumina_HiSeq_1500	PowerFood		623550063	6173763	101	101.0	101.0	101.0	1386	3	1	0	0	no	Niccolò_Carlino
QuigleyL_2016	ERS654086	food	dairy	cheese	continental-type_cheese		F	Core	Cow		Pasteurized	No	Yes	No			Yes	No	Selected	Cooked_curd	Rennet	3_to_6_months	Hard	48_to_70	IRL	ERS654086	ERR752915	ERX696597	ERP006630	PRJEB6952	NCBI	SINGLE	Illumina_HiSeq_1500	PowerFood		2177480917	21559217	101	101.0	101.0	101.0	1811	2	2	0	0	no	Niccolò_Carlino
QuigleyL_2016	ERS654087	food	dairy	cheese	continental-type_cheese		F	Core	Cow		Pasteurized	No	Yes	No			Yes	No	Selected	Cooked_curd	Rennet	3_to_6_months	Hard	48_to_70	IRL	ERS654087	ERR752916	ERX696598	ERP006630	PRJEB6952	NCBI	SINGLE	Illumina_HiSeq_1500	PowerFood		1772868756	17553156	101	101.0	101.0	101.0	1723	3	2	0	0	no	Niccolò_Carlino
QuigleyL_2016	ERS654088	food	dairy	cheese	continental-type_cheese		F	Core	Cow		Pasteurized	No	Yes	No			Yes	No	Selected	Cooked_curd	Rennet	3_to_6_months	Hard	48_to_70	IRL	ERS654088	ERR752917	ERX696599	ERP006630	PRJEB6952	NCBI	SINGLE	Illumina_HiSeq_1500	PowerFood		1344919434	13316034	101	101.0	101.0	101.0	754	2	1	0	0	no	Niccolò_Carlino
QuigleyL_2016	ERS654089	food	dairy	cheese	continental-type_cheese		F	Core	Cow		Pasteurized	No	Yes	No			Yes	No	Selected	Cooked_curd	Rennet	3_to_6_months	Hard	48_to_70	IRL	ERS654089	ERR752918	ERX696600	ERP006630	PRJEB6952	NCBI	SINGLE	Illumina_HiSeq_1500	PowerFood		1008712149	9987249	101	101.0	101.0	101.0	1720	2	2	0	0	no	Niccolò_Carlino
QuigleyL_2016	ERS654090	food	dairy	cheese	continental-type_cheese		F	Core	Cow		Pasteurized	No	Yes	No			Yes	No	Selected	Cooked_curd	Rennet	3_to_6_months	Hard	48_to_70	IRL	ERS654090	ERR752919	ERX696601	ERP006630	PRJEB6952	NCBI	SINGLE	Illumina_HiSeq_1500	PowerFood		5972157068	59130268	101	101.0	101.0	101.0	2994	2	1	0	0	no	Niccolò_Carlino
