sample	QuigleyL_2016__ERS654090	QuigleyL_2016__ERS654089	QuigleyL_2016__ERS654088	QuigleyL_2016__ERS654087	QuigleyL_2016__ERS654086	QuigleyL_2016__ERS654085	QuigleyL_2016__ERS654084	QuigleyL_2016__ERS654083	QuigleyL_2016__ERS654082	QuigleyL_2016__ERS654081
macrocategory	food	food	food	food	food	food	food	food	food	food
category	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy
type	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese
subtype	continental-type_cheese	continental-type_cheese	continental-type_cheese	continental-type_cheese	continental-type_cheese	continental-type_cheese	continental-type_cheese	continental-type_cheese	continental-type_cheese	continental-type_cheese
country	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL
source	public	public	public	public	public	public	public	public	public	public
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis|t__SGB17278	0.00091	0	0.00721	0.00033	0.00132	0	0.02394	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_variabile|t__SGB17034	0	0	0.05042	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_freudenreichii|t__SGB15904	3.79558	7.56235	2.92206	7.86528	5.15925	4.50502	3.46134	5.08083	8.8112	0.27264
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_oshimai|t__SGB17571	0.00032	0.0	0.0	0.0	0.0	0.0	0.0	0.00043	0.00025	0.0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_thermophilus|t__SGB17566	8.96022	13.8634	0.02082	13.26772	9.2862	12.0626	9.11021	14.8791	14.34798	0.33956
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Anoxybacillus|s__Anoxybacillus_flavithermus|t__SGB8359	0.13311	0.24222	0.0	0.3339	0.23417	0.37813	0.31792	0.30113	0.47637	0.23316
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus|s__Geobacillus_stearothermophilus|t__SGB8344	0.0	0.0	0.0	0.0081	0.00395	0.0	0.00266	0.00043	0.0	0.00246
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Carnobacterium|s__Carnobacterium_maltaromaticum|t__SGB7902	0	0	0.00493	0	0	0	0	0	0	0
