	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023	SaakC_2023
sample	SaakC_2023__SRR17227786	SaakC_2023__SRR17227787	SaakC_2023__SRR17227788	SaakC_2023__SRR17227789	SaakC_2023__SRR17227790	SaakC_2023__SRR17227791	SaakC_2023__SRR17227792	SaakC_2023__SRR17227793	SaakC_2023__SRR17227794	SaakC_2023__SRR17227795	SaakC_2023__SRR17227796	SaakC_2023__SRR17227797	SaakC_2023__SRR17227798	SaakC_2023__SRR17227799	SaakC_2023__SRR17227800	SaakC_2023__SRR17227801	SaakC_2023__SRR17227802	SaakC_2023__SRR17227803
macrocategory	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food
category	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy
type	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese
subtype	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind
country	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA
source	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_cremoris|t__SGB7984	0.0	0.0	0.0	0.00618	0.0	0.0	0.0	0.00023	0.0	0.0	0.0	0.0	0.0	0.02652	0.0	0.0	0.0	0.45937
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__SGB7985	0.00219	0.01421	0.1603	1.91237	0.00619	0.02563	0.01614	0.02059	0.04754	0.05323	0.00548	0.01516	0.2931	12.02047	0.00555	0.00437	0.00862	6.33751
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_mesenteroides|t__SGB7126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47173
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_equorum|t__SGB7843	0.0	0.0	0.0	0.0	0.10321	0.07476	0.0882	0.09089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11672	0.19607
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium_alimentarium|t__SGB16653	0.0	0.0	0.0	0.0	0.034	0.01444	0.0	0.0	0.00531	0.00525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_aurantiacum|t__SGB16639	0.0	0.00047	0.03373	0.0	1.01054	0.22795	0.01236	0.00941	1.19057	0.56738	0.70033	0.0	0.0	0.0	0.036	0.00691	0.07429	0.05203
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_xylosus|t__SGB7847_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01096	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lacticaseibacillus|s__Lacticaseibacillus_paracasei|t__SGB7142	0.00889	0.01241	0.08123	1.23842	0.00946	0.05326	0.01474	0.01322	0.02843	0.01972	0.01309	0.00737	0.77096	32.98837	0.03751	0.03144	0.0	6.31164
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Pseudoalteromonadaceae|g__Pseudoalteromonas|s__Pseudoalteromonas_nigrifaciens|t__SGB13904	0.18521	1.90927	32.99422	0.0	4.23518	3.67986	4.34768	9.07793	0.00347	0.04219	0.07636	0.33725	17.43206	0.0	0.05819	0.05113	18.25559	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_citrativorans|t__SGB11845	6.01941	1.01369	0.0	0.0	0.56988	0.49926	0.28781	0.19404	36.97393	38.56812	59.21316	50.98626	2.00182	0.0	18.2043	20.50548	0.02063	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_casei|t__SGB9845	0.50655	1.58012	0.03404	0.0	0.21347	0.1388	0.09083	0.09117	0.21887	0.40453	0.52731	1.84208	6.09853	0.0	0.48928	0.47961	0.10134	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_helleri|t__SGB12098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_gubbeenense|t__SGB34904	0.0	0.0	0.0	0.0	0.07846	0.02715	0.0	0.0	0.55386	0.70049	0.18942	0.0	0.0	0.0	0.07442	0.07407	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Pseudoalteromonadaceae|g__GGB49459|s__GGB49459_SGB69381|t__SGB69381	0.0	0.0	0.0	0.0	0.00171	0.0	0.0	0.0	0.0	0.0	0.00108	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_sp_FME13|t__SGB69382	72.70342	42.79582	0.7698	0.01392	79.87437	86.0197	87.96081	79.02605	4.20718	4.35512	21.42913	20.41036	7.20815	0.0	69.30003	63.91628	74.13714	0.10546
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Debaryomyces|s__Debaryomyces_hansenii_group_1|t__EUK4959_1	0.38631	0.66735	51.69288	1.31373	0.026	0.02334	0.04123	0.10539	0.0	0.0	0.0	0.00386	0.07013	0.0	0.1598	0.24228	0.19036	56.57308
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Glutamicibacter|s__Glutamicibacter_arilaitensis|t__SGB16749	0.03976	0.04545	0.0036	0.00129	0.73095	1.00924	0.77837	1.76852	0.0	0.00489	0.0	0.0	0.0	0.0	0.02015	0.03553	0.13725	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus|s__Vagococcus_salmoninarum|t__SGB29863	0.00615	0.0	0.0	0.0	0.03371	0.02189	0.03213	0.03826	0.38587	0.35082	2.14592	2.96354	0.35264	0.0	0.25613	0.14567	0.03505	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium_tyrofermentans|t__SGB69231	0.0	0.0	0.0	0.0	0.00337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Pseudoalteromonadaceae|g__Pseudoalteromonas|s__Pseudoalteromonas_prydzensis|t__SGB30757	17.22395	41.68545	1.35523	0.00306	3.52769	2.68683	2.76611	5.998	0.01837	0.0625	0.88334	17.48474	35.43476	0.0	2.63136	8.47282	1.53069	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_immobilis|t__SGB10459	1.09566	2.58137	1.78463	0.0	0.65767	0.25741	0.45993	0.33232	0.0	0.00241	0.00655	0.00847	0.01598	0.0	2.04721	0.87599	1.22974	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Oceanospirillales|f__Oceanospirillaceae|g__Marinomonas|s__Marinomonas_polaris|t__SGB13567	0.0	0.02174	0.05983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03853	0.0	0.0	0.00153	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Mesonia|s__Mesonia_profundi|t__SGB97751	0.0	0.0	0.0	0.0	0.44967	0.28892	0.01226	0.0	4.87027	5.37827	2.22373	0.01222	0.0	0.0	0.40457	0.14857	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Marinilactibacillus|s__Marinilactibacillus_psychrotolerans|t__SGB7876	0.0	0.0	0.0	0.0	0.01494	0.0	0.00016	0.00026	0.05711	0.04497	0.02077	0.02066	0.05664	0.0	0.00458	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Leucobacter|s__Leucobacter_sp_G161|t__SGB16932	0.0	0.00027	0.0	0.0	0.09496	0.01717	0.00119	9e-05	1.27852	1.11047	1.6648	0.01163	0.0002	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_celer|t__SGB10449	0.00877	0.02944	0.0	0.0	0.00971	0.00217	0.0069	0.00971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003	0.01265	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_namhaensis|t__SGB23002	0.0	0.03974	0.06088	0.0	0.0	0.0	0.0	0.00045	0.0	3e-05	0.00347	0.00738	0.05	0.0	0.0	0.0	0.00583	0.0
