dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
SequinoG_2024_a	SRR26596524	food	fish	anchioves			NF	ITA	SAMN38049440	SRR26596524	SRX22297528	SRP469401	PRJNA1034056	NCBI	PAIRED	Illumina_NovaSeq_6000	DNeasy_PowerSoil_Pro_Kit	2022	6501511037	43450628	75	150.0	149.0458143	150.0	75838	3	0	0	0	no	Hrituraj_Dey
SequinoG_2024_a	SRR26596525	food	fish	anchioves			NF	ITA	SAMN38049439	SRR26596525	SRX22297527	SRP469401	PRJNA1034056	NCBI	PAIRED	Illumina_NovaSeq_6000	DNeasy_PowerSoil_Pro_Kit	2022	6552458212	43786189	75	150.0	149.2676568	150.0	112767	2	1	0	0	no	Hrituraj_Dey
SequinoG_2024_a	SRR26596526	food	fish	anchioves			NF	ITA	SAMN38049509	SRR26596526	SRX22297526	SRP469401	PRJNA1034056	NCBI	PAIRED	Illumina_NovaSeq_6000	DNeasy_PowerSoil_Pro_Kit	2022	9473426678	63281296	75	150.0	149.5807925	150.0	64128	4	2	0	0	no	Hrituraj_Dey
SequinoG_2024_a	SRR26596527	food	fish	anchioves			NF	ITA	SAMN38049508	SRR26596527	SRX22297525	SRP469401	PRJNA1034056	NCBI	PAIRED	Illumina_NovaSeq_6000	DNeasy_PowerSoil_Pro_Kit	2022	7363006851	49163030	75	150.0	149.6695393	150.0	39172	8	0	0	0	no	Hrituraj_Dey
SequinoG_2024_a	SRR26596528	food	fish	anchioves			NF	ITA	SAMN38049507	SRR26596528	SRX22297524	SRP469401	PRJNA1034056	NCBI	PAIRED	Illumina_NovaSeq_6000	DNeasy_PowerSoil_Pro_Kit	2022	8152459038	54455620	75	150.0	149.5728352	150.0	60308	4	1	0	0	no	Hrituraj_Dey
SequinoG_2024_a	SRR26596529	food	fish	anchioves			NF	ITA	SAMN38049506	SRR26596529	SRX22297523	SRP469401	PRJNA1034056	NCBI	PAIRED	Illumina_NovaSeq_6000	DNeasy_PowerSoil_Pro_Kit	2022	6890404992	46021486	75	150.0	149.3358264	150.0	47381	6	2	0	0	no	Hrituraj_Dey
SequinoG_2024_a	SRR26596530	food	fish	anchioves			NF	ITA	SAMN38049505	SRR26596530	SRX22297522	SRP469401	PRJNA1034056	NCBI	PAIRED	Illumina_NovaSeq_6000	DNeasy_PowerSoil_Pro_Kit	2022	4635161288	30990354	75	150.0	148.8334637	150.0	109015	0	0	0	0	no	Hrituraj_Dey
SequinoG_2024_a	SRR26596531	food	fish	anchioves			NF	ITA	SAMN38049504	SRR26596531	SRX22297521	SRP469401	PRJNA1034056	NCBI	PAIRED	Illumina_NovaSeq_6000	DNeasy_PowerSoil_Pro_Kit	2022	5196953579	34742435	75	150.0	149.0232909	150.0	111398	2	0	0	0	no	Hrituraj_Dey
SequinoG_2024_a	SRR26596532	food	fish	anchioves			NF	ITA	SAMN38049503	SRR26596532	SRX22297520	SRP469401	PRJNA1034056	NCBI	PAIRED	Illumina_NovaSeq_6000	DNeasy_PowerSoil_Pro_Kit	2022	5970027696	39879970	75	150.0	149.3068409	150.0	55779	3	5	0	0	no	Hrituraj_Dey
SequinoG_2024_a	SRR26596533	food	fish	anchioves			NF	ITA	SAMN38049502	SRR26596533	SRX22297519	SRP469401	PRJNA1034056	NCBI	PAIRED	Illumina_NovaSeq_6000	DNeasy_PowerSoil_Pro_Kit	2022	5790376038	38672019	75	150.0	149.3481091	150.0	41244	5	0	0	0	no	Hrituraj_Dey
SequinoG_2024_a	SRR26596534	food	fish	anchioves			NF	ITA	SAMN38049501	SRR26596534	SRX22297518	SRP469401	PRJNA1034056	NCBI	PAIRED	Illumina_NovaSeq_6000	DNeasy_PowerSoil_Pro_Kit	2022	6928112154	46276928	75	150.0	149.4831368	150.0	53696	1	1	0	0	no	Hrituraj_Dey
SequinoG_2024_a	SRR26596535	food	fish	anchioves			NF	ITA	SAMN38049438	SRR26596535	SRX22297517	SRP469401	PRJNA1034056	NCBI	PAIRED	Illumina_NovaSeq_6000	DNeasy_PowerSoil_Pro_Kit	2022	8655037945	57820400	75	150.0	149.3600132	150.0	67877	4	0	0	0	no	Hrituraj_Dey
SequinoG_2024_a	SRR26596536	food	fish	anchioves			NF	ITA	SAMN38049500	SRR26596536	SRX22297516	SRP469401	PRJNA1034056	NCBI	PAIRED	Illumina_NovaSeq_6000	DNeasy_PowerSoil_Pro_Kit	2022	7500451412	50096502	75	150.0	149.5458292	150.0	47308	3	2	0	0	no	Hrituraj_Dey
SequinoG_2024_a	SRR26596537	food	fish	anchioves			NF	ITA	SAMN38049499	SRR26596537	SRX22297483	SRP469401	PRJNA1034056	NCBI	PAIRED	Illumina_NovaSeq_6000	DNeasy_PowerSoil_Pro_Kit	2022	8480866527	56703836	75	150.0	148.6187189	150.0	252388	0	0	0	0	no	Hrituraj_Dey
SequinoG_2024_a	SRR26596538	food	fish	anchioves			NF	ITA	SAMN38049435	SRR26596538	SRX22297514	SRP469401	PRJNA1034056	NCBI	PAIRED	Illumina_NovaSeq_6000	DNeasy_PowerSoil_Pro_Kit	2022	6151838676	41096114	75	150.0	149.1226724	150.0	59138	0	0	0	0	no	Hrituraj_Dey
